tourTarget,ng-binding,tt_bottom,tt_bottom 4,packageCostOrig,packageCost
Tirupati - Talakona Falls (from Chennai),Ex-Chennai,2D/1N,Tirupati (1N),₹10915,₹8732
2 Days Trip from Bangalore | Tirupati - Talakona Falls,Ex-Bangalore,2D/1N,Tirupati (1N),₹10915,₹8732
2 Days Trip from Bangalore | Kaigal Falls - Kanipakam - Tirupati,Ex-Bangalore,2D/1N,Kanipakam (1N),₹10915,₹8732
Pancha Bhoota Sthalas (Chidambaram - Trichy - Srirangam - Thiruvannamalai - Kanchipuram - Srikalahasthi),Ex-Chennai,5D/4N,Chidambaram - Trichy - Thiruvannamalai - Kanchipuram - Srikalahasthi,₹25158,₹20126
Pancha Bhoota Sthalas with Madurai,Ex-Chennai,6D/5N,Chidambaram - Trichy - Madurai - Thiruvannamalai - Kanchipuram - Srikalahasthi,₹31683,₹25346
Pancha Bhoota Sthalas with Madurai - Rameshwaram,Ex-Chennai,7D/6N,Chidambaram - Trichy - Madurai - Rameshwaram - Thiruvannamalai - Kanchipuram - Srikalahasthi,₹36800,₹29440
Pancha Bhoota Sthalas with Madurai - Rameshwaram - Kanyakumari,Ex-Chennai,8D/7N,Chidambaram - Trichy - Madurai - Rameshwaram - Kanyakumari - Thiruvannamalai - Kanchipuram - Srikalahasthi,₹40394,₹32315
Tirumala - Tirupati (from Chennai),Ex-Chennai,2D/1N,Tirumala (1N),,
Tirupati - Kanipakam - Vellore (from Chennai),Ex-Chennai,2D/1N,Tirupati (1N),₹10915,₹8732
Tirupati - Srikalahasti - Pulicat Sanctuary (from Chennai),Ex-Chennai,2D/1N,Tirupati (1N),₹10178,₹8142
