card-heading,slick-prev,slick-next,slick-active,slick-dots,slick-dots 2,slick-dots 3,slick-dots 4,hotel-neighbourhood,hotel-neighbourhood 2,rating-badge,rating-count,card-body,hotel-featured-data,price,text-muted
1. Sree Theja Residency,Previous,Next,1.0,2.0,3.0,4.0,5.0,1.9 kms from Khazana Jewellery,# 1  hotel in  Anantapur,8.9,(173 reviews),"Facilities:
     Wifi, Pets Allowed",Hotel with 2 room options,"₹1,350",onwards
2. Neem Tree Hotel-Boutique Stay,Previous,Next,1.0,2.0,3.0,4.0,5.0,2.3 kms from Khazana Jewellery,# 2  hotel in  Anantapur,8.5,(46 reviews),,,"₹2,269",onwards
3. Alexander Luxury Hotel,Previous,Next,1.0,2.0,3.0,4.0,5.0,600 m from Khazana Jewellery,# 3  hotel in  Anantapur,8.0,(191 reviews),,,"₹4,960",onwards
4. Hotel Rajahamsa,Previous,Next,1.0,2.0,,,,500 m from Khazana Jewellery,# 4  hotel in  Anantapur,7.9,(87 reviews),,,"₹3,796",onwards
5. Hotel Masineni Grand,Previous,Next,1.0,2.0,3.0,4.0,5.0,300 m from Khazana Jewellery,# 5  hotel in  Anantapur,7.1,(28 reviews),,,"₹19,549",onwards
6. Super Hotel O Anantapur - Formerly Amar Inn,Previous,Next,1.0,2.0,3.0,4.0,5.0,200 m from Khazana Jewellery,# 6  hotel in  Anantapur,6.0,(224 reviews),,,"₹1,124",onwards
7. Oth Sri7 Inn,Previous,Next,1.0,2.0,3.0,4.0,5.0,3.0 kms from Khazana Jewellery,# 7  hotel in  Anantapur,5.8,(77 reviews),,,"₹1,020",onwards
8. Exotikka Guest Inn,Previous,Next,1.0,2.0,3.0,4.0,5.0,3.7 kms from Khazana Jewellery,# 8  hotel in  Anantapur,6.1,(50 reviews),,,"₹2,421",onwards
9. Green Woods Resort,Previous,Next,1.0,2.0,3.0,4.0,5.0,6.1 kms from Khazana Jewellery,# 9  hotel in  Anantapur,7.7,(18 reviews),"Facilities:
     Wifi, Pets Allowed, Pool, Garden, Food",5 star hotel with 6 room options,"₹2,000",onwards
10. i-ROOMZ Geetha Residency,Previous,Next,1.0,2.0,3.0,,,300 m from Khazana Jewellery,# 10  hotel in  Anantapur,6.6,(14 reviews),,,"₹1,417",onwards
11. Naveed Residency,,,,,,,,100 m from Khazana Jewellery,# 11  hotel in  Anantapur,6.6,(11 reviews),"Facilities:
     Wifi, Bar, Concierge Service, Food, Shuttle Service",Hotel with 3 room options,"₹4,462",onwards
12. Hotel Pasupala Inn,,,,,,,,900 m from Khazana Jewellery,# 12  hotel in  Anantapur,8.8,(8 reviews),"Facilities:
     Wifi, Bar, Food",Hotel with 5 room options,"₹3,200",onwards
13. Hotel SR Grand,,,,,,,,2.2 kms from Khazana Jewellery,# 13  hotel in  Anantapur,6.9,(7 reviews),,,"₹5,012",onwards
14. Hotel Shreyas Grand Ananthapuramu,,,,,,,,700 m from Khazana Jewellery,# 14  hotel in  Anantapur,7.2,(6 reviews),"Facilities:
     Wifi, Bar, Food, Shuttle Service",Hotel with 3 room options,"₹3,360",onwards
15. Hotel Pasupala Grand,,,,,,,,500 m from Khazana Jewellery,# 15  hotel in  Anantapur,5.3,(6 reviews),,,,
16. Hotel Sapthagiri Balla,,,,,,,,1.3 kms from Khazana Jewellery,# 16  hotel in  Anantapur,6.0,(5 reviews),,,,
17. Collection O Bhagirathi Residency,,,,,,,,1.9 kms from Khazana Jewellery,# 17  hotel in  Anantapur,4.7,(3 reviews),,,,
18. OYO Flagship Maruthi Residency,,,,,,,,50.8 kms from city centre,# 18  hotel in  Anantapur,2.0,(2 reviews),,,"₹1,225",onwards
19. Nani Homestay,,,,,,,,4.6 kms from Khazana Jewellery,# 19  hotel in  Anantapur,10.0,(1 reviews),"Facilities:
     Wifi, Pets Allowed, Food, Shuttle Service",Homestay with 2 room options,"₹1,188",onwards
20. Collection O Anantapur Near Sapthagiri Circle,,,,,,,,500 m from Khazana Jewellery,# 20  hotel in  Anantapur,,,"Facilities:
     Wifi, Bar, Food",Hotel with only 1 room option,"₹3,126",onwards
