qBF1Pd,MW4etd,UY7F9,AJB7ye,AJB7ye 2,W4Efsd,W4Efsd 2,W4Efsd 3,W4Efsd 4,W4Efsd 5,ah5Ghc,M4A5Cf,ah5Ghc 2,M4A5Cf 2,ah5Ghc 3,J8zHNe,bbPy1
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Suto Cafe - Srikakulam,4.7,-82,·,₹200–400,Cafe,·,"No.: 2, Building No./Flat, GROUND FLOOR, 13-5",Open,· Closes 10 pm,Dine-in,·,Drive-through,·,No-contact delivery,Order online,
Mindspace Food street,4.8,-56,·,₹1–200,Cafe,·,Chinna Bazar St,,,Dine-in,·,Takeaway,,,,
Kumbakonam degree coffee,4.3,-119,·,₹1–200,Cafe,·,adjacent to Bank Of India,Open,· Closes 9:30 pm,Dine-in,·,Takeaway,,,,
CAFE DESIRE,4.8,-12,,,Cafe,·,"Opp: Gandhi Park, 1, Palakonda Rd",Open,· Closes 8:30 pm,Dine-in,·,Takeaway,,,,
Cafe Sparrow's Nest,4.9,-91,·,₹200–400,Food court,·,"Maa charish carnival, near zp office",Open,· Closes 10 pm,"""My place for refreshing juice and chill vibe""",,,,,Order online,
Zest Cafe,4.7,-12,·,₹1–200,Coffee shop,·,8V4W+6MV,Open,· Closes 10 pm,Dine-in,·,Takeaway,,,,
Gluttons Garage,4.5,-223,·,₹200–400,Cafe,·,"Kotha Rd, beside Renault Showroom",Open,· Closes 12 am,Dine-in,·,Kerbside pickup,·,No-contact delivery,Order online,
Lassi Hub,4.0,-248,·,₹1–400,Cafe,·,GT Rd,Open,· Closes 10 pm,Dine-in,·,Takeaway,·,No-contact delivery,,
Zing Cafe Private Theatre,4.8,-54,,,Cafe,·,"80 Feet Rd, opp. TDP office",Open,· Closes 10 pm,Dine-in,·,Drive-through,·,No-contact delivery,,
"DAKSHIN RESTAURANT, CAFE & BANQUET HALL",4.2,"-1,268",,,Biryani,·,"8V3G+PC Dakshin Restaurant, New Bridge Road",Closed,· Opens 11:30 am,Dine-in,·,Drive-through,·,No-contact delivery,Order online,
Sizzle,4.8,-14,·,₹200–400,Cafe,·,"80 Feet Rd, opposite anandamayi function hall",Open,· Closes 10 pm,Dine-in,·,Takeaway,·,Delivery,Order online,
The Northern Circars,4.5,"-4,244",·,"₹200–1,400",Chinese,·,·,Closed,· Opens 11 am,Dine-in,·,Drive-through,·,No-contact delivery,Order online,
THUG cafe,3.7,-29,·,₹1–400,Cafe,·,"THUG cafe, Gems Medical College, Road, near Aditya Educational Society",Open,· Closes 10:30 pm,Dine-in,·,Drive-through,·,No-contact delivery,,
DRNK LAB Srikakulam,3.9,-230,·,₹200–400,Cafe,·,·,Opens soon,· 10:30 am,Dine-in,·,Kerbside pickup,·,Delivery,Order online,
HELlY & CHILLy,4.2,-58,,,Coffee store,·,"Kotta Centre, Kotta Centre Building No. 19-1-2 Ist Floor Zidduvaral Street Srikakulam Old Bus Stand, 13.2",Open,· Closes 11 pm,Delivery,,,,,,
Khafi Kaburlu,5.0,-3,,,Coffee shop,·,"Gujjalavari Building, Chinna Bazar St",Open,· Closes 9 pm,Dine-in,,,,,,
