qBF1Pd,MW4etd,UY7F9,AJB7ye,AJB7ye 2,W4Efsd,W4Efsd 2,W4Efsd 3,W4Efsd 4,ah5Ghc,M4A5Cf,ah5Ghc 2,M4A5Cf 2,ah5Ghc 3,W4Efsd 5
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Rayalaseema Coffee House,4.2,-300,·,?1200,Coffee shop,·,"Kottapeta Village, 1-143, NH40",Open 24 hours,Dine-in,·,Takeaway,·,No-contact delivery,
The White Fog Cafe & Lounge,4.5,-454,·,?200400,Cafe,·,"Opp. RTO office, Rayachoti Road, beside Madhavi Convention Center",Closed,Dine-in,·,Drive-through,·,No-contact delivery,· Opens 12 pm
Mama's cafe Tasty trails and Chai bar,4.8,-5,·,?1200,Coffee shop,·,NH40,Open 24 hours,Dine-in,·,Drive-through,·,No-contact delivery,
Akira Coffee Cafe,5.0,-5,,,Coffee shop,·,"74C4+C4X, Railway Station Rd",Open,Dine-in,,,,,· Closes 9:30 pm
Cuddapah Café,4.1,"-3,047",·,?1200,Cafe,·,·,Open,"""best",,cafe in,,"town, providing good quality food at affordable prices..""",· Closes 10 pm
AV CAFE,4.8,-8,,,Coffee shop,·,"3Q5C+7C9, by pass road",Open,Dine-in,,,,,· Closes 11 pm
Annamayya canteen,4.5,-2,,,Family-friendly,·,3QQ3+WM9,,"""Clean dining",,area,,"and the meals are served hot.""",
Irani chai,4.7,-50,·,?1200,Coffee shop,·,"Annamayya circle, near Andhra spice family restaurant",Open,Takeaway,,,,,· Closes 10 pm
MLA CAFE,4.1,-240,·,?1200,Cafe,·,Masapet High School,Open 24 hours,Dine-in,·,Drive-through,·,Delivery,
Bestow juice cafe,4.2,-376,·,?1200,Coffee shop,·,3QR4+65,Open,Dine-in,·,Drive-through,,,· Closes 10:30 pm
Miami Cafe,4.7,-13,·,?1200,Cafe,·,2QX5+C2H,Closed,Dine-in,·,Takeaway,,,· Opens 3 pm
AB2 Cafe & Catering,4.1,-11,,,Cafe,,,,,,,,,
vallabha cafe,3.9,-17,·,?1200,Coffee shop,·,"PPGP+6FX, SH 57",Open,Dine-in,·,Drive-through,,,· Closes 9 pm
Simhadri Coffee Cafe,4.3,-109,·,?1200,Coffee shop,·,"Sontyam, Checkpost",Open,Dine-in,·,Drive-through,,,· Closes 9 pm
Mashaallah cafe and restaurant,5.0,-3,,,Coffee shop,·,4Q95+HC3,,Dine-in,,,,,
Shanthi Sagar VEG,3.7,-573,·,?1200,Breakfast,·,"FR6F+38P, Railway Station Rd",Open,"""Good food Fresh filter",,Coffee,,"price, also good""",· Closes 9:55 pm
Annamayya Restaurant,3.0,-2,,,Family-friendly,·,"38/145, Kadapa - Chittoor Hwy",,Dine-in,,,,,
I-cafe,4.1,-7,,,Cafe,·,"W9R5+RQC, Kadapa - Tirupati Rd",Open,Dine-in,·,Drive-through,,,· Closes 10 pm
Tara Café,4.9,-15,·,?1400,Coffee shop,·,"Q9VJ+798 Connecting Rd, Sriram Panorama Beach, Law College Rd",Open,Dine-in,·,Takeaway,·,Delivery,· Closes 11 pm
Ameen Peer Dargah,4.6,"-3,681",,,Shrine,·,·,Open,On-site services,,,,,· Closes 1 pm · Reopens 5 pm
Y v street kadapa,4.1,-130,,,Service establishment,,,,,,,,,
Coffee Bean Resto Café,4.2,-12,·,"?11,000",Coffee shop,·,"11-1890, KNP 2, Bheemili Beach Road, near Sun N Sea Resorts",Open,Dine-in,·,Drive-through,·,No-contact delivery,· Closes 11 pm
Bismillah dosa spot,,,,,Coffee store,,,Closed,,,,,,· Opens 4 am Tue
Basha CAFE,3.3,-6,,,Cafe,·,"FQJC+794, Road",,,,,,,
