qBF1Pd,MW4etd,UY7F9,AJB7ye,AJB7ye 2,W4Efsd,W4Efsd 2,W4Efsd 3,W4Efsd 5,W4Efsd 6,ah5Ghc,M4A5Cf,ah5Ghc 2,M4A5Cf 2,ah5Ghc 3,J8zHNe,bbPy1
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Café ice magic,4.8,"-7,636",·,?200400,Pizza,·,·,Open,· Closes 10:30 pm,Dine-in,·,Takeaway,·,No-contact delivery,Order online,?
Aloha cafe,4.4,-518,·,"?2001,000",Cafe,·,·,Open,· Closes 11 pm,Dine-in,·,Drive-through,·,No-contact delivery,Order online,?
Rayalaseema Coffee House,4.2,-300,·,?1200,Coffee shop,·,"Kottapeta Village, 1-143, NH40",Open 24 hours,,Dine-in,·,Takeaway,·,No-contact delivery,,
cafe,5.0,-1,,,Cafe,·,"flat no 304, Sree Venkateswara avenues, 516001",Open,· Closes 10:30 pm,Dine-in,·,Kerbside pickup,·,Delivery,,
Hangout cafe,4.6,-32,,,Coffee store,·,FRJ5+GRF,Open,· Closes 10 pm,Takeaway,,,,,,
7 cafe,4.6,-50,·,?1200,Bakery and Cake Shop,·,JQ6P+RJ6,,,Dine-in,·,Drive-through,,,,
Verandah Coffee Roasters and Café,4.7,"-5,140",·,?200600,Cafe,·,"Ground floor, Road # 1, 54-20-6",Open,· Closes 10 pm,Dine-in,·,Takeaway,·,No-contact delivery,Order online,?
INFINITI CAFE,4.5,-48,·,?1200,Cafe,·,·,Open,· Closes 2 pm · Reopens 3:50 pm,Dine-in,·,Drive-through,·,Delivery,,
Cafe Dubai,4.2,-124,,,Restaurant,·,·,Open,· Closes 11 pm,Dine-in,·,Takeaway,,,,
17Cafe,4.6,-62,·,?1200,Cafe,·,"Rayachoti Road, opp. petrol pump",Open,· Closes 10 pm,Dine-in,·,Drive-through,,,Order online,?
Araku House,4.7,-186,·,?200400,Cafe,·,"Ground floor, 108A, Sri Nilaya Apartments, Loyola College Rd",Open,· Closes 11 pm,Dine-in,·,Kerbside pickup,·,No-contact delivery,Order online,?
MAHADEVA HIGHWAY RESTAURANT,4.8,-21,·,?1200,Cafe,·,"Mahadeva Highway Restaurant (My Coffee Therapy), Sakshi circle, Kadapa-Pulivendula Rd",Open,· Closes 10 pm,Dine-in,·,Kerbside pickup,·,No-contact delivery,Order online,?
FROOZO CAFE - VIJAYAWADA,4.5,-79,·,?200400,Cafe,·,"58-2-15, First Floor, Panta Kaluva Rd, opposite Vijay Dental DNo",Opens soon,· 11 am,Dine-in,·,Kerbside pickup,·,No-contact delivery,Order online,?
N Cafe,4.8,-8,,,Coffee shop,·,"HQ8V+258, NH40",Closed,· Opens 4:30 pm,Dine-in,,,,,,
sree nandana coffee cafe,5.0,-2,,,Coffee shop,·,OLD TOLL GATE,Open 24 hours,,Dine-in,·,Drive-through,·,No-contact delivery,Order online,?
Kava Cafe Vijayawada,4.2,-980,·,?400600,Cafe,·,"GJ2X+P6R, Jasti Venkata Ratnam St, opposite Manor Food Plaza",Open,· Closes 11 pm,Dine-in,·,Takeaway,·,No-contact delivery,Order online,?
