qBF1Pd,MW4etd,UY7F9,W4Efsd,W4Efsd 2,W4Efsd 3,ah5Ghc,M4A5Cf,ah5Ghc 2,AJB7ye,AJB7ye 2,W4Efsd 4,W4Efsd 5,M4A5Cf 2,ah5Ghc 3
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SLV CAFE,4.7,-36.0,Cafe,·,"institute of higher medical sciences, Puttaparthi Main Rd, near Sri Satya Sai",Dine-in,·,Takeaway,,,,,,
Aroma Cafe,4.9,-23.0,Coffee shop,·,"4RW6+G3G, Old Puttaparthi Rd",Dine-in,,,·,?1200,Open,· Closes 8:30 pm,,
Skanda Vihari (Café) & BBQ. ????? ?????? (????),4.5,-54.0,Coffee shop,·,"5Q3F+HMW, MDR42",Dine-in,·,Drive-through,·,?1200,Open,· Closes 9 pm,,
Top secret cafe,4.6,-20.0,Cafe,·,"Gopuram gate road, near HDFC Bank, next to soundarya beauty parlour",Dine-in,·,Drive-through,·,?200400,Open,· Closes 10:30 pm,·,No-contact delivery
LAKE VIEW CAFE,4.9,-13.0,Tea store,·,"Sri Sathya Sai District, No 7/15, 515331","""Unexpected stop at lake view Cafe but it's truly worth.""",,,,,Open,· Closes 10 pm,,
LATTE CAFE,3.5,-45.0,Coffee shop,·,5R99+JPM,Dine-in,·,Drive-through,·,?1200,Open,· Closes 8:30 pm,,
SLV Sunrise Cafe,5.0,-11.0,Coffee shop,·,"3/377, Gopuram Rd West 4th Cross","""Tea and coffee Super taste""",,,,,,,,
Mehfil cafe kothacheruvu,5.0,-3.0,Cafe,·,"Ajay doctor hospital, Dharmavaram - Puttaparthi, beside mehfil cafe",Dine-in,,,,,Open,· Closes 9 pm,,
Coffee House,3.8,-74.0,Cafe,·,Ktc Road,Dine-in,·,Takeaway,·,?1200,Open,· Closes 8:29 pm,,
Buffalo Cafe,3.9,-137.0,Cafe,·,Airport Rd,Dine-in,·,Drive-through,·,?200400,Open,· Closes 11 pm,·,No-contact delivery
TruYogi Cafe,4.5,-122.0,Cafe,·,·,Dine-in,·,Takeaway,·,?200400,Open,· Closes 6:30 pm,,
Dsk cafe,5.0,-6.0,Coffee shop,·,5Q2H+PHH,Dine-in,·,Takeaway,,,,,,
Simhadri Coffee Cafe,4.3,-109.0,Coffee shop,·,"Sontyam, Checkpost",Dine-in,·,Drive-through,·,?1200,Open,· Closes 9 pm,,
Hari Om Cafe,4.3,-159.0,Breakfast,·,"5R86+6MJ, Samadhi Rd",Dine-in,·,Takeaway,·,?200400,Open,· Closes 9:30 pm,,
Sai German Bakery,4.2,-31.0,Restaurant,·,"Top roof, SRS building, Puttaparthi Main Rd, above Sai Surya Restaurant",Dine-in,·,Drive-through,·,?200400,Open,· Closes 9:30 pm,·,No-contact delivery
AMMA'S FILTER COFFEE (COTHAS COFFEE),4.2,-53.0,Coffee shop,,,Dine-in,·,Takeaway,·,?1200,Open 24 hours,,,
Moon Light Cafe,4.0,-45.0,Coffee shop,·,"W7PP+Q97, Hindupur Rd",Dine-in,·,Drive-through,·,?1200,Open 24 hours,,·,No-contact delivery
Western Canteen,4.7,-942.0,Breakfast,·,5R85+98H,Dine-in,·,Takeaway,·,?1200,Closed,· Opens 12 pm,·,No delivery
Sai Surya Restaurant,4.1,-706.0,Breakfast,·,·,Dine-in,·,Takeaway,·,?1200,Open,· Closes 9:30 pm,,
KAFA CAFE & RESTO,4.5,-515.0,Cafe,·,Apiic,Dine-in,·,Kerbside pickup,·,"?4001,400",Opens soon,· 11 am,,
Momo Cafe,4.5,-62.0,Cafe,·,5R76+WX4,Dine-in,·,Drive-through,·,?1200,Open,· Closes 2 pm · Reopens 5 pm,·,No-contact delivery
The Goodwill cafe,5.0,-4.0,Coffee shop,·,5R76+7QG,Dine-in,·,Takeaway,,,Open,· Closes 9:30 pm,·,Delivery
Hotel Shanthi Cafe,4.5,-2.0,Cafe,·,"Ganesh Complex, beside Samadhi Road",Dine-in,·,Kerbside pickup,,,Open,· Closes 9:30 pm,·,No-contact delivery
Cothas Coffee - Coffee Powder - Erramanchi (Andhra Pradesh),4.0,-5.0,Coffee store,·,"SY. NO. 606-6, MANDAL SRI SATHYA SAI DISTRICT, PLOT NO: 2, NH-UDL-3, opp. to KIA MOTORS",Delivery,,,,,Open,· Closes 9 pm,,
Coffee Bean Resto Café,4.2,-12.0,Coffee shop,·,"11-1890, KNP 2, Bheemili Beach Road, near Sun N Sea Resorts",Dine-in,·,Drive-through,·,"?11,000",Open,· Closes 11 pm,·,No-contact delivery
SOUTH INDIAN CANTEEN,4.5,-344.0,Breakfast,·,·,"""Very low prices T,",,Coffee,·,?1200,Opens soon,· 11 am,,", Tiffins
available"""
Coffee Point@Bakery,5.0,-3.0,Coffee shop,·,"Prashanthi Nilayam, beside Bakery","""Nice coffee.""",,,,,,,,
Hanuman's Hillrock Cafe and Restaurant,4.0,-586.0,Indian,·,·,"""The service, ambience, music, staff, everything is perfect.""",,,·,?200400,,,,
Coffee point@Round 1,4.5,-2.0,Coffee shop,·,"Prashanthi Nilayam, beside Round 1",,,,,,,,,
Sip spot cafe,,,Cafe,·,Dharmavaram - Puttaparthi,,,,,,,,,
Coffee Point@Main Kiosk,,,Coffee shop,·,"5R74+MGX Prasanthi Nilayam, near Sai Visranthi Park",,,,,,,,,
