qBF1Pd,MW4etd,UY7F9,AJB7ye,AJB7ye 2,W4Efsd,W4Efsd 2,W4Efsd 3,W4Efsd 4,W4Efsd 5,ah5Ghc,M4A5Cf,ah5Ghc 2,M4A5Cf 2,ah5Ghc 3,J8zHNe,bbPy1
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Aranya Cafe Suryalanka,4.7,-132,·,?1200,Cafe,·,"Bapatla Suryalanka Rd, beside Nagaravanam",Open,· Closes 11 pm,Dine-in,·,Drive-through,·,No-contact delivery,,
TEA HOUSE BAPATLA,3.9,-140,·,?1200,Coffee shop,·,Surya Lanka Beach Road,Open,· Closes 9 pm,Takeaway,,,,,,
BLUE PLATE MULTICUISINE,4.0,-791,·,?200400,Indian,·,Bapatla Suryalanka Rd,Closed,· Opens 12 pm,Dine-in,·,Takeaway,·,No-contact delivery,Order online,?
The Lassi Corner,4.1,-135,·,?1200,Cafe,·,"WB 3-220/1, Adithilu Center, Bapatla Suryalanka Rd",Open,· Closes 11 pm,Dine-in,·,Takeaway,·,No-contact delivery,,
Coffee day,4.7,-31,·,?1200,Coffee shop,,,Open,· Closes 10 pm,Dine-in,,,,,,
Frespresso,3.9,-76,·,?1200,Restaurant,·,"D.no.10-2-136, G.B, C.road, near old bus stand, beside to karur vysya bank",Opens soon,· 11 am,Dine-in,·,Kerbside pickup,·,Delivery,Order online,?
CHAI CLUB,4.2,-34,·,?1600,Cafe,·,"740, 5, Ganpavaram Rd, beside hero showroom",Open,· Closes 11 pm,Takeaway,,,,,,
"Bhavapuri Bhavannam, BAPATLA",3.9,-366,·,?1200,Breakfast,·,"GBC Rd, opp. Muncipal office",Open,· Closes 10 pm,Dine-in,·,Takeaway,·,Delivery,,
Break Zone,4.8,-52,,,Fast Food,·,"GBC Rd, opposite ABM-high school",Open,· Closes 10 pm,Dine-in,·,Takeaway,,,,
Lovely's Baker Street | Best Burger In Bapatla,4.6,-47,·,?200400,Cafe,·,"Lovely's, Baker Street, beside Banglore Bakery, opposite Mahila Lok",Opens soon,· 11 am,Dine-in,·,Drive-through,·,No-contact delivery,Order online,?
ANAND TEA & TIFFIN CENTER,4.7,-29,·,?1200,Coffee shop,·,Surya Lanka Beach Road,Open,· Closes 10 pm,Dine-in,·,Takeaway,·,Delivery,Order online,?
Sun n Sand Restaurant and Bar,4.1,-203,,,Restaurant,·,"Indian Gas Gudem, Bapatla Suryalanka Rd",Opens soon,· 11 am,Dine-in,·,Drive-through,,,,
Sai Nandan Cafe,5.0,-13,,,Cafe,·,"Ramapuram beach road, junction, NH216",Open,· Closes 10:30 pm,Dine-in,·,Takeaway,·,Delivery,,
Cafe ( Saradaga Kasepu ),4.0,-4,,,Coffee shop,·,1-125,Closed,· Opens 6 am Tue,Dine-in,·,Takeaway,,,,
The Ice Creamery,4.7,-538,,,Ice Cream,·,·,Open,· Closes 10 pm,Dine-in,·,Drive-through,·,No-contact delivery,Order online,?
INDIAN CAFE,5.0,-2,,,Tea store,·,"Andhra Pravesh, 7-5, Bapatla Road, near Gameshon Mill",,,"""Coffee superb""",,,,,,
