qBF1Pd,MW4etd,UY7F9,AJB7ye,AJB7ye 2,W4Efsd,W4Efsd 2,W4Efsd 3,W4Efsd 4,W4Efsd 5,ah5Ghc,M4A5Cf,ah5Ghc 2,M4A5Cf 2,ah5Ghc 3,J8zHNe,bbPy1
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Hush Coffee,4.3,-500,·,₹200–400,Cafe,·,Rangoon meda street,Open,· Closes 10 pm,Dine-in,·,Takeaway,·,Delivery,,
Zamindar's Cafe - Ameenapet,4.8,-24,·,₹1–200,Cafe,,,Open,· Closes 8:30 pm,Dine-in,,,,,Order online,
COFFEE ORIGINS,4.6,-13,,,Coffee shop,·,"6, Major District Road",Open,· Closes 10 pm,Takeaway,,,,,,
NPC-NILAGIRIS PREMIUM COFFEE,4.9,-80,·,₹1–200,Coffee shop,·,"National Highway -16,Bharat Petrol bunk,eluru Bypass,Ammapalem",Open 24 hours,,Dine-in,·,Drive-through,·,No-contact delivery,,
CHEERS The coffee shop,5.0,-12,·,"₹400–1,000",Cafe,·,·,Open,· Closes 10:30 pm,Dine-in,·,Drive-through,·,No-contact delivery,,
Hotspot connecting food lovers,4.9,-81,·,₹400–600,Cafe,·,"25-13-65, Vuppu Rama Rao Rd",Open,· Closes 11 pm,Dine-in,·,Drive-through,,,Order online,
ELOHI CAFE,5.0,-10,·,₹1–200,Restaurant,·,"Sai Siva Enclave Building, opp. Lutheran Church",Open,· Closes 9 pm,Dine-in,·,Takeaway,·,No delivery,,
MR.CAFE. ELURU,5.0,-33,·,₹200–400,Restaurant,·,near CRR Engineering College,Open,· Closes 12 am,Dine-in,·,Drive-through,·,Delivery,,
Madras Filter Coffee,4.5,-18,·,₹1–200,Coffee shop,·,"APSRTC Old, Bus Stand, Road",,,Takeaway,,,,,,
Sage's Bistro,4.6,-81,·,₹200–400,Cafe,·,"D.no 231, Plot 27, 2nd Road, near First Cry School",Open,· Closes 11 pm,Dine-in,·,Kerbside pickup,·,No-contact delivery,Order online,
Hai Tea Center,4.1,"-4,936",·,₹₹,Tea house,·,·,Open,· Closes 11:30 pm,"""Food and",,coffee,,"tea very tasty food quality in s good very tasty""",,
Madras Coffee & Co,4.1,-12,·,₹1–200,Coffee shop,,,Open,· Closes 9 pm,Dine-in,·,Drive-through,·,No delivery,,
Madras Filter Coffee - Kalaparru,4.2,"-1,649",·,₹1–200,Coffee shop,·,tollgate,Open,· Closes 11:30 pm,Dine-in,·,Drive-through,·,No delivery,,
Darbar The cafe,4.2,-17,,,Tea store,·,"Murali Krishna hospital road, opposite to Fire station",Open,· Closes 12 am,Dine-in,·,Takeaway,·,Delivery,,
V tea cafe,5.0,-14,·,₹1–200,Coffee shop,·,"Papa Saheb St, 24B-10-44, R.R.Pet Main Road",Open,· Closes 8 pm,Takeaway,,,,,,
MINI TREATS,4.9,-35,·,₹1–200,Western,·,"P443+W2P, Western St,(patamativedi back side of ambica theatre",Open,· Closes 10:30 pm,Dine-in,·,Takeaway,,,Order online,
COFFEE HOUSE,5.0,-5,,,Coffee shop,·,"H NO 1, RV Ramarao St",Open,· Closes 10 pm,Dine-in,,,,,,
