qBF1Pd,MW4etd,UY7F9,AJB7ye,AJB7ye 2,W4Efsd,W4Efsd 2,doJOZc,W4Efsd 3,W4Efsd 4,W4Efsd 5,W4Efsd 6,ah5Ghc,M4A5Cf,ah5Ghc 2,M4A5Cf 2,ah5Ghc 3,J8zHNe,bbPy1
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Brewbakes Guntur,4.2,-863,·,?200400,Cafe,·,?,·,"Siva complex, 3rd Ln",Open,· Closes 11 pm,Dine-in,·,Drive-through,·,No-contact delivery,Order online,?
Ruchi tatibellam coffee Guntur,4.8,-45,,,Cafe,·,,ITC ROAD,,Open,· Closes 8:30 pm,Dine-in,·,Kerbside pickup,,,,
TEAS N TREES,4.3,"-1,982",·,?200400,Coffee shop,·,,"1st Lane, Pandaripuram Rd",,Open,· Closes 11 pm,Dine-in,·,Takeaway,·,No-contact delivery,Order online,?
Rose Cafe - Multi Cuisine Restaurant,4.7,"-1,819",,,Restaurant,·,?,·,"5th floor, Varasiddhi Arcade, 5 - 36, 4th Ln, above Reliance Trends",Opens soon,· 11:30 am,Dine-in,·,Drive-through,·,No delivery,Order online,?
ARAKU COFFEE,4.2,-271,·,?1200,Coffee shop,·,?,·,"Amaravathi Rd, opp. Anjaneya Swamy Temple",Open,· Closes 10 pm,Dine-in,·,Takeaway,·,Delivery,,
RR Green Caffeine,4.0,-218,·,?200400,Cafe,·,,Siddharth Nagar,,Open,· Closes 11 pm,Dine-in,·,Kerbside pickup,·,Delivery,Order online,?
La ROCKSTAR CAFE,4.3,-198,·,?200400,Cafe,·,,"3-28-54/1B, 7th Line",,Open,· Closes 10:30 pm,Dine-in,·,Takeaway,,,,
CELESTE BREW,4.1,-84,·,?200400,Coffee shop,·,,"8CPM+G3V, Mahatma Gandhi Inner Ring Rd, beside powerplay",,Open,· Closes 1 am,Dine-in,·,Takeaway,·,No-contact delivery,Order online,?
Sri Vinayaka Alpha Cafe,4.0,-612,·,?1200,Coffee shop,·,,8C6M+3FP,,Open,· Closes 10 pm,Dine-in,·,Takeaway,,,,
NIRVANA RESTRO CAFE,4.5,-275,·,?200400,Cafe,·,,"4th Ln, opposite KNR & SSR Grand",,Open,· Closes 11 pm,Dine-in,·,Takeaway,·,No-contact delivery,Order online,?
KUMBAKONAM FILTER COFFEE - BEST COFFEE IN GUNTUR,4.2,-154,·,?1200,Coffee shop,·,,"Mahatma Gandhi Inner Ring Rd, beside Wagon Wheel Pizza",,Open,· Closes 10 pm,Delivery,,,,,,
Chikmagalur Caffé,4.3,-377,·,?1200,Cafe,·,?,·,"D.no : 12, By-pass, 455/16/2, Service Rd, near subhamastu Kalyana Mandapam",Open,· Closes 10 pm,Dine-in,·,Drive-through,·,No-contact delivery,,
BHARAT CAFE,4.1,-206,·,?1200,Cafe,·,,"7FV2+3MW, Grand Trunk Rd",,Open,· Closes 10 pm,Dine-in,·,Drive-through,·,Delivery,,
Madras Premium Coffee,4.1,-8,,,Cafe,·,,"8C2Q+P55, 4th Ln",,Open,· Closes 10 pm,Takeaway,,,,,,
