qBF1Pd,MW4etd,UY7F9,AJB7ye,AJB7ye 2,W4Efsd,W4Efsd 2,W4Efsd 3,W4Efsd 4,W4Efsd 5,ah5Ghc,M4A5Cf,ah5Ghc 2,M4A5Cf 2,ah5Ghc 3,J8zHNe,bbPy1,doJOZc,W4Efsd 6
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Verandah Coffee Roasters and Café,4.7,"-5,140",·,?200600,Cafe,·,"Ground floor, Road # 1, 54-20-6",Open,· Closes 10 pm,Dine-in,·,Takeaway,·,No-contact delivery,Order online,?,,
Café ice magic,4.8,"-7,636",·,?200400,Pizza,·,·,Open,· Closes 10:30 pm,Dine-in,·,Takeaway,·,No-contact delivery,Order online,?,?,Nirmala Convent Rd
Aloha cafe,4.4,-518,·,"?2001,000",Cafe,·,·,Open,· Closes 11 pm,Dine-in,·,Drive-through,·,No-contact delivery,Order online,?,?,"54-27/7-2, Sri kanakadurga, Rd No 2"
Brew Buzz,4.2,"-2,804",·,?200400,Cafe,·,"59-7/9 Babu Textiles Road, 1st Ln, opp. LEPL Project Office",Open,· Closes 11 pm,Dine-in,·,Takeaway,·,No-contact delivery,Order online,?,,
Brewbakes café,4.6,-84,·,??,Beverages,·,"Ground Floor, 54, 16 /29, opp. to Loyola College Road",Open,· Closes 10:30 pm,Dine-in,·,Drive-through,·,No-contact delivery,Order online,?,,
Kava Cafe Vijayawada,4.2,-980,·,?400600,Cafe,·,"GJ2X+P6R, Jasti Venkata Ratnam St, opposite Manor Food Plaza",Open,· Closes 11 pm,Dine-in,·,Takeaway,·,No-contact delivery,Order online,?,,
ONE MORE COFFEE HOUSE,4.5,-188,·,?1200,Coffee shop,·,"Shop No.1, Plot No 76, C & 76, D Bypass Road",Open,· Closes 9:30 pm,Dine-in,·,Takeaway,,,,,,
Chai Duniya,4.4,-581,,,Tea store,·,·,Open,· Closes 10:30 pm,Delivery,,,,,,,?,Koneru Center
"Nothing Before Coffee - Krishna Nagar, New Delhi",4.7,"-1,335",·,?200400,Coffee shop,·,"2/5, opp. HDFC Bank",Open,· Closes 11:30 pm,Dine-in,·,Drive-through,·,No-contact delivery,Order online,?,,
CAFE ICE MAGIC,4.7,"-7,464",·,??,Ice Cream,·,·,Open,· Closes 10 pm,Dine-in,·,Drive-through,·,No-contact delivery,Order online,?,?,"Siddhartha College Rd, near Pv Sidhartha Arts College"
Madras Filter Coffee kkd to hyd,4.2,"-3,484",·,?1200,Cafe,·,·,Open,· Closes 10:30 pm,Dine-in,·,Drive-through,·,No delivery,,,?,"P8G6+6QH, NH 65"
KRISHNA NAGAR CAFE ?,4.9,-14,,,Cafe,·,"80/75A, National Hwy",Open,· Closes 10 pm,Dine-in,,,,,,,,
Chikmagalur Caffé,4.2,-293,·,?1200,Coffee shop,·,·,Open,· Closes 10 pm,Dine-in,·,Takeaway,,,,,?,"Varun Restaurant, near, NRI Medical College Rd, beside Anjaneya Restaurants"
Madras Filter Coffee,4.0,-190,·,?1200,Coffee shop,·,"1, Mahatma Gandhi Rd, Bander Rd",Open,· Closes 11 pm,Delivery,,,,,,,,
