qBF1Pd,MW4etd,UY7F9,W4Efsd,W4Efsd 2,W4Efsd 3,W4Efsd 4,W4Efsd 5,ah5Ghc,M4A5Cf,ah5Ghc 2,M4A5Cf 2,ah5Ghc 3,J8zHNe,bbPy1,AJB7ye,AJB7ye 2,doJOZc,W4Efsd 6
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Cafe Ice Magic,4.7,"-8,985",Cafe,·,"SV Complex, STBC College Rd",Open,· Closes 10:30 pm,Dine-in,·,Drive-through,·,No-contact delivery,Order online,,,,,
Forza Cafe,4.2,-617,Cafe,·,"40, 581/39, Forza cafe, SV Complex",Opens soon,· 11 am,Dine-in,·,Drive-through,·,No-contact delivery,Order online,,·,₹200–400,,
Kanchi Cafe - Kurnool,4.1,"-1,062",Indian,·,·,Open,· Closes 11:30 pm,Dine-in,·,Takeaway,,,Order online,,·,₹200–400,,V2H8+RPV
Kurnool Cafe,4.8,-13,Cafe,·,"Sai vasanth complex, Shilpa Birla Compound Rd",Open,· Closes 10 pm,Takeaway,,,,,Order online,,,,,
Mamatha Cafe,4.1,-433,Tea house,·,·,Open,· Closes 10 pm,Takeaway,,,,,,,,,,opp. Pump House Road
JANATHA CAFE,4.9,-16,Cafe,·,"sri rama nagar, opposite to z mart",Open,· Closes 11 pm,"""Highly recommended""",,,,,,,·,₹1–200,,
Estate Coffee,4.5,-79,Coffee shop,·,"Estate Coffee, Hyderabad - Bangalore Hwy, opp. Manasa Dhaba",Open,· Closes 11:30 pm,Dine-in,·,Drive-through,,,,,·,₹1–200,,
Coorg Premium Coffee,4.2,-97,Coffee shop,·,Q2PM+MHM,Open,· Closes 11:30 pm,Dine-in,·,Drive-through,·,No-contact delivery,,,·,₹1–200,,
Mingle Cafe,4.9,-15,Coffee shop,·,Mingle Cafe,,,Dine-in,,,,,,,,,,
Siri Bhavani Cafe,4.9,-57,Cafe,·,"Siri Bhavani Cafe, Teabreak Premchai, beside G Pullareddy Dental Collage, opp. to HP Petrol Pump",Open,· Closes 11 pm,Dine-in,·,Drive-through,·,Delivery,,,,,,
Chill and Thrill,4.1,-26,Coffee shop,·,R24W+7VW,Open,· Closes 10 pm,Dine-in,·,Takeaway,,,,,,,,
Mr. Cafe - Teas & Wishes,4.8,-32,Restaurant,,,Open,· Closes 10 pm,Dine-in,·,Drive-through,·,No-contact delivery,,,·,₹1–200,,
KRISHNA NAGAR CAFE ️,4.9,-14,Cafe,·,"80/75A, National Hwy",Open,· Closes 10 pm,Dine-in,,,,,,,,,,
Classic Rider Cafe Kurnool,4.3,-83,Cafe,·,"G 5, IN M/S SKANADANSHI EMPIRE, BESIDES, C.N HOSPITAL, Gooty Rd",Opens soon,· 11 am,Dine-in,·,Takeaway,·,Delivery,,,·,₹1–200,,
E=mc² cafe,4.2,-71,Cafe,·,"Joharapuram, road",Open,· Closes 10 pm,Dine-in,·,Takeaway,,,,,·,₹1–200,,
GARAM CHAI,4.8,-170,Cafe,·,"Joharapuram Rd, opposite Sri Nilayam",Closed,· Opens 2 pm,Dine-in,·,Kerbside pickup,·,No-contact delivery,Order online,,·,₹1–200,,
