qBF1Pd,MW4etd,UY7F9,AJB7ye,AJB7ye 2,W4Efsd,W4Efsd 2,W4Efsd 3,W4Efsd 4,W4Efsd 5,ah5Ghc,M4A5Cf,ah5Ghc 2,M4A5Cf 2,ah5Ghc 3,J8zHNe,bbPy1
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
KAPHI GOURMET FIELD - BEST COFFEE,4.8,-166,·,₹1–200,Coffee shop,·,"KGF Plot No 48 Padmavati Nagar, KGF",Open,· Closes 9:30 pm,Dine-in,·,Takeaway,·,No-contact delivery,,
Sidewalk cafe,4.1,"-1,065",·,₹1–200,Cafe,·,·,Open,· Closes 10 pm,On-site services,,,,,,
Moksha Cafe,5.0,-574,,,Tea store,,,Open,· Closes 10 pm,On-site services,,,,,,
Godavari coffe cafe,4.3,-50,·,₹1–200,Coffee shop,,,Open,· Closes 9:30 pm,Dine-in,,,,,,
Surabhi Cafe & Restaurant,4.2,-247,·,₹200–400,Restaurant,·,"29/207-G1, Statebank Colony Rd",Open,· Closes 10:30 pm,Dine-in,·,Takeaway,·,No-contact delivery,Order online,
The Belgian Waffle Co.,4.6,-161,·,₹200–400,Cafe,·,"D.No: 25/684-262, Padmavati Nagar Rd, beside Trends",Open,· Closes 11 pm,Dine-in,·,Takeaway,·,Delivery,Order online,
Krishna's Cafe,4.8,-23,·,₹1–200,Restaurant,·,Ngo Colony Rd,Closes soon,· 10:30 am · Opens 5:30 am Tue,Dine-in,·,Kerbside pickup,·,No-contact delivery,,
Friendly Cafe,4.5,-2,,,Coffee shop,·,25/410-R,,,Dine-in,,,,,,
Zamindar's Cafe,4.9,-25,,,"30/672-a-10-c,bommala staram DSP banglaw road",,,,,"""Gvsr medl world  pharmacy tea  come back 😊😊😊☕☕come""",,,,,,
THE CLASSIE JAIL RESTAURANT,4.4,"-1,529",·,₹200–600,Family-friendly,·,Padmavati Nagar Rd,Closed,· Opens 11:30 am,Dine-in,·,Drive-through,·,No-contact delivery,Order online,
THE KITCHEN GARDEN,4.5,"-8,143",·,"₹200–1,000",Biryani,·,·,Closed,· Opens 11:30 am,Dine-in,·,Kerbside pickup,·,No-contact delivery,Order online,
AL-BAIK NANDYAL,4.9,-22,,,Restaurant,·,"Near, NITC Rd",Closed,· Opens 12 pm,Dine-in,·,Takeaway,·,Delivery,Order online,
WOLF IRANI CHAI CAFE,4.8,-13,,,Coffee shop,·,"Hyder Hospital, Besides, opp. KILLER Store",,,Dine-in,·,Takeaway,,,,
9R Clouds,4.3,"-2,261",·,₹200–400,Biryani,·,"2/401 A-1B, Bogandhula complex",Closed,· Opens 12:30 pm,Dine-in,·,Drive-through,·,No-contact delivery,Order online,
Tea Day,4.9,-44,·,₹1–200,Cafe,·,"29/154-C, near The Gelvis Venkateswara Vidyalaya",Open,· Closes 9:30 pm,Dine-in,·,Drive-through,·,No-contact delivery,,
AATITHYAM PURE VEG RESTAURANT,4.4,-45,·,₹200–400,Restaurant,·,"4th floor, TOURIST ARCADE, 25-140",Closed,· Opens 12 pm,Dine-in,·,Takeaway,·,Delivery,Order online,
