qBF1Pd,MW4etd,UY7F9,AJB7ye,AJB7ye 2,W4Efsd,W4Efsd 2,W4Efsd 3,W4Efsd 4,W4Efsd 5,ah5Ghc,M4A5Cf,ah5Ghc 2,M4A5Cf 2,ah5Ghc 3,J8zHNe,bbPy1
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Minister’s Cafe,4.2,-854,·,₹1–200,Coffee shop,·,MDR85,Open,· Closes 10:30 pm,Dine-in,·,Drive-through,·,No-contact delivery,,
Cafe Rayalaseema,4.4,-89,·,₹1–200,Cafe,·,"Bombay Road,Employees Colony, Pothireddy Palem, Near Penna Barrage",Open 24 hours,,Dine-in,·,Drive-through,·,No-contact delivery,,
Hotspot The Cafe,4.3,-88,·,₹1–200,Coffee shop,·,"Shop 1, Cross Road",Open,· Closes 10 pm,Dine-in,·,Takeaway,·,No-contact delivery,,
Palla's Cafe,4.5,-37,·,₹1–200,Cafe,·,"Parthasaradhi Nagar , Near Narayana Medical College , Mutthukur Main Road, Muttukur, Main Road",Closed,· Opens 11:30 am,Dine-in,·,Takeaway,·,Delivery,,
Coffee Circle,4.1,-603,·,₹1–200,Coffee shop,,,Open,· Closes 9 pm,Takeaway,,,,,,
Ramu Cafe,4.5,-31,,,Coffee shop,·,"6/1/24, Arunachalam Street",Open,· Closes 11 pm,Dine-in,·,Drive-through,,,,
Sunrise Cafe,4.9,-45,·,₹1–200,Coffee shop,·,SH 444,Open,· Closes 9 pm,Dine-in,,,,,,
Romeo cafe,4.5,-55,·,₹1–200,Cafe,·,"Vengamamba Center, Setti Gunta Rd",Open,· Closes 10 pm,Dine-in,·,Takeaway,,,,
Minister's Cafe,4.8,-10,,,Coffee shop,·,FX5V+9X5,Open,· Closes 10:30 pm,On-site services,,,,,,
AS CAFE,5.0,-20,,,Coffee shop,·,"FX2Q+396, Mini Bypass Road",Open,· Closes 10 pm,Dine-in,,,,,,
Café Coffee Day,4.1,"-1,190",·,₹200–400,Cafe,·,"Ward No. 23, Grnd Flr. C/O Sreeman Enclave. 667 Property No. 494, 1490, NRE Bit 1",Open,· Closes 12 am,Dine-in,·,Takeaway,·,No-contact delivery,Order online,
"Nellore ""HUB""",4.2,"-1,794",·,₹1–200,Restaurant,·,·,Open,· Closes 11:45 pm,"""Good place to have a snack,tea,",,coffee,,"cheat chat with friends ""IPL"" too""",,
Cafe Seema,4.0,-119,·,₹1–200,Cafe,·,·,Open,· Closes 10:30 pm,Dine-in,·,Takeaway,,,,
Cherry Cafe,3.8,-199,·,₹1–200,Cafe,·,FX3C+9C4,Open,· Closes 10:30 pm,Takeaway,,,,,,
ASR BRUDHAVAN,4.4,-43,·,₹1–200,Coffee shop,·,RTO Office Rd,Open,· Closes 10 pm,Drive-through,,,,,,
Swargam The Coffee Shop,5.0,-13,,,Cafe,·,Kakumanivari street,Open,· Closes 10 pm,Dine-in,·,Drive-through,·,No-contact delivery,Order online,
SRI CAFE,4.8,-13,,,Cafe,·,"Shop No 5, NH5, Main Rd",,,Dine-in,·,Takeaway,,,,
Tirumala Cafe,4.2,-175,·,₹1–200,Cafe,·,·,Open,· Closes 9:15 pm,"""I expected free WiFi but good service""",,,,,,
