qBF1Pd,MW4etd,UY7F9,W4Efsd,W4Efsd 2,W4Efsd 3,W4Efsd 4,W4Efsd 5,ah5Ghc,M4A5Cf,ah5Ghc 2,M4A5Cf 2,ah5Ghc 3,AJB7ye,AJB7ye 2
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Mourya Cafe,4.1,-232,Cafe,·,"SHOP NO 9 MOURYA CAFE, STATION ROAD, opp. to GANDHI PARK",Open,· Closes 10:30 pm,Dine-in,·,Takeaway,·,No-contact delivery,,
Coffee pub,4.9,-28,Coffee shop,·,"20-2-59/2, NRT road, opposite Old Damp Yard",Open 24 hours,,Dine-in,·,Drive-through,·,No-contact delivery,,
Aniq Cafe,4.2,-249,Cafe,·,·,Opens soon,· 11 am,Dine-in,·,Drive-through,·,No-contact delivery,·,₹1–400
SOUTHERN BREW COFFEE,4.8,-18,Cafe,·,"Konaseema ruchulu, National Highway",Open,· Closes 12 am,Dine-in,·,Drive-through,·,Delivery,·,₹1–200
Radha cafe,5.0,-21,Coffee shop,·,"1A, Vellampalli Tallur Rd, opposite Pattu Office",Open,· Closes 10 pm,Dine-in,,,,,,
Cafe cake magic,4.8,-30,Southern,·,"ground floor, Grand navayuga, Vinukonda Rd",Open,· Closes 10:30 pm,Dine-in,·,Drive-through,·,No-contact delivery,·,₹1–200
PURNACHANDRA RAO TEA & COOL DRINKS SHOP,4.2,-148,Coffee shop,·,యడ్లపడు,Open,· Closes 10 pm,Dine-in,·,Drive-through,·,No-contact delivery,·,₹1–200
SVS CAFE,4.9,-10,Coffee shop,·,"WH4J+R8P, Chintalacheruvu - Nagireddy Palle Rd",,,Dine-in,·,Takeaway,·,Delivery,,
Mr Cafe,4.6,-16,Cafe,·,"1/184, Macherla Road",Open,· Closes 9:30 pm,Dine-in,·,Takeaway,,,,
Vintage Filter Coffee,4.3,-52,Coffee shop,·,HQCF+X9X,Open 24 hours,,Dine-in,,,,,·,₹1–200
Native aruku coffee,4.9,-8,Coffee shop,·,2426+QP8,Open 24 hours,,"""Loved the Place, Environment and great Coffee.""",,,,,,
VAARADHI CAFE,4.5,-23,Restaurant,·,"Bypass Rd, opposite Sarabhaia High School Ground, beside Rice Mill",Open,· Closes 11 pm,Dine-in,·,Takeaway,,,·,₹1–200
V CAFE,4.6,-43,Cafe,·,New Bypass Rd,Open,· Closes 11 pm,Dine-in,·,Drive-through,·,Delivery,·,"₹200–1,000"
TATA CAFE,4.8,-47,Chinese,·,"62GX+522, 60 Feet Rd",Opens soon,· 11 am,Dine-in,,,,,·,₹1–200
Village Filter Coffee,5.0,-8,Coffee shop,·,"National Highway, 16",Open 24 hours,,Dine-in,·,Drive-through,·,No delivery,·,₹200–400
CHAI CLUB,4.4,-57,Coffee shop,·,"1-274, Macherla Road",Open,· Closes 10 pm,Dine-in,·,Takeaway,,,·,₹1–200
Vijaya lakshmi - Tea Stall,4.5,-15,Cafe,·,Chirala Rd,Open 24 hours,,"""Excellent 👍👍👍👍👍""",,,,,,
Venkatareddy tee stal,4.8,-11,Coffee shop,·,4XC4+4VW,,,Dine-in,·,Drive-through,,,,
