title,totalScore,reviewsCount,street,city,state,countryCode,website,phone,categories/0,categories/1,categories/2,categories/3,categories/4,categories/5,categories/6,categories/7,categories/8,categories/9,url,categoryName
Jai Jagannath Restaurant,4.3,1722.0,"D.No, Jai Jaganath Restaurant, 10-53-303, Main Rd, opposite to Seven Hills Hospital",Visakhapatnam,Andhra Pradesh,IN,https://wa.me/c/918897894904,+91 88978 94904,Chinese restaurant,Diner,Takeout Restaurant,North Indian restaurant,Odia restaurant,Vegetarian restaurant,,,,,https://www.google.com/maps/search/?api=1&query=Jai%20Jagannath%20Restaurant&query_place_id=ChIJocyLKxRDOToRf5iVupGq5VY,Chinese restaurant
మనీష్ పాన్ పాస్,,,,Gajuwaka,Andhra Pradesh,IN,,,Restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=%E0%B0%AE%E0%B0%A8%E0%B1%80%E0%B0%B7%E0%B1%8D%20%E0%B0%AA%E0%B0%BE%E0%B0%A8%E0%B1%8D%20%E0%B0%AA%E0%B0%BE%E0%B0%B8%E0%B1%8D&query_place_id=ChIJtyYvVjtCOToRAZlqCNhrF1c,Restaurant
PANDIT RAJASTHANI RESTAURANT,4.1,1894.0,"32-1-231, Bowdara Rd, near Railway Station",Visakhapatnam,Andhra Pradesh,IN,,+91 77020 12594,North Indian restaurant,Guest house,Lodge,Homestay,,,,,,,https://www.google.com/maps/search/?api=1&query=PANDIT%20RAJASTHANI%20RESTAURANT&query_place_id=ChIJl5BOK-BCOToRqaJyFstig30,North Indian restaurant
Saatvik Restaurant,3.9,231.0,30-11-2,Visakhapatnam,Andhra Pradesh,IN,,+91 98484 63425,North Indian restaurant,Gujarati restaurant,Indian restaurant,Rajasthani restaurant,,,,,,,https://www.google.com/maps/search/?api=1&query=Saatvik%20Restaurant&query_place_id=ChIJGRdzR3lDOToR_XH3wn2ztcY,North Indian restaurant
Heritage Restaurant,3.9,5067.0,"Ground Floor, 9-14, 7, VIP Rd",Visakhapatnam,Andhra Pradesh,IN,https://www.daspallahotels.com/,+91 89125 40202,South Indian restaurant,Breakfast restaurant,Chinese restaurant,Non vegetarian restaurant,Vegetarian restaurant,,,,,,https://www.google.com/maps/search/?api=1&query=Heritage%20Restaurant&query_place_id=ChIJX1Zh50BDOToRwgZ7hxO6r1Y,South Indian restaurant
Cascades Restaurant,4.4,657.0,Dolphin Hotels,Visakhapatnam,Andhra Pradesh,IN,https://www.dolphinhotelsvizag.com/dining/cascades.html,+91 93476 93112,North Indian restaurant,Breakfast restaurant,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Cascades%20Restaurant&query_place_id=ChIJa3cVahxDOToRC3A9W1BQiec,North Indian restaurant
The Rasoi Veg Thali,4.1,773.0,"10-4-17, opp. GVMC IN GATE",Visakhapatnam,Andhra Pradesh,IN,,+91 93932 23399,Indian restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=The%20Rasoi%20Veg%20Thali&query_place_id=ChIJod8OQH9DOToRqVgd7ArhK6I,Indian restaurant
Venkatadri Vantillu,3.9,6953.0,"8-1-6, Waltair Main Rd, opp. AU Campus",Visakhapatnam,Andhra Pradesh,IN,,,South Indian restaurant,Andhra restaurant,Box lunch supplier,Breakfast restaurant,Fast food restaurant,Indian restaurant,Vegetarian restaurant,,,,https://www.google.com/maps/search/?api=1&query=Venkatadri%20Vantillu&query_place_id=ChIJ6e_nfytDOToRr28plgz7Nvo,South Indian restaurant
Sweet India,4.2,2020.0,"30-15,154, Daba Garden Rd",Visakhapatnam,Andhra Pradesh,IN,,+91 89127 12020,Restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Sweet%20India&query_place_id=ChIJQwQemxlDOToRqtip4CLhi8k,Restaurant
Sri Sairam Parlour,4.0,27505.0,Opposite Diamond Park,Visakhapatnam,Andhra Pradesh,IN,,+91 81067 98484,South Indian restaurant,Breakfast restaurant,Fast food restaurant,,,,,,,,https://www.google.com/maps/search/?api=1&query=Sri%20Sairam%20Parlour&query_place_id=ChIJx9xupyRDOToR1W5iRUi2lF4,South Indian restaurant
Masaledaar Desi Rasoi - Vizag,4.4,1526.0,"1st Floor, Uma Vinaygar Building, Diamond Park Rd, next to Gupta Bros Book store",Visakhapatnam,Andhra Pradesh,IN,http://www.masaledaar.in/,+91 63038 08508,North Indian restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Masaledaar%20Desi%20Rasoi%20-%20Vizag&query_place_id=ChIJ-e_YJVFDOToReNLpAK7fn9A,North Indian restaurant
Maa Chutneys,4.0,4541.0,"GVK Plaza, 47-10-36, Ground floor, beside Fortune Srikanya Hotel",Visakhapatnam,Andhra Pradesh,IN,,+91 95532 26222,Vegetarian restaurant,Breakfast restaurant,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Maa%20Chutneys&query_place_id=ChIJi9jnER9DOToRilrXD3UOm6Y,Vegetarian restaurant
"Kanhaji Restaurant, Visakhapatnam",4.1,2419.0,"Navship House, NSN Towers, # 31-1-29/2, Allipuram Market Rd",Visakhapatnam,Andhra Pradesh,IN,https://www.facebook.com/KanhajiVizag/,+91 93902 19693,North Indian restaurant,Chinese restaurant,Family restaurant,Rajasthani restaurant,Vegetarian restaurant,,,,,,https://www.google.com/maps/search/?api=1&query=Kanhaji%20Restaurant%2C%20Visakhapatnam&query_place_id=ChIJATmbWR9DOToR5pcqUAKMNiM,North Indian restaurant
Ganapati Family Restaurant,4.1,688.0,"31-32-74, Beside Jothee Theatre Ladies Gate, behind Dolphin hotel",Visakhapatnam,Andhra Pradesh,IN,,+91 94910 26858,Indian restaurant,North Indian restaurant,Rajasthani restaurant,Vegetarian restaurant,,,,,,,https://www.google.com/maps/search/?api=1&query=Ganapati%20Family%20Restaurant&query_place_id=ChIJ29HHeRlDOToRbhYC9ZZJmhM,Indian restaurant
Mr.A's HOTSPOT restaurant,3.9,7.0,"Y junction, platinum food court, Dolphin Hill Rd",Gajuwaka,Andhra Pradesh,IN,,,Restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Mr.A's%20HOTSPOT%20restaurant&query_place_id=ChIJ3VtkvuZDOToRDYNSwr5bD_w,Restaurant
Ramayya Veg. Restaurant,3.9,2139.0,"8, Daba Garden Rd, Near Bank Of Baroda",Visakhapatnam,Andhra Pradesh,IN,,+91 92950 66511,Andhra restaurant,Vegetarian restaurant,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Ramayya%20Veg.%20Restaurant&query_place_id=ChIJIfU3thlDOToRPcg7TK2EpxY,Andhra restaurant
Dharani Restaurant,4.1,3576.0,"Hotel Dasapalla, 28-2-48, Town Kotha Rd",Visakhapatnam,Andhra Pradesh,IN,http://www.daspallahotels.com/,+91 89125 64825,South Indian restaurant,Breakfast restaurant,Vegetarian restaurant,,,,,,,,https://www.google.com/maps/search/?api=1&query=Dharani%20Restaurant&query_place_id=ChIJSSousQRDOToRqF0JnQsFnXE,South Indian restaurant
Dritha's Kitchen,4.5,2.0,"M7FJ+72W, Dolphin Hill Rd",Gajuwaka,Andhra Pradesh,IN,,,Family restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Dritha's%20Kitchen&query_place_id=ChIJiVmeRABDOToRlgyDTaG3mGI,Family restaurant
Barkaas Arabic Restaurant,4.2,3816.0,6th Ln,Visakhapatnam,Andhra Pradesh,IN,https://barkaasarabicrestaurant.com/,+91 84949 45678,Arab restaurant,Restaurant,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Barkaas%20Arabic%20Restaurant&query_place_id=ChIJZ9cWh2VDOToRwhKEUrfV9Hc,Arab restaurant
"Fortune Inn Sree Kanya, Visakhapatnam - Member ITC hotels' group",4.3,7057.0,"Sree Kanya Road, 47-10-34 & 35, Dwaraknagar, Diamond Park Rd",Visakhapatnam,Andhra Pradesh,IN,https://www.itchotels.com/in/en/fortuneinnsreekanya-visakhapatnam?utm_source=google&utm_medium=GMB,+91 891 668 8444,Hotel,Buffet restaurant,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Fortune%20Inn%20Sree%20Kanya%2C%20Visakhapatnam%20-%20Member%20ITC%20hotels'%20group&query_place_id=ChIJHQyhnSRDOToRVA7V4B7YImQ,Hotel
Upland Bistro,4.2,3284.0,"10-26-1/1, opposite to Waltair Club Road",Visakhapatnam,Andhra Pradesh,IN,http://www.uplandbistro.com/,+91 80882 61886,Continental restaurant,French restaurant,Italian restaurant,Mediterranean restaurant,Mexican restaurant,,,,,,https://www.google.com/maps/search/?api=1&query=Upland%20Bistro&query_place_id=ChIJMUaoAUBDOToRdDF7baDOC84,Continental restaurant
Hotel Greenpark Visakhapatnam,4.3,10578.0,"P884+5GW, Ram Nagar Rd",Visakhapatnam,Andhra Pradesh,IN,http://hotelgreenpark.com/,,Hotel,Bar,Coffee shop,Event venue,Pan-Asian restaurant,Restaurant,Wedding venue,,,,https://www.google.com/maps/search/?api=1&query=Hotel%20Greenpark%20Visakhapatnam&query_place_id=ChIJecL3bo5DOToRVIIoMK-7_Og,Hotel
Aathidyam Restaurant,4.8,240.0,,Visakhapatnam,Andhra Pradesh,IN,https://www.aathidyam.in/,+91 99087 27027,Family restaurant,Andhra restaurant,Biryani restaurant,Restaurant,South Indian restaurant,,,,,,https://www.google.com/maps/search/?api=1&query=Aathidyam%20Restaurant&query_place_id=ChIJUatzOwBDOToRB3QkTihF_ac,Family restaurant
Subbayya Gari Hotel visakhapatnam,4.5,16761.0,"SAVITRI SUMMIT D-N0:47-3-12, DWARAKA NAGAR 5TH LANE, near DIAMOND PARK",Visakhapatnam,Andhra Pradesh,IN,https://subbayyagarihotel.in/vegetarian-restaurants-in-visakhapatnam.php,+91 91004 16678,South Indian restaurant,Caterer,Vegan restaurant,Vegetarian restaurant,,,,,,,https://www.google.com/maps/search/?api=1&query=Subbayya%20Gari%20Hotel%20visakhapatnam&query_place_id=ChIJDeLiZrFDOToRl1iHmDWYF38,South Indian restaurant
THE SQUARE,4.5,1385.0,Beach Rd,Visakhapatnam,Andhra Pradesh,IN,https://all.accor.com/hotel/7535/index.en.shtml,+91 89128 22222,Restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=THE%20SQUARE&query_place_id=ChIJXXyXsQ1DOToRIjkdSPBlWRM,Restaurant
Rasa by Vivana,4.7,380.0,"back side of bajaj bike showroom, opp. cuddles",Visakhapatnam,Andhra Pradesh,IN,,+91 73373 37200,Indian restaurant,Restaurant,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Rasa%20by%20Vivana&query_place_id=ChIJrWDQx79DOToRdxqSIHfY4DA,Indian restaurant
Platform65 The Train Theme Restaurant - Vizag,4.3,14610.0,"3rd Floor, D. no 10-50-12,9-Block, Waltair Main Rd, opposite Governor Bungalow, beside Reliance Trends",Visakhapatnam,Andhra Pradesh,IN,https://platform65.in/our-branches/vizag/,+91 85001 86299,Family restaurant,Biryani restaurant,Chinese restaurant,Fast food restaurant,Indian restaurant,Lunch restaurant,Non vegetarian restaurant,South Indian restaurant,Vegetarian restaurant,,https://www.google.com/maps/search/?api=1&query=Platform65%20The%20Train%20Theme%20Restaurant%20-%20Vizag&query_place_id=ChIJn_NXFt1DOToRt9JKQ6amTJY,Family restaurant
"AB's - Absolute Barbecues | Vizag, Andhra Pradesh",4.3,9669.0,"FOURTH FLOOR, Plot No. 244A UMA VINAYAGAR",Visakhapatnam,Andhra Pradesh,IN,https://www.absolutebarbecues.com/best-bbq-grill-restaurant-near-me/vizag/diamond-park-road,+91 73373 83764,Barbecue restaurant,Buffet restaurant,Family restaurant,,,,,,,,https://www.google.com/maps/search/?api=1&query=AB's%20-%20Absolute%20Barbecues%20%7C%20Vizag%2C%20Andhra%20Pradesh&query_place_id=ChIJtWFx6HtDOToRdZNmWbBfdFk,Barbecue restaurant
"Dakshin, The Celebrated Tastes of Southern India",4.8,937.0,"Welcomhotel Devee Grand Bay, Beach Rd",Visakhapatnam,Andhra Pradesh,IN,https://www.itchotels.com/in/en/restaurant-listing.html?hotel=welcomhoteldeveegrandbay-visakhapatnam,+91 70327 03264,South Indian restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Dakshin%2C%20The%20Celebrated%20Tastes%20of%20Southern%20India&query_place_id=ChIJD_w4FPtDOToRunWI69plLrU,South Indian restaurant
Mekong Restaurant,4.5,1764.0,"Hotel Green Park, Ram Nagar LIG 1/IV, Ram Nagar Rd",Visakhapatnam,Andhra Pradesh,IN,,,Pan-Asian restaurant,Asian restaurant,Bar,Thai restaurant,,,,,,,https://www.google.com/maps/search/?api=1&query=Mekong%20Restaurant&query_place_id=ChIJAVRF1j9DOToRWSu1ZB44rAA,Pan-Asian restaurant
Zamindari Restaurant,4.4,3620.0,"Near, Nowroji Rd",Visakhapatnam,Andhra Pradesh,IN,,+91 99515 22111,South Indian restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Zamindari%20Restaurant&query_place_id=ChIJ2w3YxWNDOToRjEchz5GHfdU,South Indian restaurant
