card-heading,hotel-neighbourhood,rating-badge,rating-count,readMoreSmall,clickable,moreTextHidden,hotel-featured-data,price,card-body
1. Hyatt Place Hampi,121.1 kms from Mantralayam,7.7,(633Â reviews),"Known for providing world-class service to their customers, Hyatt Place Hampi is yet another masterp",(Read More),"iece that is located just 1 km away from the Vidyanagar Airport. This pet-friendly hotel offers exquisite upscale rooms with outdoor plunge pools too. Some of the amenities that the hotel provide include 24/7 dining, an outdoor pool and a fitness centre.",4 star hotel with 5 room options,"â‚¹9,000",
"2. HearthspaceHampi, a low-impact backpackers hostel",122.1 kms from Mantralayam,9.3,(177Â reviews),,,,Hostel with only 1 room option,"â‚¹1,598","Facilities:
     Wifi, Bar, Pets Allowed, Garden"
3. Mani's place,122.3 kms from Mantralayam,8.7,(32Â reviews),,,,Homestay with only 1 room option,"â‚¹1,214","Facilities:
     Wifi, Pets Allowed, Garden, Shuttle Service"
4. Hampi Village Resort & Tutti Cafe,123.4 kms from Mantralayam,9.8,(26Â reviews),,,,Hotel with 2 room options,"â‚¹1,800","Facilities:
     Wifi, Spa, Pets Allowed, Garden, Food"
5. All Is Well,123.4 kms from Mantralayam,8.7,(76Â reviews),"Perched on the banks of the Tungabhadra river, New Lakshmi Tourist Home in Hampi offers accommodatio",(Read More),"n with a terrace, free WiFi, a 24-hour front desk, and room service. The guestrooms in this homestay are air-conditioned and have balconies. During your stay, you can take a short 10-minute stroll to the well-known Virupaksha temple. Cycling is popular in the neighbourhood, and the homestay may set up a bicycle rental service if you want to explore the area. Ravi's Rose Rooftop Restaurant, just a short distance away, serves Italian, Indian, Asian, and Chinese cuisine. From the hotel's terrace, visitors may take in picturesque mountain views and a stunning sunset.",Homestay with only 1 room option,"â‚¹1,500",
6. Kalyan Guesthouse,123.4 kms from Mantralayam,8.4,(76Â reviews),"Overlooking the scenic Tungabhadra river, the Kalyan Guesthouse is one of the most well liked accomo",(Read More),"dations in Hampi. This well-known business serves as a one-stop shop for both domestic and overseas clients. The property is located 15 kilometres from Pâ‚¬Âpinâ‚¬Âyakanahalli and 4 km from New Hampi. For guests who want to explore the neighbourhood, the guest house offers car rental in addition to free private parking. Since there are many transportation options close at hand, getting to this location is a simple endeavour. Visit the architectural wonder that is the Hampi Archaeological Ruins while you're in the area; it will transport you back in time. Additionally, there are lots of restaurants around where you may grab a bite.",Guest house with 4 room options,"â‚¹2,100",
7. Whispering rocks hampi,123.5 kms from Mantralayam,8.4,(33Â reviews),,,,,"â‚¹2,587",
8. Manasa guest House,123.6 kms from Mantralayam,8.6,(87Â reviews),"Looking for hotels in Hampi? The Manasa Guest House is the ideal location for your staycation, so st",(Read More),"op looking elsewhere. This accommodation is a fantastic choice for tourists as it is close to some of Hampi's most well-known attractions, including the Vithala Temple Complex. You'll find a seating space and a balcony in each of these rooms. Private bathrooms come with complimentary toiletries and a shower. From the comfort of their rooms, visitors can enjoy the tranquil views of the mountain and the lush green gardens. Laughing Buddha and Mango Tree, both located close to Manasa Guest House, are two of Hampi's well-known falafel eateries to check out while you are there.",Guest house with 2 room options,"â‚¹1,800",
9. Rocky Guesthouse,123.6 kms from Mantralayam,8.4,(147Â reviews),Planning to visit the historical land of Hampi? We have got you covered. Rocky Guesthouse is one of,(Read More),"the most preferred property for a budgeted trip. It provides impressive accommodations with comfortable beds where the guests can relax after a long day of work or sightseeing. Visit for business purpose or for leisure, the property treats everyone guests with utmost care and provides the maximum comfort.",Guest house with 6 room options,"â‚¹1,200",
10. Funky monkey Home stay,123.6 kms from Mantralayam,9.1,(35Â reviews),,,,Holiday home with only 1 room option,"â‚¹1,305","Facilities:
     Wifi, Pets Allowed, Food"
