card-heading,hotel-neighbourhood,rating-badge,rating-count,card-body,hotel-featured-data,price,text-muted,readMoreSmall,clickable 2,moreTextHidden
1. Moonshot Coliving,37.9 kms from Srikalahasti,4.5,(4Â reviews),"Facilities:
     Wifi, Garden, Concierge Service, Food, Shuttle Service",Hotel with only 1 room option,"â‚¹1,445",onwards,,,
2. Moonshot Coliving,37.9 kms from Srikalahasti,4.5,(4Â reviews),"Facilities:
     Wifi, Garden, Concierge Service, Food, Shuttle Service",Hotel with only 1 room option,"â‚¹1,445",onwards,,,
3. Hotel Smart City Park Inn,38.4 kms from Srikalahasti,7.1,(8Â reviews),"Facilities:
     Wifi, Concierge Service, Food, Shuttle Service",Hotel with 3 room options,"â‚¹9,000",onwards,,,
4. Hotel Smart City Park Inn,38.4 kms from Srikalahasti,7.1,(8Â reviews),"Facilities:
     Wifi, Concierge Service, Food, Shuttle Service",Hotel with 3 room options,"â‚¹9,000",onwards,,,
5. SMART RESIDENZA,38.5 kms from Srikalahasti,,,"Facilities:
     Wifi, Bar, Food, Shuttle Service",5 star hotel with 2 room options,"â‚¹6,720",onwards,,,
6. SMART RESIDENZA,38.5 kms from Srikalahasti,,,"Facilities:
     Wifi, Bar, Food, Shuttle Service",5 star hotel with 2 room options,"â‚¹6,720",onwards,,,
7. PPH Living KVR Residency,39.5 kms from Srikalahasti,8.5,(15Â reviews),"Facilities:
     Wifi, Food",Hotel with 3 room options,"â‚¹7,200",onwards,,,
8. PPH Living KVR Residency,39.5 kms from Srikalahasti,8.5,(15Â reviews),"Facilities:
     Wifi, Food",Hotel with 3 room options,"â‚¹7,200",onwards,,,
9. Hotel Tokyo Ryokan,39.7 kms from Srikalahasti,8.4,(5Â reviews),"Facilities:
     Wifi, Garden",Apartment with 2 room options,"â‚¹7,450",onwards,,,
10. Hotel Tokyo Ryokan,39.7 kms from Srikalahasti,8.4,(5Â reviews),"Facilities:
     Wifi, Garden",Apartment with 2 room options,"â‚¹7,450",onwards,,,
11. LAKEVIEW RESIDENCY,39.8 kms from Srikalahasti,,,,Hotel with 2 room options,"â‚¹1,400",onwards,,,
12. LAKEVIEW RESIDENCY,39.8 kms from Srikalahasti,,,,Hotel with 2 room options,"â‚¹1,400",onwards,,,
"13. Lakeview Residency, Sricity TADA",39.9 kms from Srikalahasti,7.5,(49Â reviews),"Facilities:
     Wifi, Food",Aparthotel with 4 room options,"â‚¹2,300",onwards,,,
"14. Lakeview Residency, Sricity TADA",39.9 kms from Srikalahasti,7.5,(49Â reviews),"Facilities:
     Wifi, Food",Aparthotel with 4 room options,"â‚¹2,300",onwards,,,
15. True North Apart Hotel,40.5 kms from Srikalahasti,6.8,(8Â reviews),"Facilities:
     Wifi, Bar, Pets Allowed, Garden, Concierge Service, Food, Shuttle Service",Hotel with 3 room options,"â‚¹2,000",onwards,,,
16. True North Apart Hotel,40.5 kms from Srikalahasti,6.8,(8Â reviews),"Facilities:
     Wifi, Bar, Pets Allowed, Garden, Concierge Service, Food, Shuttle Service",Hotel with 3 room options,"â‚¹2,000",onwards,,,
17. Bigstay,40.7 kms from Srikalahasti,7.3,(22Â reviews),"Facilities:
     Wifi, Spa, Pool, Garden, Children's Playground, Food, Shuttle Service",Aparthotel with 3 room options,"â‚¹5,250",onwards,,,
18. Bigstay,40.7 kms from Srikalahasti,7.3,(22Â reviews),"Facilities:
     Wifi, Spa, Pool, Garden, Children's Playground, Food, Shuttle Service",Aparthotel with 3 room options,"â‚¹5,250",onwards,,,
19. Comfort Stay,41.0 kms from Srikalahasti,7.2,(24Â reviews),"Facilities:
     Wifi, Food",Hotel with 3 room options,"â‚¹1,749",onwards,,,
20. Comfort Stay,41.0 kms from Srikalahasti,7.2,(24Â reviews),"Facilities:
     Wifi, Food",Hotel with 3 room options,"â‚¹1,749",onwards,,,
21. Ponneri Gymkhana Club,70.6 kms from Srikalahasti,7.9,(12Â reviews),"Facilities:
     Spa, Pool, Food",4 star hotel with 3 room options,"â‚¹3,500",onwards,,,
22. Ponneri Gymkhana Club,70.6 kms from Srikalahasti,7.9,(12Â reviews),"Facilities:
     Spa, Pool, Food",4 star hotel with 3 room options,"â‚¹3,500",onwards,,,
23. Clinton's Praetorium Inn,82.2 kms from Srikalahasti,,,"Facilities:
     Wifi",5 star hotel with 2 room options,,,,,
24. Clinton's Praetorium Inn,82.2 kms from Srikalahasti,,,"Facilities:
     Wifi",5 star hotel with 2 room options,,,,,
25. Fairfield by Marriott Sriperumbudur,93.7 kms from Srikalahasti,8.6,(38Â reviews),,,"â‚¹11,560",onwards,,,
26. Super Hotel O Choolai Near Chennai Railway Station,"Periamet
				
				94.9 kms from Srikalahasti",9.0,(36Â reviews),"Facilities:
     Wifi",Hotel with only 1 room option,"â‚¹2,234",onwards,,,
27. Hotel Greenpark Chennai,"Vadapalani
				
				95.2 kms from Srikalahasti",8.4,(969Â reviews),,,"â‚¹6,792",onwards,"Hotel Greenpark Chennai is praised for its friendly and attentive staff, s",(Read More),"pacious and clean rooms with great views, and delicious breakfast buffet with options for dietary preferences. The hotel is conveniently located near the airport and offers quick and responsive service. The hotel's amenities and hospitality exceed expectations, and the staff, particularly Mr. Arshaq and Ms. Mallika, receive special mentions. The dining experience, while generally positive, could be improved with better desserts and inclusion of drinks in the buffet. Overall, Hotel Greenpark Chennai provides a pleasant and relaxing stay."
28. Stay Court - Business Class Hotel - Near Central Railway Station,"Periamet
				
				96.3 kms from Srikalahasti",8.5,(350Â reviews),,Hotel with 2 room options,"â‚¹2,000",onwards,"Located near Central Railway Station in Chennai, Stay Court is a business class hotel that offers a",(Read More),"pleasant and comfortable stay. The staff is friendly and goes out of their way to ensure a pleasant experience for guests. The rooms are clean and spacious, equipped with all necessary amenities. The hotel is also in close proximity to renowned vegetarian and non-vegetarian restaurants. The staff is helpful and accommodating. With its excellent service, clean rooms, and convenient location, Stay Court is highly recommended for solo and budget travelers visiting Chennai."
29. Sheraton Grande Hotel - Business Class Hotel - Near Central Railway Station,"Periamet
				
				96.3 kms from Srikalahasti",8.5,(309Â reviews),,Hotel with 2 room options,"â‚¹2,900",onwards,The Sheraton Grande Hotel in Chennai is a business class hotel conveniently located near the Central,(Read More),"Railway Station. The hotel offers various amenities including parking, laundry, daily housekeeping, and air conditioning. The rooms are neat and clean, and the staff is friendly and attentive. Guests have praised the hotel for its exceptional service, convenient location, and reasonable prices. The hotel is close to Chennai Central Metro station and main train station, making it easily accessible. Nearby, guests can find good quality eateries to dine at. Overall, the Sheraton Grande Hotel provides a comfortable and enjoyable stay for both individuals and families in Chennai."
30. Esakki Empire,"Periamet
				
				96.4 kms from Srikalahasti",8.8,(31Â reviews),"Facilities:
     Wifi, Bar, Shuttle Service",Hotel with 7 room options,"â‚¹7,500",onwards,,,
31. The Belstead Hotel,"Nungambakkam
				
				96.6 kms from Srikalahasti",8.5,(1111Â reviews),,,,,,,
32. Neighbour Inn Aparthotel,"Manapakkam
				
				96.7 kms from Srikalahasti",9.0,(32Â reviews),,,,,,,
33. GREENS INN,"Central Chennai
				
				96.8 kms from Srikalahasti",9.2,(30Â reviews),"Facilities:
     Wifi, Concierge Service, Shuttle Service",Hotel with 2 room options,"â‚¹1,400",onwards,,,
34. SM MANSION near Harbour & High court,"Central Chennai
				
				96.8 kms from Srikalahasti",8.4,(395Â reviews),,Hotel with 3 room options,"â‚¹1,000",onwards,Solo female travelers and guests highly recommend the SM MANSION near Harb,(Read More),"our & High court. The hotel offers clean rooms, attentive staff, and good facilities. The location is central, with easy access to restaurants, shops, and public transportation. Guests appreciate the safety measures for solo women travelers. The staff are helpful, friendly, and provide excellent service, including printing bus tickets and arranging tours. Overall, the hotel is comfortable, affordable, and well-maintained, making it a top choice in Chennai."
"35. Taj Coromandel, Chennai","Nungambakkam
				
				97.1 kms from Srikalahasti",9.2,(210Â reviews),,,,,The Taj Coromandel in Chennai received positive reviews for its spacious h,(Read More),"alls, great food, and excellent customer service. Many guests praised the staff for going above and beyond to ensure a pleasant stay, particularly mentioning individuals such as A Dayalan, Mr. Kuppusamy, and Sous Chef Mr. Dayalan. The hotel's central location and luxurious amenities were also highlighted. However, some guests expressed minor disappointments such as the lack of certain food options and the absence of a game room. Overall, the Taj Coromandel received high recommendations and guests expressed a desire to return in the future."
36. Taj Coromandel,"Nungambakkam
				
				97.1 kms from Srikalahasti",8.8,(987Â reviews),,5 star hotel with 15 room options,"â‚¹9,000",onwards,"Boasting of a magnificent blend of South Indian and European architecture, Taj Coromandel brings you",(Read More),"polished accommodations with indulgent suites overlooking cityscapes. Housing a landscaped pool, sunken bar, open-air restaurant, wellness centre and meeting room, the hotel curates premier holiday experiences and celebrations. Their expansive banquet hall is perfect for romantic weddings and social get-togethers."
37. Star City Hotel,"T Nagar
				
				97.3 kms from Srikalahasti",8.8,(380Â reviews),,,"â‚¹3,693",onwards,,,
38. V V Grand,"Anna Salai
				
				97.3 kms from Srikalahasti",8.6,(73Â reviews),"Facilities:
     Wifi, Food, Shuttle Service",5 star hotel with 3 room options,"â‚¹4,500",onwards,,,
"39. Taj Connemara, Chennai","Egmore-Nungambakam
				
				97.6 kms from Srikalahasti",8.5,(1361Â reviews),,5 star hotel with 11 room options,"â‚¹8,000",onwards,"Taj Connemara features a grand building surrounding the central pool and garden, a few strides away",(Read More),"from Spencer Plaza Mall. Their 147 sophisticated suites with exclusive amenities and refined dÃ©cor overlook the shared open-air lounge and bar. Since 1984, this heritage resort has offered superior facilities like an airy restaurant, a spa and health club."
40. RR Mount Elite Suites,"Egmore-Nungambakam
				
				97.8 kms from Srikalahasti",8.7,(283Â reviews),,Hotel with 3 room options,"â‚¹3,400",onwards,RR Mount Elite Suites in Chennai offers spacious and clean rooms at a reasonable price. The hotel pr,(Read More),"ovides free WiFi, free parking, and a concierge service. Guests praise the helpful and friendly staff. The rooms are well-maintained with comfortable furnishings, clean bathrooms, and ample storage. It is highly recommended for a pleasant stay in Chennai."
41. The Accord Metropolitan Hotel,"T Nagar
				
				97.8 kms from Srikalahasti",8.4,(2937Â reviews),,,,,"Grand Hotel Due Golfi is a hidden gem nestled in the hillside of Sorrento, Italy.Â With its spectacul",(Read More),"ar views of the city of the Mediterranean Sea and the Gulf of Naples, this opulent 5-star hotel offers a once-in-a-lifetime experience. Stepping outside onto the hotel terrace allows guests to take in the beauty of the surrounds while also enjoying a light sea breeze and the sound of the waves. The hotel's hillside setting provides a tranquil and quiet ambience ideal for a romantic break or a restful vacation."
42. E Hotel,"Anna Salai
				
				98.1 kms from Srikalahasti",8.5,(859Â reviews),,,,,"The hotel's location is convenient, with friendly and accommodating staff.",(Read More),"The rooms are comfortable and well-equipped. The food in the restaurant is good, but the service can be slow. The hotel has a nice meeting hall and is located in a mall with ample parking. Guests had a wonderful and memorable stay, with fantastic service and clean rooms. The hotel is recommended for its ambiance, excellent customer service, and comfortable amenities."
43. The Residency Towers,"T Nagar
				
				98.4 kms from Srikalahasti",8.4,(729Â reviews),,5 star hotel with 9 room options,"â‚¹10,000",onwards,"The Residency Towers is a grand 5 star hotel for business and leisure travelers, nestled in the hear",(Read More),"t of the city close to several important offices and tourist places. With its lavishly appointed rooms coupled with their ultra-modern facilities and fantastic fine-dining experiences, the hotel treats guests to a sophisticated and elegant stay in Chennai."
44. M Central,"T Nagar
				
				98.4 kms from Srikalahasti",8.4,(145Â reviews),"Facilities:
     Wifi, Concierge Service, Food, Shuttle Service",Hotel with 2 room options,"â‚¹7,000",onwards,,,
45. Grand Chennai by GRT Hotels,"Teynampet
				
				98.5 kms from Srikalahasti",8.6,(1452Â reviews),,5 star hotel with 6 room options,"â‚¹9,400",onwards,"Set within the famous Pondy Bazaar, this chic contemporary style hotel features refined architecture",(Read More),"and urban elegance for a sophisticated stay amidst lush greenery. The hotel offers rooms professionally designed in luxurious decor and hardwood furniture with bay windows and a spacious seating area. Premium facilities like a sparkling indoor pool, gardens with barbecue, renowned spa and wellness retreats, fitness centre and multiple fine dining restaurants and gastro-bar with a live kitchen serving mouth-watering street food and local cuisines are also available."
