qBF1Pd,MW4etd,UY7F9,AJB7ye,AJB7ye 2,W4Efsd,W4Efsd 2,doJOZc,W4Efsd 3,W4Efsd 4,W4Efsd 5,W4Efsd 6,ah5Ghc,M4A5Cf,ah5Ghc 2,M4A5Cf 2,ah5Ghc 3,J8zHNe,bbPy1
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Bruva Cafe,4.8,-101,·,₹200–400,Cafe,·,,·,"D. No, 9, 28, Main road",Open,· Closes 11 pm,Dine-in,·,Drive-through,·,No-contact delivery,Order online,
Lavinto café & patisserie,4.4,-743,·,"₹200–1,200",Cafe,·,,"1-14-2, GROUND FLOOR, behind MAHENDRA MITHAIWALA",,Closed,· Opens 12:30 pm,Dine-in,·,Takeaway,·,No-contact delivery,,
Bean Board Cafe & Patisserie,4.2,-198,·,₹200–400,Cafe,·,,"No. 67-15-32A, Satya Complex, Nagamallithota Junction, Road, beside The Belgian Waffle Co",,Open,· Closes 10:50 pm,Dine-in,·,Takeaway,·,No-contact delivery,Order online,
Madras Premium Coffee,4.1,-187,·,₹1–200,Coffee shop,·,,2-17d-3/3,,Open,· Closes 9 pm,Takeaway,,,,,,
The Udhayum Cafe,4.6,-549,·,₹1–200,Vegetarian,·,,"Near, Sarpavaram Jct",,,,Dine-in,·,Delivery,,,Order online,
24 cafe & patisserie,5.0,-36,·,₹1–200,Cafe,·,,"8, 50, Building Centre, D No: 2-56, Bhaskar Nagar",,Open,· Closes 10:30 pm,Dine-in,·,Takeaway,·,No-contact delivery,Order online,
CACHé THE HIDDEN CAFE,4.6,-28,·,₹200–400,Cafe,·,,X6PH+VR7,,,,Dine-in,·,Takeaway,·,Delivery,,
Da Spot's - Brews & Bites Restro Cafe,4.6,-159,·,"₹200–1,200",Restaurant,·,,opp. Electrical Sub Station,,Closed,· Opens 11:30 am,Dine-in,·,Takeaway,·,No-contact delivery,Order online,
Madhu's Cafe | Kakinada,4.0,"-1,736",·,₹₹,Caterer,·,,,,Open,· Closes 11 pm,Dine-in,·,Drive-through,·,No-contact delivery,Order online,
CENNET RestoCafe,4.0,-726,·,₹200–400,Cafe,·,,"Stadium Rd, opposite DSA second gate",,Open,· Closes 10 pm,Dine-in,·,Takeaway,·,No-contact delivery,Order online,
Garden Cafe - Multi Cuisine,4.9,-89,·,"₹800–2,000",Restaurant,·,,"Grand Kakinada by GRT Hotels, 11-3-11, Veterinary Hospital St",,Open 24 hours,,Dine-in,·,Kerbside pickup,·,No-contact delivery,,
Luvf Cafe,4.9,-19,·,₹1–200,Cafe,·,,Three Lights Junction,,Open,· Closes 11 pm,Dine-in,·,Drive-through,·,No-contact delivery,,
Hungry Birds,4.4,"-8,308",·,₹200–400,Family-friendly,·,,·,BVS Patrudu St,Closed,· Opens 11:30 am,Dine-in,·,Takeaway,·,No-contact delivery,Order online,
The Penguin Cafe,4.7,-46,·,₹1–200,Cafe,·,,Nageswara Rao St,,Opens soon,· 11 am,Dine-in,·,Takeaway,·,Delivery,,
