qBF1Pd,MW4etd,UY7F9,AJB7ye,AJB7ye 2,W4Efsd,W4Efsd 2,W4Efsd 3,W4Efsd 4,W4Efsd 5,ah5Ghc,M4A5Cf,ah5Ghc 2,M4A5Cf 2,ah5Ghc 3,J8zHNe 2,bbPy1 2
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Simhadri Coffee Cafe,4.3,-109,·,₹1–200,Coffee shop,·,"Sontyam, Checkpost",Open,· Closes 9 pm,Dine-in,·,Drive-through,,,,
V Hangout Resto Cafe,4.2,"-1,619",·,₹200–400,Restaurant,·,"5-189/10, revenue ward 6, 45",Opens soon,· 11 am,Dine-in,·,Kerbside pickup,·,No-contact delivery,Order online,
KAFA CAFE & RESTO,4.5,-515,·,"₹400–1,400",Cafe,·,Apiic,Opens soon,· 11 am,Dine-in,·,Kerbside pickup,,,Order online,
CAFFEINE CUPS,4.7,-167,·,₹1–200,Coffee shop,·,·,Open,· Closes 9:30 pm,Dine-in,·,Kerbside pickup,·,No-contact delivery,,
Latte Global Cafe,4.3,-854,·,"₹400–1,200",Cafe,·,·,Opens soon,· 11 am,Dine-in,·,Drive-through,·,No-contact delivery,,
Chennapatnam Filter Coffee,4.1,"-1,174",·,₹1–200,Coffee shop,·,·,Open,· Closes 9 pm,Dine-in,·,Drive-through,·,No-contact delivery,,
Brew n Bistro Café,4.2,"-1,875",·,₹200–400,Cafe,·,·,Opens soon,· 11 am,Dine-in,·,Drive-through,·,No-contact delivery,Order online,
Stories hangout cafe,4.2,-68,·,₹200–400,Cafe,·,Q9VM+2JH it junction,Closed,· Opens 1 pm,Dine-in,·,Takeaway,·,No-contact delivery,,
CACHé THE HIDDEN CAFE,4.6,-28,·,₹200–400,Cafe,·,X6PH+VR7,,,Dine-in,·,Takeaway,·,Delivery,,
Gypsy Resto Cafe,4.2,"-2,641",·,₹₹,Beverages,·,Firing Range Rd,Opens soon,· 11 am,Dine-in,·,Kerbside pickup,·,Delivery,Order online,
Tara Café,4.9,-15,·,₹1–400,Coffee shop,·,"Q9VJ+798 Connecting Rd, Sriram Panorama Beach, Law College Rd",Open,· Closes 11 pm,Dine-in,·,Takeaway,·,Delivery,,
Brew buzz,4.5,-672,·,"₹200–1,200",Coffee shop,·,530045,Open,· Closes 11 pm,Dine-in,·,Drive-through,·,No-contact delivery,Order online,
Madras Premium Coffee,4.1,-187,·,₹1–200,Coffee shop,·,2-17d-3/3,Open,· Closes 9 pm,Takeaway,,,,,,
Bean Board - Chinna Waltair,4.4,"-1,469",·,₹200–400,Cafe,·,·,Opens soon,· 11 am,Dine-in,·,Takeaway,·,No-contact delivery,,
Suto Cafe - VISAKHAPATNAM,4.3,-111,·,₹200–400,Cafe,·,"SRI SAI SOUDHA (GROUND FLOOR) PLOT HIG 737, 100 FEET ROAD, LAYOUT",Open,· Closes 10:30 pm,Dine-in,·,Drive-through,·,No-contact delivery,Order online,
BTS RESTO CAFE,4.4,-59,·,₹200–400,Cafe,·,"Q9V19, +2TH IT junction, Near IT setz junction",Open,· Closes 11 pm,Dine-in,·,Drive-through,·,No-contact delivery,Order online,
