card-heading,hotel-neighbourhood,hotel-neighbourhood 2,rating-badge,rating-count,price,text-muted,hotel-featured-data,card-body,clickable 2
1. Minerva Grand Nellore,500 m from MGB Felicity Mall,# 1  hotel in  Nellore,8.0,(516 reviews),"₹3,616",onwards,,,
2. R Square Guest inn,700 m from MGB Felicity Mall,# 2  hotel in  Nellore,7.9,(34 reviews),"₹4,500",onwards,Hotel with 2 room options,,
3. HOTEL ROYAL PARK,100 m from MGB Felicity Mall,# 3  hotel in  Nellore,7.4,(83 reviews),"₹2,300",onwards,Hotel with 4 room options,,
4. hotel royal park nellore,900 m from Nellore Station,# 4  hotel in  Nellore,7.1,(50 reviews),"₹4,225",onwards,,,
5. Kings Court Guest Inn,1.2 kms from Nellore Station,# 5  hotel in  Nellore,7.3,(30 reviews),"₹2,500",onwards,Hotel with 3 room options,,
6. HOTEL BLUE MOON,700 m from MGB Felicity Mall,# 6  hotel in  Nellore,6.9,(49 reviews),"₹2,699",onwards,Hotel with 2 room options,"Facilities:
     Wifi, Food",
7. Hotel Seasons Inn,800 m from MGB Felicity Mall,# 7  hotel in  Nellore,6.8,(41 reviews),"₹3,329",onwards,Hotel with 4 room options,,
"8. Hotel VR Grand In, Nellore",900 m from MGB Felicity Mall,# 8  hotel in  Nellore,7.5,(60 reviews),"₹2,844",onwards,,,
9. Nandas Grand,4.5 kms from MGB Felicity Mall,# 9  hotel in  Nellore,6.3,(39 reviews),"₹1,260",onwards,Hotel with 2 room options,"Facilities:
     Garden, Food",
10. D. R. Utthama,800 m from Nellore Station,# 10  hotel in  Nellore,7.5,(22 reviews),,,,,Enter dates  to see price
11. INN THE CENTRE,600 m from Nellore Station,# 11  hotel in  Nellore,5.8,(25 reviews),"₹1,838",onwards,Hotel with 3 room options,"Facilities:
     Wifi, Bar, Food",
12. Regenta Inn Bhavani Nellore,900 m from Nellore Station,# 12  hotel in  Nellore,8.1,(19 reviews),"₹3,650",onwards,Hotel with 3 room options,"Facilities:
     Bar, Concierge Service, Food, Shuttle Service",
13. A5 hotel,600 m from Gudur Junction Station,# 13  hotel in  Nellore,7.9,(19 reviews),"₹3,155",onwards,Hotel with 2 room options,"Facilities:
     Wifi, Beach, Pool, Garden, Concierge Service, Food, Shuttle Service",
14. Hotel Park Inn,800 m from Nellore Station,# 14  hotel in  Nellore,8.6,(16 reviews),"₹3,949",onwards,Hotel with 4 room options,"Facilities:
     Bar, Wifi, Food",
