qBF1Pd,MW4etd,UY7F9,W4Efsd,W4Efsd 2,W4Efsd 3,W4Efsd 4,W4Efsd 5,ah5Ghc,eXlrNe
,,,,,,,,,
,,,,,,,,,
Alluri Seeta Rama Raju Garden,4.5,-461.0,Garden,·,M9HJ+64J,Open,· Closes 8 pm,"""you can go to Chintapalli, Lambasingi",
Alluri Sitaramaraju Park,3.8,-265.0,Park,·,"GJGJ+3QQ, CK Reddy Rd",Open,· Closes 8 pm,"""The place is beautified with large and small trees with bonsai also.""",
ALLURI SITA RAMA RAJU MEMORIAL PARK,4.3,-28.0,Historical place museum,,,,,"""Memorable place""",
Alluri sitaramaraju park..chandu pothuru,3.0,-1.0,Park,·,M7P2+876,Open 24 hours,,,
Sri Alluri Seetharama Raju Park - Mampa,4.2,-10.0,Park,·,M547+74,,,"""There is lot of space to develop infrastructure.""",
Alluri SitaRamaRaju Park,4.2,-469.0,Park,,,Open,· Closes 8 pm,"""...",
sita rama raju nagar park,3.9,-10.0,Park,·,P6WJ+9P7,Open now,,"""Very nice and peaceful""",
Sai Ram park,4.0,-1.0,Park,·,R9H2+9CF,Open now,,,
"SRI VETUKURI VENKATA SIVA RAMA RAJU PARK, KOMATIGUNTA",3.9,-20.0,Park,·,"HC4H+7MG, Seesali - Komatigunda Main Rd",Open now,,,
Ramareddy gardens,5.0,-1.0,Park,,,,,,Permanently closed
Alluri seetharamaraju,,,Park,·,WP7Q+5X5,,,,Permanently closed
Suryachandrudu Layout Park,5.0,-2.0,Park,·,Surya Chandrudu Layout,,,,Temporarily closed
