qBF1Pd,MW4etd,UY7F9,W4Efsd,W4Efsd 2,doJOZc,W4Efsd 3,W4Efsd 4,W4Efsd 5,W4Efsd 6,ah5Ghc
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Rajiv Park,4.2,"-2,786",Park,·,?,·,"mig-166, 80 Feet Rd",Closed,· Opens 4:30 pm,"""Overall, it's a well-maintained and beautiful park for all age groups."""
National Park,4.0,"-2,330",Park,·,?,·,PH6V+6WC,Open,· Closes 8 pm,On-site services
Neeru-pragathi Park,4.2,"-1,127",Park,·,?,·,MH6P+CC4,Closed,· Opens 5 am Tue,"""The park is open from 5:00 AM to 9:00 PM, and admission is free."""
BUDDHA VIHAR PARK,4.3,-224,Park,·,,"MJ62+H4F, 12-4_548, seven hills colony",,Open,· Closes 8:45 pm,"""Lush green lawns are carefully laid out alongside clean walking paths."""
Srinagar Park,4.1,-250,Park,·,,MH8M+FG8,,,,"""Peaceful park for jogging and playing."""
Swami Vivekananda Park anantapuramu,4.1,-603,Park,·,,12/2/613,,Open,· Closes 8 pm,"""I really like the place for my morning walk."""
Municipal park,4.3,-40,Park,·,,"MJ36+M73, JNTU Rd",,Open,· Closes 9 pm,"""Nice atmosphere it's good for children to play"""
Pampunuru park at Ananthapur Highway,4.2,-458,Park,·,?,·,"MC7F+MHM, Kalyandurgam Rd",Open,· Closes 5:30 pm,"""Greenery everywhere and some wild trees and bushes are there."""
Sadbhavana Childrens Park,4.0,-184,Park,·,,MJR2+26F,,Open 24 hours,,"""Peace of mind nice to jogging"""
SBI Colony Park,4.0,-278,Park,·,,MJ55+3PQ,,Open,· Closes 9 pm,"""It is pleasant for walking and playing children for local people."""
Aqua thrills water park,4.1,-704,Water park,·,?,·,HJ5G+22,Closed,· Opens 11 am,On-site services
Kalaramam Park,4.0,-37,Park,·,,MJ46+H4J,,Open,· Closes 8 pm,"""Good place for kids to play with equipment."""
PTC Park,4.0,-45,Park,·,,MHGW+PQF,,,,"""Well maintained place, very nice"""
Kusuma Kunja,5.0,-1,Park,·,,6QM7+4P2,,,,
