qBF1Pd,MW4etd,UY7F9,W4Efsd,W4Efsd 2,W4Efsd 3,W4Efsd 4,W4Efsd 5,ah5Ghc
,,,,,,,,
,,,,,,,,
Ramakrishna Puram 21 Division Park,4.2,-295,Park,Open,· Closes 9 pm,,,
Goutham Budda Park,4.0,"-1,348",Park,Open,· Closes 9 pm,·,"Budda Park, beside Eluru",
Buddha park,4.0,"-1,579",Park,Open,· Closes 9 pm,·,"P457+25Q Budda Park, Buddha Park Raod, beside Eluru",
Sri Nandamuri Taraka Rama Rao Municipal Park,4.0,"-1,473",Park,Open,· Closes 8 pm,·,·,On-site services
Brundavan Park,3.8,"-1,361",Garden,Closed,· Opens 5 pm,·,"Pathebad, Temple Rd",
Gulabhi Thota Children Park,4.4,-96,Park,Open,· Closes 9 pm,·,P33R+FVR,
Janmabhoomi Park,3.5,-286,Park,Open,· Closes 6 pm,·,P35P+PXR,
Smt Sheik Nurjahan PedaBabu Municipal Park - Gulabi Thota,4.8,-13,Park,Open 24 hours,,·,"26, Rd Number 2",
Ashok Nagar Park 2,4.1,-754,Park,Closed,· Opens 4 pm,·,"P3CV+GHH, Chintalapudi To Eluru Road (SH-43)",
Eluru Municipal Park,3.6,-45,Park,Open,· Closes 9 pm,·,"P465+4M5, Panduranga Rd",
LUNANI PARK,4.3,-15,Park,Open now,,·,"P4H3+7XP, 153",
Sitapuram Park,4.4,-76,Park,Open 24 hours,,·,"Raghava Estates, Sitapuram Main Rd",
Ramachandra Rao pet park,4.4,-27,Park,Open,· Closes 7 am Tue,·,P37X+4P7,
"Public Park, Near Police Parade Grounds",4.7,-30,Park,Open,· Closes 12 pm · Reopens 4 pm,·,"P37R+567, Court Rd",
Rajeev Gandhi Park,3.8,-28,Park,,,·,"65b, Raja Raja Bhushan St",
Arts College,3.8,-357,Park,Closes soon,· 10 am · Reopens 5 pm,·,Rms colony,
Balayogi's Sadhana Science Park,3.8,-142,Science museum,Closed,· Opens 3:30 pm,,,
Cross Roads Eluru Traffic Park,4.1,-10,Park,Open,· Closes 12 pm · Reopens 4 pm,·,P37R+567,
St Xaviers Children Park,4.7,-3,Park,Open 24 hours,,·,P36P+M6W,
Ambedkar Park,3.1,-7,Park,,,·,P458+VXG,
"Municipal Park Adarsh Nagar, Eluru Urban Development Authority Park, Adarsh Nagar, Eluru",5.0,-2,Park,,,·,25-18-3,"""Fully green
Brick track for walkers."""
I love Eluru,4.0,-6,Park,Open now,,·,P35R+PF3,"""A good spot to snap your memory in Eluru."""
namaskaram park,,,Park,,,·,P3CR+C7R,
NTR Park,4.0,"-3,597",Park,Closed,· Opens 4 pm,·,,"""They are maintaining very well clean and green"""
Abhaya Buddha Statue,4.3,-3,Tourist attraction,Open now,,·,"P457+92W, beside Eluru",
Rajiv Gandhi Park,3.9,"-8,498",Park,Open,· Closes 9 pm,·,·,On-site services
Play Ground Postal Colony,4.0,-261,Playground,Open 24 hours,,·,P33M+G7H,"""Whole"
Budda park boating,4.8,-4,Boat club,,,·,MDR75,
CHILDREN TRAFFIC TRAINING PARK ELURU MUNICIPAL CORPORATION,,,Park,,,·,"min, Bypass Rd",
Ambica Nagar Park,,,Park,,,·,P4J3+2CR,
K K RAJU GREEN CITY,3.9,-470,Housing complex,Open 24 hours,,·,·,"""Well maintained"
BV Raju Municipal Park,4.1,"-1,396",Park,Closed,· Opens 3 pm,·,·,"""Very peaceful atmosphere and beautifully scenery ??  ??"""
Raghavaiah Park,3.8,"-6,749",Park,Opens soon,· 10 am,·,·,On-site services
Vijaya Gardens,,,Park,,,·,P39V+C56,
Satyanarayana UDA Lake Park,4.1,"-3,412",Park,Closed,· Opens 3:30 pm,·,·,"""The walking paths are clean, and theres plenty of space to sit and unwind."""
Hotel Green Park,3.5,-529,Restaurant,Open,· Closes 10 pm,·,"28-1-29/1, 12th Rd, near govidhaya shop",Dine-in
ch.srinu,,,Park,,,·,P36W+739,
