qBF1Pd,MW4etd,UY7F9,W4Efsd,W4Efsd 2,W4Efsd 3,W4Efsd 4,doJOZc,W4Efsd 5,W4Efsd 7,ah5Ghc
Krishna River Park,4.5,-839,Park,·,"GJ65+C8V, Unnamed Road",Open 24 hours,,,,
Rajiv Gandhi Park,3.9,"-8,498",Park,·,·,Open,,NH 65,· Closes 9 pm,On-site services
NTR Park,4.0,-405,Park,·,·,Closes soon,,Pamarru Rd,· 10 am · Reopens 4:30 pm,
Raghavaiah Park,3.8,"-6,749",Park,·,·,Opens soon,,"Bus Stop, Kanaka Durgamma Temple Rd, near Old Post Office",· 10 am,On-site services
VMC Park,4.2,-234,Park,·,"GM9H+534, Pandalaneni Gopalakrishnaiah St",Open,,,· Closes 9 pm,
F1H2O PARK,4.4,"-1,097",Park,·,"GHCX+4XV, Hyderabad - Vijayawada Hwy",Open 24 hours,,,,
KVR Park,4.2,-673,Park,·,54QX+QG4,,,,,
Andhra Ratna Park,3.9,-733,Park,·,·,Open,,"Jawaharlal Nehru Marg, Near, Grandhalayam Rd",· Closes 8 pm,
Krishna Lanka UDA Park & Walking Track,4.1,-166,Park,·,# 41-1/18-12,Open,,,· Closes 10 pm,
K.L Rao Park,3.9,"-1,673",Park,·,·,Open,,"GJP8+F62, Milk Factory Rd",· Closes 9 pm,
"Riverfront Park, Vijayawada",4.1,-157,Park,·,·,Closed,,"41-1/14-519A, Kanakadurga Varadhi",· Opens 4 pm,
Ramakrishna Puram 21 Division Park,4.2,-295,Park,,,Open,,,· Closes 9 pm,
Scrap Sculpture Park,4.2,-574,Park,·,"12, 27-37-12, MG Rd",Open,,Park with sculptures made of scrap metal,· Closes 7 pm,
Gokulam Park,4.2,-352,Park,·,,Closed,,,· Opens 4 pm,
Dr. B. R. Ambedkar's Park,4.5,-29,Park,·,·,Open,,GJ5F+3VG,· Closes 8:30 pm,
Housing board Park.,4.2,-265,Park,·,,Open 24 hours,,,,
ELURU SATRAMPADU MUNICIPAL PARK,3.7,-197,Park,·,P36C+CMM,,,,,
Sri Nandamuri Taraka Rama Rao Municipal Park,4.0,"-1,473",Park,·,·,Open,,"Temple Rd, opp. Venkateswara Swamy",· Closes 8 pm,On-site services
Alluri Sitaramaraju Park,3.8,-265,Park,·,"GJGJ+3QQ, CK Reddy Rd",Opens soon,,,· 10 am,
Buddha park,4.0,"-1,579",Park,·,"P457+25Q Budda Park, Buddha Park Raod, beside Eluru",Open,,,· Closes 9 pm,
Chitti Gari Park,3.8,-493,Park,·,·,Open,,"Sai Hotel Center, 4-28-2/13",· Closes 11 pm,"""Peaceful... enjoyable with children's"""
"Toy train at Rajiv Gandhi park, Vijayawada",4.6,-24,Park,·,·,Open,,"Toy train station, Rajiv Gandhi park, opposite to bus stand",· Closes 9:30 pm,"""Park was and it is now maintained well."""
Brundavan Park,3.8,"-1,361",Garden,·,"Pathebad, Temple Rd",Closed,,,· Opens 5 pm,"""Kids will enjoy by seeing turtles, fishes, rabbits, ducks and birds."""
Giant Tiranga,4.5,-231,Park,·,P25G+HMG,Open 24 hours,,,,"""Free accessible to everyone."""
P.V. Narasimha Rao Park,4.1,-137,Park,·,·,Open 24 hours,,"GJH9+HH9, near Akbar Masjid Winchipet",,"""Good park for relaxation"""
Goutham Budda Park,4.0,"-1,348",Park,·,"Budda Park, beside Eluru",Open,,,· Closes 9 pm,"""Good for walking and you will encounter love birds"""
Kunderu Park,4.0,-33,Park,·,CR9H+72W,Open,,,· Closes 9 pm,
Janmabhoomi Park,3.5,-286,Park,·,P35P+PXR,Open,,,· Closes 6 pm,"""జన్మ భూమి పార్క్ is very good  nature and good nature for children."""
Haailand Amusement & Theme park,3.7,"-10,688",Theme park,·,·,,,"NH-16, Mandal",,On-site services
Teachers Colony Park,4.2,-125,Park,·,39,Open,,,· Closes 8 pm,"""All residential houses are independent and luxurious."""
Sitapuram Park,4.4,-76,Park,·,"Raghava Estates, Sitapuram Main Rd",Open 24 hours,,,,"""Very peaceful place..... A nice environment..."""
Gulabhi Thota Children Park,4.4,-96,Park,·,P33R+FVR,Open,,,· Closes 9 pm,"""Nature gives to every time and season some beauties of its own."""
Kondapalli Reserve Forest,4.3,"-2,226",National forest,·,Kondapalli Reserve Forest,Open now,,"Waterfalls, a small temple & a fortress",,"""Great And well maintained Reserve forest"""
NTR Park,4.0,"-3,597",Park,·,,Closed,,,· Opens 4 pm,"""They are maintaining very well clean and green"""
Smt Sheik Nurjahan PedaBabu Municipal Park - Gulabi Thota,4.8,-13,Park,·,"26, Rd Number 2",Open 24 hours,,,,
Gouthami Colony Park,4.3,-10,Park,·,"P347+5PQ, Unnamed Road",,,,,"""Beautiful park with walking track"""
Ashok Nagar Park 2,4.1,-754,Park,·,"P3CV+GHH, Chintalapudi To Eluru Road (SH-43)",Closed,,,· Opens 4 pm,"""A good place for both children and adults to walk and play..."""
Film Colony Association Community Park,3.8,-83,Park,·,GM65+H4M,Open,,,· Closes 6 pm,
LUNANI PARK,4.3,-15,Park,·,"P4H3+7XP, 153",Open now,,,,"""Nice place to spend evenings with family and friends.."""
"Public Park, Near Police Parade Grounds",4.7,-30,Park,·,"P37R+567, Court Rd",Open,,,· Closes 12 pm · Reopens 4 pm,"""Loved taking my family members to this Traffic Park!"""
Ramachandra Rao pet park,4.4,-27,Park,·,P37X+4P7,Open,,,· Closes 7 am Tue,
Bandar Lakulu,4.3,-88,Park,·,"27-40-6, Gopala Krishnaiah St",Open 24 hours,,,,"""very good place"""
CNR GARDENS,5.0,-2,Park,·,PX3H+34,,,,,
Rawfin Park,5.0,-1,Park,·,M254+8C,Open now,,,,
Rajeev Gandhi Park,3.8,-28,Park,·,"65b, Raja Raja Bhushan St",,,,,
Krishna Wildlife Sanctuary,4.3,-93,Zoo,·,QXC2+CMH,Opens soon,,,· 10 am,"""Great experience"""
Balayogi's Sadhana Science Park,3.8,-142,Science museum,,,Closed,,,· Opens 3:30 pm,"""Science park"""
Eluru Municipal Park,3.6,-45,Park,·,"P465+4M5, Panduranga Rd",Open,,,· Closes 9 pm,"""Beautiful plants ☘️🌵.. love the atomsphere"""
Haritha Berm Park,4.1,"-8,914",Resort hotel,Relaxed resort on the Krishna River,,,,,,"""Calm n serene place, kept neat n tidy, plentyof birds chirping on the trees."""
Gandhi Park,4.2,"-3,978",Park,·,·,Closed,,"2Q4M+X28, Round Park Rd",· Opens 4 pm,On-site services
Food park mallavalli,5.0,-2,Manufacturer,,,,,,,"""Really Great place and next growing place in Vijayawada"""
Kambalacheruvu Park,4.0,"-8,514",Park,·,·,Closed,,"2Q7H+4JF, Kambala Park Rd",· Opens 4 pm,On-site services
"Park Junction,Sitapuram",5.0,-1,Park,·,M2MP+47R,,,,,
Kadiyala Venkatarammaya anapurnamma Gardens,4.1,-11,Park,·,·,Open now,,"HRMH+7M9, Unnamed Rd",,
Cross Roads Eluru Traffic Park,4.1,-10,Park,·,P37R+567,Open,,,· Closes 12 pm · Reopens 4 pm,"""Eluru Traffic Park is helpful for education on Traffic rules to public"""
Vidhyut nagar Walkers Park,3.0,-3,Park,·,"Gowthami Nagar, Beside Raghurama Residency",,,,,
Cherukuri Venkateswara Rao Gardens,4.0,-2,Park,·,PX9J+9J,Open now,,,,
Arts College,3.8,-357,Park,·,Rms colony,Closes soon,,,· 10 am · Reopens 5 pm,"""Decent and an average Park"""
St Xaviers Children Park,4.7,-3,Park,·,P36P+M6W,Open 24 hours,,,,
Jaggayyapet Muncipal Park,3.7,-55,Park,·,V3RX+GPJ,Open,,,· Closes 12 pm · Reopens 2 pm,"""Joy full place"""
Cherukuri Phani Kumar Gardens,5.0,-1,Park,·,PXFF+W9,Open now,,,,
Dwaraka Sports Park,,,Park,·,P4WG+W2M,,,,,
Prakasam Barrage,4.6,"-46,430",Bridge,·,Road bridge & dam on the Krishna River,Open 24 hours,,,,"""There are several"
Helapuri Capital,4.0,-69,City park,·,"M2HH+W38, Vijayawada Road",,,,,
Achala Vanam,4.0,-5,Park,·,P245+JG,Open now,,,,
Kothuru,4.0,-26,Mobile home park,·,M3MM+QPP,,,,,
Mythri Food Park,4.2,-65,Family-friendly,·,"NH-16, Toll gate, near Kalaparru, opp. Indian oil Petrol Bunk",Open,,,· Closes 11:30 pm,Dine-in
Ramchandra college parking area,4.0,-2,Park,·,M2PG+V35,Open now,,,,
Uday Kumar home,4.7,-3,Park,·,9999,Open now,,,,"""Best please 😃😃"""
Sai gardens,,,Park,·,PXMP+HJ2,Open now,,,,
Dwaraka Lotus Park,,,Park,·,P4VF+4HF,,,,,
Gandhi Park,4.2,"-5,338",Park,·,·,Open,,beside Rangarayudu Cheruvu,· Closes 9 pm,On-site services
Community Hall Nawabpeta,3.7,-27,Park,,,Opens soon,,,· 10 am,
"Municipal Park Adarsh Nagar, Eluru Urban Development Authority Park, Adarsh Nagar, Eluru",5.0,-2,Park,·,25-18-3,,,,,"""Fully green…
Brick track for walkers…."""
Cherukuri Trilok Gardens,,,Park,·,PXMM+H5P,Open now,,,,
Ambica Nagar Park,,,Park,·,P4J3+2CR,,,,,
namaskaram park,,,Park,·,P3CR+C7R,,,,,
