qBF1Pd,MW4etd,UY7F9,W4Efsd,W4Efsd 2,W4Efsd 3,W4Efsd 4,ah5Ghc,W4Efsd 5,doJOZc,W4Efsd 6
,,,,,,,,,,
,,,,,,,,,,
Chitravathi River Revitalization.,4.5,-247,Park,·,Vivekanand Rd,Open now,"""A recreational",,,
Sai Visranthi Park,4.5,-10,Park,·,Prasanthi Nilayam,Open,"""--> There are huge trees which give shelter during summer.""",· Closes 6:30 pm,,
Prasanthi Nilayam,4.7,"-13,645",Tourist attraction,·,·,Open,On-site services,· Closes 9 pm,?,"Ganesh gate, Puttaparthi Main Rd"
Sri Satya Sai Eco-Park,,,Park,·,4R4X+28F,,,,,
Chaitanya Jyoti,4.7,"-1,598",Tourist attraction,·,·,Closed,On-site services,· Opens 9:30 am Tue,?,5R65+JR9
Jataayu Theme Park,4.3,"-2,862",Park,·,"RJ27+W6H, Lepakshi Temple Rd",Open,On-site services,· Closes 5 pm,,
Sai Aqua Boating,4.2,-614,Tourist attraction,·,"Chitravati River, near check dam",Open,"""Good for family outing and very safe boating and we'll maintained boats too""",· Closes 6:30 pm,,
RV Janakiramaiah Ghat,3.6,-28,Memorial park,·,4RX6+M85,,,,,
Sri Sathya Sai Space Theatre,4.6,-274,Tourist attraction,·,·,Closes soon,"""Excellent ,
Photography not allowed in premises""",· 10:30 am · Opens 9:30 am Tue,?,"Prasanthi Nilayam, Puttaparthi Main Rd"
Battrepalli Water Falls,4.3,-461,Tourist attraction,·,·,Open 24 hours,"""Amazing place to play with water and little bit of trekking together.""",,?,"SH 28, Batrepalli, Pulivendula - Kadiri Rd"
?? Pamala Anil Kumar Garden ??,,,Park,·,Sri Sathya Sai District,Open 24 hours,,,,
