qBF1Pd,MW4etd,UY7F9,W4Efsd,W4Efsd 2,W4Efsd 3,W4Efsd 4,ah5Ghc,doJOZc,W4Efsd 5,W4Efsd 6
,,,,,,,,,,
,,,,,,,,,,
Diamond park,4.0,"-1,981",Park,·,"8-11-113, GT Rd, opp. Diamond Park",Open 24 hours,"""Walkable track and play park available for children""",,,
Nagavali river view park,4.3,-913,Park,·,·,Closed,On-site services,,"8V6P+H5G, Unnamed Road",· Opens 3 pm
Kargil Victory Park,4.0,-615,Park,,,Open,"""Very beautiful plantation, playground and instruments for exercise.""",,,· Closes 8 pm
Nagavali River View Park,3.9,-824,Park,·,"7VVR+VF6, GT Rd",Open,"""It has so many benches to sit.""",,,· Closes 12 pm · Reopens 5 pm
"ITDA NTR Adventure Park, Seethampeta",4.3,-384,Park,·,·,Open,"""Beautiful and Awesome Picnic area and Adventure Park.""",,MRW9+FXM NTR Adventure Park,· Closes 7 pm
Krishna Park,4.0,-474,Park,·,"Krishna Park, Palakonda Rd",Closed,"""Coconut Oil farms etc""",,,· Opens 4 pm
vuda park,3.9,-144,Park,·,7VGV+HRP,,"""Peace of Nature, Good Environment..""",,,
Gandhi Park,3.9,-43,Park,·,"7VWV+JGR, Zilla Parishad Rd",Open,"""There is a library with newspapers and magazines.""",,,· Closes 12 pm · Reopens 4 pm
"Waterpark, Seethampeta",4.4,-215,Park,·,·,Open,"""Place is clean, lot of greenery and flowering plants.""",,ITDA NTR Adventure Park,· Closes 6:30 am Tue
Kargil Park Ground,4.5,-16,Playground,·,7WM2+M5V,,"""Very nice park must go""",,,
SGTwater park,3.9,-79,Park,·,·,Open,"""Super waterfalls""",,F453+G2W,· Closes 8 pm
VAARAAHI WATER PARK & STUDIO'S,4.6,-143,Photography studio,·,near Narayana Polytechnic College,Closed,On-site services,,,· Opens 10 am
Kinjarapu Yerrannaidu Statue,4.0,-891,Memorial park,·,·,Open 24 hours,"""Nicely maintained""",,"Kinjarapu, Yerrannaidu Statue, Mill Junction, 80 Feet Rd",
"Children park, Kottapeta",4.5,-17,Park,·,"7WF4+RC2, Zilla Parishad Rd",,"""A true gem for all ages.""",,,
Abdul Kalam prk,4.1,-60,Park,·,7WV3+WHQ,,"""Full of of Greenery amidst of concrete jungle""",,,
"Gandhi Park, Ichapuram",3.8,-401,Park,·,4M6M+C8P,Open,"""Good place for walking, doing yoga and play for kids.""",,,· Closes 12 pm · Reopens 3 pm
Swamy Vivekananda Statue And Park,3.9,-38,Park,·,9X29+F62,,,,,
"ITDA Mettuguda Waterfall, Seethampeta",4.2,-922,Park,·,"ITDA, Mettuguda Waterfall",Open,On-site services,,,· Closes 5 pm
"ఉద్యానవనం,Park పెద్దకొల్లివాలస",3.6,-49,Park,·,JWVR+WCM,,"""Peaceful and friendly nature 😊""",,,
"Park PN Colony, 0 Lane west",4.0,-3,Park,·,7VXJ+2R7,Closes soon,"""park is very comfortable for Walkers & yoga meditation only.""",,,· 9:30 am · Reopens 4:30 pm
Yerranaidu Lake view park,3.9,-134,Park,·,"J64J+8V5, Kacheri St",,"""You take rest for a while here.""",,,
Reservoir,4.8,-4,Water park,·,MW9M+22X,,"""Feel good experience""",,,
