qBF1Pd,MW4etd,UY7F9,W4Efsd,W4Efsd 2,doJOZc,W4Efsd 3,W4Efsd 4,W4Efsd 6,W4Efsd 7,ah5Ghc
,,,,,,,,,,
,,,,,,,,,,
Prakasam Park,4.3,"-10,292",Park,·,?,·,"Pillar No:73, Alipiri Rd, beside Municipal Park, opp. Ratnam School Road",Open,· Closes 9 pm,On-site services
Divyaramam Park,4.4,"-4,156",Park,·,?,·,MC28+PGC,Open,· Closes 3:20 pm,"""Zones for exercise, boat, children games makes the park all inclusive."""
Sri Venkateswara Zoological Park,4.2,"-16,516",Tourist attraction,·,?,·,"PO, Pudipatla, SV Zoo Rd",Open,· Closes 5 pm,On-site services
Municipal Park,4.4,"-1,467",Park,·,?,·,"Pillar No:73, Prakasham park, Alipiri Rd, beside Municipal Park, opp. Ratnam School Road",Open now,,On-site services
Geetopadesam Park,4.5,"-1,134",Park,·,,"M9F2+976, Tirumala-Tirupati Rd",,Open,· Closes 9 pm,"""Fantastic greenery well maintained.. peaceful"""
Sri Babu Jagjivanram Park,4.3,"-4,335",Park,·,?,·,JC9G+92C,Closed,· Opens 5 pm,On-site services
Bluland Water Park,4.3,"-2,062",Water park,·,?,·,"Mallayapalli road lane, beside Cafe Coffee Day",Opens soon,· 10:30 am,On-site services
Rajanna Municipal Park,4.0,"-2,619",Park,·,,Manchala St,,Closed,· Opens 3 pm,"""Perfect for a quiet walk or just reliving old memories."""
Narayanagiri Gardens,4.5,"-7,535",Park,·,?,·,M8JV+H58,,,On-site services
Silathoranam Garden,4.6,"-8,788",Park,·,,Sila Thoranam Rd,,Open,· Closes 6 pm,On-site services
Naamala Park,4.7,-58,Park,·,,"SMC, Bus Stop, Sankumitta Rd",,Open,· Closes 5 pm,"""The cleanliness and greenery make it a delightful destination to visit."""
Sri Padmavati Park,4.2,"-2,684",Park,·,?,·,"JC9C+CPC, Bairagipatteda Rd, beside Indian Bank",Closed,· Opens 4 pm,"""Its peaceful and clean, making it perfect for a relaxing day out."""
Srinivasa Puram TUDA Park,4.1,-944,Park,·,?,·,JC8J+69J,Open,· Closes 8:30 pm,"""Nice park with greenery, walking tracks, swings, sculptures."""
Padmavathi Nagar Park,4.3,-153,Park,·,,JC8J+69C,,Open,· Closes 9 pm,"""Good walkways and green plants"""
Gogarbham Dam Park,4.4,-690,Park,·,,M9R3+9JG,,Open,· Closes 8 pm,"""	Wildlife: Visitors may spot deer and flying squirrels in the area  ?."""
Jungle Book & Park,4.1,-754,Park,·,,"Near, KT Rd",,Open,· Closes 3 am,"""There is a waterfall you can carry extra clothes if you want to take shower."""
N.G.O Colony Park,4.2,-365,Park,·,,MC29+QJM,,Open,· Closes 9 pm,"""A peaceful park full of greenery & near premises."""
S.V.National Park Tirupati Range,4.1,-86,National forest,·,?,·,J9F7+WVR,Open now,,"""E scooters and by cycles available ."""
Vaikuntam Q Complex Park,4.5,-511,Park,·,?,·,"M8JW+VP4, S Mada St",Open 24 hours,,"""Nature and good view"""
Avilala Park,4.1,-416,Park,·,,JC56+H3V,,Open 24 hours,,"""Perfect spot to relax and connect with nature"""
GMR Eco Park,4.6,-137,Park,,,,,,,"""Well maintained."""
Tuda II Park,4.0,-161,Park,·,,JCG8+C93,,Open,· Closes 9 pm,"""Well maintained parking"""
Srinivasa Park,4.1,-41,Park,·,,JCW5+VG2,,Open,· Closes 10 pm,"""Good but I saw only few animals only may be some of them present inside."""
Highway Grand World,3.8,"-2,485",Water park,·,?,·,"Chennai - Thiruttani - Renigunta Hwy, Veerakaverirajupuram, Andhra Pradesh",Opens soon,· 10:30 am,On-site services
Vinayaka Sagar,4.2,-73,Park,·,,"Shop No, 1, Karakambadi Rd, near Bonthaalamma Temple",,Open,· Closes 9 pm,"""Kids loved the play area, and the fresh air was refreshing."""
A2Z EXOTIC PARK,4.7,"-1,735",Park,·,?,·,23,,,"""Its incredibly clean and well-maintained."""
