qBF1Pd,MW4etd,UY7F9,W4Efsd,W4Efsd 2,doJOZc,W4Efsd 3,W4Efsd 4,W4Efsd 6,W4Efsd 7,ah5Ghc
,,,,,,,,,,
,,,,,,,,,,
Central park,4.4,"-24,334",Park,·,,·,RTC Complex Rd,Open,· Closes 9 pm,On-site services
Tenneti Park,4.5,"-29,626",Park,·,,·,"P8XX+9RF, Opp. Kailashagiri Hills",Open,· Closes 9 pm,On-site services
VMRDA PARK,4.3,"-22,353",Park,·,,·,"Arch, Beach Rd Kailasagiri",Open,· Closes 9 pm,On-site services
Indira Gandhi Children Park,4.3,"-1,559",Park,·,,·,P868+4QF,Open,· Closes 10 pm,"""There are also benches and gazebos where you can sit and relax."""
Lumbini Park,4.3,"-4,291",Park,·,,·,"P8RV+GM2, Beach Rd, Opposite To Appughar Bus Stop",Open,· Closes 7 pm,On-site services
Gokul Park,4.3,"-3,789",Park,·,,·,Beach Rd,Open 24 hours,,"""Chilling at a park beside the beach 🌊 Views are top-notch!"""
Indira Gandhi Zoological Park,4.2,"-27,842",Tourist attraction,·,,·,near Dairy Farm,Closed,· Opens 10 am Tue,On-site services
Mudasarlova park,3.8,"-1,569",Park,·,,·,"Q77X+5MC, Mudasarlova Rd",Open,· Closes 5:30 pm,On-site services
Saraswathi Park,4.0,"-4,636",Park,·,,·,Daba Garden Rd,Open 24 hours,,On-site services
Shivaji Park,4.2,"-10,954",Park,·,,·,MVP Double Rd,Open,· Closes 9 pm,On-site services
Janoo's The Water Park,4.2,-356,Water park,·,,·,"janoo's the water park, shilparamam",Opens soon,· 10 am,"""Its a wonderful park with so many crafts and I love the water slides"""
Kambalakonda Wildlife Sanctuary,4.3,"-1,866",Wildlife park,·,,Q8HM+9X2,"Leopards, pangolins & birds in a reserve",Open,· Closes 4:30 pm,"""The entry is affordable, and there’s plenty of space to walk and relax."""
Lawsons Bay Beach Park,4.3,-945,Park,·,,·,"11/2,, 4-72-11/2, Beach Rd, Near Santha Ashram",Closes soon,· 10 am · Reopens 4 pm,"""There were many exercises machines and children's swings and slides."""
Biodiversity Park -Botanical Garden,4.9,"-3,012",Park,·,,,,Open,· Closes 1 pm,On-site services
Yendada Walkers Park,4.0,"-2,816",Park,·,,Q9J5+HGR,,Open 24 hours,,On-site services
Radha Krishna Beach Park,4.5,-183,Park,·,,·,15-17-14,,,"""Relaxation area can relief stress easily"""
All Abilities Park,4.4,-271,Park,·,,·,P89M+PQM,Open 24 hours,,"""It is exceptionally well maintained and clean."""
Shilparamam (Jatara),4.0,"-9,877",Tourist attraction,·,,·,Shilparamam,Opens soon,· 10 am,On-site services
Midhilapuri Public Park,4.3,-93,Park,·,,R925+WQ9,,,,"""It's a nice place for walking and the Play area for kids"""
VMRDA-Kailasagiri,4.4,"-61,063",Park,·,,·,"P8XR+HVC, Hill Top Rd",Open,· Closes 9:30 pm,On-site services
TULASI NAGAR WALKER'S CLUB PARK,4.2,-47,Park,·,,R82W+9JM,,Open now,,"""Good place for exercise"""
Vizag Water World,4.2,"-3,137",Water park,·,,·,193/1,Closed,· Opens 10:30 am,On-site services
