qBF1Pd,MW4etd,UY7F9,W4Efsd,W4Efsd 2,W4Efsd 3,W4Efsd 4,W4Efsd 5,ah5Ghc,doJOZc,W4Efsd 6
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BV Reddy Park,4.3,-237,Park,·,6475+FXG,Closed,· Opens 4:30 pm,"""Pleasant and cool place , greenery ,well maintained.""",,
Deer park,4.1,"-1,996",Park,·,·,Open,· Closes 9:30 pm,"""Peaceful good atmosphere and best playground for children.""",?,"6432+VXC, Forest Rd"
Red Sanders Park,4.4,-72,Park,·,·,Open,· Closes 6 pm,"""The air quality is pure, obviously due to plenty of greenery.""",?,"6443+JM4, Forest Rd"
Children's Park,4.1,-433,Park,·,"634X+F6Q, Rajeev Gandhi Rd",Open,· Closes 8 pm,On-site services,,
Seethamma Municipal Park,3.7,-259,Park,·,6478+WMV,Open,· Closes 6 pm,"""There is a small park in the locality of Kongareddy Palli.""",,
Municipal Park,3.7,-196,Park,·,"636X+WJQ, Rajeev Gandhi Rd",Open,· Closes 6 pm,"""Nowadays I see a lot of alcoholic things happening inside.""",,
Highway Grand World,3.8,"-2,485",Water park,·,·,Opens soon,· 10:30 am,On-site services,?,"Chennai - Thiruttani - Renigunta Hwy, Veerakaverirajupuram, Andhra Pradesh"
Piler Park,4.2,-314,Park,·,·,Opens soon,· 10:30 am,"""Peacefull to sit and relax""",?,MW6X+CF
PARK(TUDA),4.4,-137,Park,·,·,Closed,· Opens 5 am Tue,"""There is walking Area and relaxing chairs and green park""",?,"CGPW+WQW, near mpdo office"
Kalyani Revu Waterfalls,4.4,-129,Tourist attraction,·,·,Open 24 hours,,"""wonderful & peaceful place to enjoy & have a bonfire and tent set up.""",?,3QHG+R2J
Gandhi Circle,4.5,-12,Park,,,,,"""Beautiful one in chittoor.""",,
Divyaramam Park,4.4,"-4,156",Park,·,·,Open,· Closes 3:20 pm,"""Zones for exercise, boat, children games makes the park all inclusive.""",?,MC28+PGC
The Lake Park,4.1,-320,Park,·,634X+772,,,"""huge and dense trees give good shade with lake view.""",,
Neeva Nagaravanam,4.3,-15,Park,·,747C+C5,Open,· Closes 6 pm,"""There's plenty of parking and an eatery is also set to come up here.""",,
D. K Palli Park,3.9,-134,Park,·,"Q82J+68G, DK Palli Highway Rd",,,"""General view.""",,
Bluland Water Park,4.3,"-2,062",Water park,·,·,Opens soon,· 10:30 am,On-site services,?,"Mallayapalli road lane, beside Cafe Coffee Day"
Kailasa Kona falls,4.1,"-6,875",Tourist attraction,·,·,Open,· Closes 6 pm,On-site services,?,9JQM+868
Edigapalle Pedda Cheruvu,4.7,-12,Water park,·,FG7V+W5X,,,,,
Irala Jilledubugga Waterfalls,4.4,-119,Tourist attraction,·,·,Open,· Closes 5 pm,"""Beautiful location with family and family""",?,Irala Patur - Vinayakapuram Rd
Aare 2nd Waterfall,4.4,"-1,278",Tourist attraction,·,·,Open,· Closes 3 pm,On-site services,?,FQGG+6H8
Srini Food Park,4.3,-45,Food Processing Company,·,·,,,"""Good company""",?,"Sy. No. 11-24/2 Mogili, Village"
