qBF1Pd,MW4etd,UY7F9,W4Efsd,W4Efsd 2,doJOZc,W4Efsd 3,W4Efsd 4,W4Efsd 5,W4Efsd 6,ah5Ghc
,,,,,,,,,,
,,,,,,,,,,
Burugunta Cheruvu Park,4.2,(494),Park,·,,·,"VW7J+M52, Burugunta Cheruvu Rd",Open,· Closes 8 pm,"""Beautiful ambiance with a lot of trees and good space."""
Kambalacheruvu Park,4.0,"(8,514)",Park,·,,·,"2Q7H+4JF, Kambala Park Rd",Closed,· Opens 4 pm,On-site services
NTR Park,4.0,"(3,597)",Park,·,,,,Closed,· Opens 4 pm,"""They are maintaining very well clean and green"""
Dharma Gundam Cheruvu Park,3.9,(185),Park,·,,·,VW5M+W84,Open 24 hours,,"""Good time to spent, children are playing good place"""
Sivananda Municipal Park,4.0,(418),Park,·,,2P6H+6HP,,Open,· Closes 7:55 pm,"""A decent sized park in Kovvur, recently renovated and well maintained."""
Godavari Maha Pushkara Vanam,4.2,"(1,357)",Ecological park,·,,·,"2RMG+MHH, Auto Nagar Rd",Open,· Closes 5:30 pm,"""The park is also equipped with clean and well-maintained amenities."""
Central Jail Park,4.3,(530),Park,·,,·,2Q8Q+FFW,Open 24 hours,,"""Place is nice with large old trees and  greenary."""
Gauthami Park,4.2,(247),Park,·,,"2Q29+75R, Godavari Bund Rd",,Closes soon,· 10 am · Reopens 4 pm,"""You can just sit down and have a snack and enjoy the view."""
Penugonda Park,4.0,(211),Park,·,,·,MP5W+476,Open,· Closes 5 pm,"""Particularly children play happily here on week end."""
Kolamuru park,4.2,(57),Garden,·,,3R56+M97,,,,"""Nice place in village"""
Rotary Club Park & Rotary Blood Center,4.1,(192),Park,·,,"35G2+W35, Bank Colony Main Rd",,Open,· Closes 5 pm,"""Better to improve"""
Gowtami Nandanavanam (PARK),4.4,(55),Park,·,,"2Q29+H2G, Godavari Bund Rd",,Closed,· Opens 3:30 pm,"""Much needed parks for the children to play around to refresh."""
Anandnagar Park,4.1,(207),Park,·,,·,2QMM+GQQ,Closed,· Opens 5 pm,"""A small play ground for children, greenery all around."""
Ntr Park,4.1,(140),Park,·,,PM9C+4MG,,Open now,,"""There is also big pond, around which we can have a walk."""
Swami Vivekananda Municipal Park,4.0,(200),Park,·,,2Q9M+JHH,,Open,· Closes 11 am · Reopens 4 pm,"""The walking area is fantastic and only meant for women ❤️"""
Padma Bushan Chiranjeevi Park,3.6,(232),Park,·,,"SH-41, Kambala Park Rd",,,,"""It was open and Excellent place for everyone."""
Jayakrishnapuram Park,4.0,(144),Park,·,,2Q8J+6C6,,,,"""It is surrounded by roads on all four sides."""
AB Nageswarao Park,3.9,(181),Park,·,,·,2Q7F+M65,Closed,· Opens 5 pm,"""You even have a library over there."""
GandhiNagar Park,4.0,(214),Park,·,,VMW9+9C6,,Closed,· Opens 4 pm,"""Equipment is available for doing exercises."""
Sri Rama Krishna Park,3.9,(203),Park,·,,2QMJ+WR3,,Open,· Closes 8:30 pm,"""Well maintained park"""
స్వామి వివేకానంద పార్క్,4.5,(35),Park,·,,"3P29+GR8, Swami Vivekananda Rd",,,,
