qBF1Pd,MW4etd,UY7F9,W4Efsd,W4Efsd 2,doJOZc,W4Efsd 3,W4Efsd 4,W4Efsd 5,W4Efsd 6,ah5Ghc
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Annamayya Park,4.3,"(1,341)",Park,·,,·,8C79+25P,Open,· Closes 8:30 pm,"""The park is spacious with lot of playing equipment."""
Krishna Nagar Municipal Park,3.7,(794),Park,·,,"8C5G+FMG, Krishna Nagar Main Rd",,Open,· Closes 7 pm,"""Children play ground,and walking track"""
Gandhi Park Guntur,3.6,"(4,070)",Park,·,,·,Grand Trunk Rd,Closed,· Opens 4 pm,"""Known as a peaceful green space with trees, lawns, and seating areas."""
Gujjanagundla park,4.2,"(1,834)",Garden,·,,·,"8CC7+39J, Gujjanagundla Walking Track",Closes soon,· 10 am · Reopens 4:30 pm,"""Lots of trees and shade also have hall for meditation and yoga."""
Sri Kakani Pundarikakshudu Municipal Park walkers association 48/2013.,4.2,"(1,757)",Park,·,,·,4th Ln,Closed,· Opens 5 am Tue,On-site services
Vidyanagar Park,4.2,(564),Park,·,,·,8C9F+QX7,Closed,· Opens 4 pm,"""Well maintained and safest park for walking and exercise"""
Brodipet Park,3.9,(593),Park,·,,6/12,,Open,· Closes 8 pm,"""Small park, with a lively atmosphere with elderly people talking walks."""
Syamalanagar park,4.3,(359),Park,·,,·,20,Open,· Closes 9 pm,"""A small park near to my home with walking track and some tools for excercise"""
Nagaravanam Park,4.0,"(1,086)",Park,·,,·,State Highway 21,,,"""There is free drinking water and toilet facilities inside the park."""
SRI TARAKARAMA SVN Colony Park and walking track,4.0,(930),Park,·,,·,"8CH7+4VH, SVN Colony Park Track",Open,· Closes 11:30 am · Reopens 4 pm,"""Play Area: SVN Colony Park has a designated play area for children."""
Housing Board Colony Park,4.0,"(1,781)",Park,·,,7CX4+226,,Open,· Closes 9 pm,"""Neat clean park, good walking track, children's play area..."""
Municipal Park,3.4,(443),Park,·,,8C7W+389,,Open,· Closes 6 pm,"""A park is a safe place to play for kids"""
Alapati Venkatramaiah Park,4.2,(847),Park,·,,Ring Rd,,Closed,· Opens 5 am Tue,"""So beautiful clean and green had a peaceful day in the park"""
"Kondaveedu Park, Guntur",4.1,(274),Park,·,,"776M+C5M, Unnamed Road",,Open 24 hours,,"""Nice place and Greenery
Park is Very peacefull and Good maintained 👍"""
Mangalagiri Eco Park,4.5,(873),Park,·,,AIIMS,,Open,· Closes 5 pm,"""The ecopark has a decent walk way of 2.78km and a trekking path of 3km."""
Mahatma Gandhi Inner Ring Road Walker's Association,4.5,(67),Park,·,,"8FG5+R52, Jana Chaitanya Housing Paradise II",,Open 24 hours,,"""Well maintained park with gym equipment facilities and kids Playing area."""
Annamayya Walker's Park,4.4,(124),Park,·,,"8C88+2RM, 7th Line, opp. smart life Bicycles & Fitness Equipment Store",,Closes soon,· 10 am · Reopens 4 pm,"""Walking Track Around A Lake With An Good Atmosphere"""
NGGO's Colony Park.,4.0,(456),Park,·,,"NGO COLONY, 4th Ln",,Open 24 hours,,"""Have a dedicated walking track and kids play area with manual gym equipment"""
