qBF1Pd,MW4etd,UY7F9,W4Efsd,W4Efsd 2,W4Efsd 3,W4Efsd 5,W4Efsd 6,ah5Ghc
,,,,,,,,
,,,,,,,,
Janmabhumi Park,4.1,"-2,123",Park,?,?,Closed,? Opens 4??m,"""Small park but clean and enjoyable play area for kids."""
Vivekananda park or Kulai cheruvu park,4.5,-813,Park,?,?,Closed,? Opens 4??m,"""The park consist of play ground, library, yoga centre and swimming pool."""
Kakinada Beach,4.2,"-1,584",Tourist attraction,?,?,,,"""The"
Lalithakala Pranganam Municipal Corporation Kakinada Main Entrance,4.3,-398,Park,?,?,Open,? Closes 10??m,"""Peaceful place"""
Gandhi Nagar Park Kakinada,4.4,-209,Park,?,?,Closed,? Opens 4??m,"""Play area available for kids and badminton play ground."""
Lalitha Nagar Colony Park,4.0,-275,Park,?,X6VQ+V9G,Open,? Closes 7??m,"""Excellent walking Track ????"""
Padma nagar park,4.3,-80,Park,?,X7R2+W64,,,"""Walking area is good and kids play area is also good"""
KMC Park Sarda Nagar,4.1,-140,Park,?,"X7V2+23V, Saradha Nagar 1st Line",Open 24 hours,,"""Avg for play, good for walking"""
Shilparamam,3.9,"-1,841",Park,?,?,Open,? Closes 8??m,On-site services
raja rammohan roy nagar public park,4.1,-193,Park,?,"X68X+6H9, Unnamed Road",,,"""Small ply ground for children and elders for walking and gatherings."""
Sri Geddada brahmaiah Memorial Park,3.8,-59,Park,?,X6RX+2MM,Open,? Closes 6:30??m,"""Most area of the park is covered by shade and swings, slides attracts kids."""
Siddhartha Nagar Park 2,3.8,-172,Park,?,"X6JW+2PV, 70-14-14/1A, Rd Number 4",Open,? Closes 9:30??m,"""There is a good walking track for morning and evening walks."""
Coringa Wildlife Sanctuary,4.2,"-6,088",National forest,?,?,Open,? Closes 5??m,On-site services
Treasury Colony Park,3.9,-381,Park,?,X6HC+4MF,Open,? Closes 10:03??m,"""Nice place for time pass in afternoon under tree shades"""
Bank Colony Park,3.9,-196,Park,?,X6RR+G4F,Open,? Closes 8??m,"""Good maintenance... different kind exercise equipment are there."""
Boats club park,4.3,-598,Park,?,?,Closed,? Opens 5??m,"""Best please for walking and running, well maintained  exercise  equipment ."""
Venkateswara nagar Park,4.3,-33,Park,?,X63R+RW4,Open,? Closes 9??m,"""Well maintained."""
Central Park,4.3,-37,Park,?,X6JV+239,,,
Nethaji Park,3.7,-114,Park,?,W6PM+542,Open,? Closes 9??m,"""Very Beautiful and Nice Place In My Child Wood."""
Kakinada city muncipal park,4.8,-5,Park,?,2-17d-3/3,,,
Vivekananda Park,4.4,-329,Lake,,,,,"""Good walking trail play area for kids ect"""
Kakinada city muncipal park,4.8,-5,Park,?,2-17d-3/3,,,
Bank Colony Park,3.9,-196,Park,?,X6RR+G4F,Open,? Closes 8??m,"""Good maintenance... different kind exercise equipment are there."""
Sri Geddada brahmaiah Memorial Park,3.8,-59,Park,?,X6RX+2MM,Open,? Closes 6:30??m,"""Most area of the park is covered by shade and swings, slides attracts kids."""
Rammohanraja Nagar Park,4.4,-17,Park,?,3-20-4/2 Road Number 9,Closed,? Opens 4??m,
