qBF1Pd,MW4etd,UY7F9,W4Efsd,W4Efsd 2,W4Efsd 3,ah5Ghc,W4Efsd 4,e4rVHe,W4Efsd 5
,,,,,,,,,
,,,,,,,,,
డా.బి.ఆర్.అంబేద్కర్ సార్వత్రిక మందిరం,4.0,-17,Park,·,"P5VX+FCV, Unnamed Road","""I love it in the best natural organic""",,,
Bharath Matha park,4.1,-40,Park,·,QRHC+M62,"""Good Place to Walk(Morning & Evng)""",Open 24 hours,,
డా.బి.ఆర్.అంబేద్కర్ సార్వత్రిక మందిరం,4.8,-5,Park,·,"Church Center, Bus Stop, Draksharama - Yanam Rd","""Good atmosphere""",,,
Ambedkar park,3.2,-37,Park,·,"QR7R+WGW, Ring Rd",,Open now,,
డా.బి.ఆర్.అంబేద్కర్ సార్వత్రిక మందిరం,3.9,-9,Park,·,Q53R+QQH,,,,
Ambedkar park,,,Park,·,QVW7+J95,,,No reviews,
Sivananda Municipal Park,4.0,-418,Park,·,2P6H+6HP,"""A decent sized park in Kovvur, recently renovated and well maintained.""",Open,,· Closes 7:55 pm
Ntr Park,4.1,-140,Park,·,PM9C+4MG,"""There is also big pond, around which we can have a walk.""",Open now,,
Dr.B.R.Ambedkar Park,4.5,-4,Park,·,"5V4R+99W, Dr BR Ambedkar Rd",,Open 24 hours,,
Nalla gardens,4.1,-14,Park,·,H2H9+6P,,,,
Amalapuram park,4.4,-157,Park,·,"H2J3+75V, Unnamed Road","""It's very flexible for jogging and exercising.""",Closed,,· Opens 5 pm
Amalapuram Park,4.1,-494,Park,·,·,"""It's very well maintained with super provision cameras.""",Closed,,· Opens 4 pm
Sri Ramanjaneya Park,4.5,-20,Park,·,GXCF+7M7,"""Super navigation""",,,
Dr Satyanarayana Rao Health Park,4.4,-147,Park,·,·,"""Excellent, calm, very clean, well maintained park""",Closed,,· Opens 4 pm
Muncipal Children Park,3.8,-87,Park,·,H2F3+29M,"""now a days every day evening it is using for couple spot.""",,,
GandhiNagar Park,4.0,-214,Park,·,VMW9+9C6,"""Equipment is available for doing exercises.""",Closed,,· Opens 4 pm
Municipal Park Vidyanagar,3.2,-89,Park,·,WM8C+M36,,Open now,,
Subadra Green Park venture,4.0,-4,Park,,,,,,
RMC Glow Garden,4.1,-479,Park,·,·,On-site services,Closed,,· Opens 6 pm
Coringa Wildlife Sanctuary,4.2,"-6,088",National forest,·,·,On-site services,Open,,· Closes 5 pm
"Children's Park, S.Yanam",4.0,-1,Park,·,F3VW+6WJ,,Open now,,
Rangapuram Vibes- konaseema,4.3,-9,Nature preserve,·,H29R+427,"""Rangapuram - Trees 🌳 around the place vibes Nature's Beauty 😍""",,,
Sambhuni Cheruvu Park ( Abdul Kalam Health Park),4.2,-351,Park,·,"GP8Q+378, Yedla Bazar","""Best place for walking and spending some time in nature.""",Closed,,· Opens 4 pm
Sri sardar sarvai Papana gowda,,,Park,·,SH 286,,,No reviews,
Dr Br Ambedkar Konaseema District,4.0,-18,Government office,·,·,,,,
Amalapuram Circle,,,Park,·,"H298+7V5, NH 216",,,No reviews,
Penugonda Park,4.0,-211,Park,·,·,"""Particularly children play happily here on week end.""",Open,,· Closes 5 pm
Maruthi Nagar Park,3.8,-242,Park,·,"GHW4+83G, Unnamed Road","""There is a walking track around the part.""",Open 24 hours,,
Karri SatyanarayanaGaredens,,,Park,·,H2FC+G5,,,No reviews,
Janmabhumi Park,3.8,-142,Park,·,·,"""Recently renovated and park is superb""",Open now,,
Sri Maridamma Thalli Raavi Chettu Junction,5.0,-3,Park,·,G3H8+CPF,"""Nice place to sit here""",,,
Vidyavetha Chalamayya Gari Satue,3.6,-31,Memorial park,·,"HX4J+73C, BVC College Rd",,Open now,,
Akhil_mtp,,,Park,·,"3-44, Gudala Village Rd",,,No reviews,
muriki kaalava gattu,5.0,-2,Park,·,G3VM+34,"""Very peaceful place""",Open now,,
Ammu kids gymnastics,5.0,-1,Park,·,H23Q+QWR,,,,
Kamarajupeta God temple jonnada ram prasad House,4.5,-8,Park,·,H447+W28,,,,
Lakshmi Vanamu లక్ష్మీ వనము,,,Park,·,"H. No.: 8, 146/2, Pallapu Veedhi, near Sri Rama Sadan",,Open,No reviews,· Closes 6 pm
Shri Made Satyanarayana Garu Park,,,Park,·,G378+7RP,,,No reviews,
Talliamma Cheruvu Sudapalem,,,Park,·,H3G9+962,,Open now,No reviews,
Green fields,,,Park,·,F2V2+WC,,,No reviews,
"FishCat Nature Reserve, Chirra Yanam",4.6,-15,Nature preserve,·,"G533+4V4, Unnamed Road","""Very pleasant and clean.""",Open now,,
Chikurumilli Suresh s/o Dakshinamurthy Site,,,Park,·,H3XG+8MC,,,No reviews,
