qBF1Pd,MW4etd,UY7F9,W4Efsd,W4Efsd 2,doJOZc,W4Efsd 3,W4Efsd 4,W4Efsd 5,W4Efsd 6,ah5Ghc
,,,,,,,,,,
,,,,,,,,,,
Rajeev Gandhi Park,4.2,-935,Park,·,?,·,R2PF+GG9,Open,· Closes 8 pm,"""This park is very convenient for walking and also kids playing"""
KMC Samskruti Theme Park,4.3,-715,Park,·,?,·,"Q2VR+GC6 86/339, 86/339, Doctors Colony Rd",Closed,· Opens 4:30 pm,"""Excellent park with very well maintained ambience., covers very large area."""
Venkata Ramana Colony Park,4.4,"-1,555",Park,·,?,,,Open,· Closes 12 pm · Reopens 4:45 pm,"""The maintenance is very clean and good."""
Sri Pottisreeramulu Childrens Park,4.1,"-1,725",Park,·,?,,,Open,· Closes 9 pm,"""Now the place Is Renovated with beautiful trees and Great atmosphere"""
"Park,kurnool",3.9,-119,Park,·,,R28V+FV4,,Open,· Closes 9:30 pm,"""Weekends are rushy at parking spot as well as inside park."""
Dr. YSR Smruthi Vanam,4.3,"-2,464",Memorial park,·,?,·,RH5M+95W,Open,· Closes 6 pm,"""Peaceful environment with different species of plants and treez"""
Chiranjivee Park,4.1,-551,Park,·,,"R2QR+97R, Municipal Office Rd",,Open now,,On-site services
Ashok Nagar Park,3.6,-301,Park,·,,R2PJ+FFX,,Open 24 hours,,"""Good for children"""
KC Canal KMC Park,3.9,-215,Park,·,,R27R+JFW,,Open,· Closes 11 pm,"""It is near to kc canal."""
Nirmal Nagar Park,3.6,-445,Park,·,,"43, NH 44",,Open,· Closes 10 pm,"""Develop the park"""
"City Forest (NAGARAVANAM), Kurnool",4.1,-452,Park,·,?,·,City Forests,Open,· Closes 5 pm,"""Great for photo-ops (forest trails, boating, greenery)."""
Kisan NagarPark,3.8,-211,Park,·,,Q2WW+357,,Open,· Closes 8 pm,"""This park is free for everyone."""
Chanakyapuri Park,4.0,-92,Park,·,?,·,R28V+FV3,Open 24 hours,,"""park has Open Gym equipment.suitable for evening and morning walks."""
Baba Brundavan Nagar Park,4.1,-135,Park,·,,NH 44,,Open,· Closes 8:30 pm,"""It was beautiful but the timing and maintainance should be done regularly."""
Venkatadri Nagar Park,4.1,-87,Park,,,,,Open,· Closes 11 pm,"""Also contains many fruits, flowers and vegetable plants."""
Vinayak Ghat Park,4.1,-140,Park,·,,"R27R+X4J, Kisan Ghat Rd",,Open now,,"""One of the best parks in kurnool"""
KMC Park,3.9,-573,Park,·,,R25R+XF5,,Closed,· Opens 4:30 pm,"""It's good place to kids to play and to relax"""
Orvakallu Rock Gardens,4.1,"-5,108",Tourist attraction,·,?,·,"M5V2+5V3, NH40",Open,· Closes 6 pm,"""There are plenty of benches and rocks to sit and adore the beauty."""
Jai Jawan Walkers Park,4.1,-249,Park,·,?,·,R7X9+H7M,Open,· Closes 9 pm,"""Gud park,walking and exercise good"""
The Pride Park,4.5,-4,Park,·,,R2PH+55G,,Closes soon,· 10:25 am · Opens 6:30 am Tue,
KMC - S P Balasubrahmanyam Music Theme Park,4.1,-28,Park,·,,R2JH+V67,,,,"""A good park for childrens to play alone and with their parents."""
Government Public Park,3.8,-18,Park,·,,R23R+Q5H,,Open,· Closes 10 pm,
Sai Vaibhav nagar park,4.5,-37,Park,·,,"R342+HR6, Unnamed Road",,,,"""Neighbors prepared badminton court and enjoying daily in the park."""
Science Park,2.7,-27,Park,·,?,·,R22W+6J3,,,"""A fun and educational spot for kids and families!"""
Uyyalawada Narasimha Reddy Park,4.0,-489,Park,·,,868G+926,,Closed,· Opens 5:30 pm,On-site services
Palakottala Park,4.0,-1,Park,·,,R2PH+558,,,,
Koilkuntla Park,4.0,-679,Park,·,?,·,"10, R.T.C. Rd",Open now,,"""Nice place for playing to kid's.. This park only open at sunday.."""
Udhyana Vanamu. C.Camp,3.9,-45,Park,·,,R24V+XHW,,Open,· Closes 6 pm,
