qBF1Pd,MW4etd,UY7F9,W4Efsd,W4Efsd 2,W4Efsd 3,W4Efsd 5,Cw1rxd,R8c4Qb,ah5Ghc,W4Efsd 6
Nandyala Municipal Park,4.0,-662,Park,·,·,Open 24 hours,?,Directions,"""For kids it is super and for adults to do walking is good.""",
Housing Board Park 2,4.1,-462,Park,·,FFCW+475,,?,Directions,"""Nice place to sit out , workout and walking.beautiful park in Nandyal.""",
Global Water Park Nandyal,4.2,-28,Water park,,·,Open,?,Directions,"""The view is very good and the owner is so much humble and good manners.""",· Closes 6 pm
Vidhya Nagar Municipal Park,3.6,-184,Park,·,FFFJ+593,Open,?,Directions,"""There are occasionally children playing cricket here.""",· Closes 6 pm
Big Nandhi Park,4.3,-209,Park,·,FJCF+25C,,?,Directions,"""Nice and clean park.""",
Ramaalayam temple,4.0,"-3,438",Park,·,,Open,?,Directions,"""Sitting benches and full greenary ...""",· Closes 8:30 pm
Chinna Cheruvu Park,4.5,-35,Park,·,NCK PARK,· Closes 9 pm,?,Website,"""One can spend peacefully in the Park looking at Sunrise""",
swatch Bharath Park,4.0,-311,Park,·,FFJJ+JWC,Open,?,Directions,"""Eco-friendly, peaceful atmosphere""",· Closes 8:30 pm
MAHANANDI PARK,4.2,-802,Park,·,·,Open,?,Directions,"""Beautiful but badly maintained""",· Closes 6:25 pm
Housing Board Park 1,4.1,-113,Park,·,FF8W+QC3,Open,?,Directions,"""Better for living""",· Closes 8:30 pm
Green beach,3.7,-76,Garden,·,FFJV+R5,Open now,?,Directions,,
APHB Park,5.0,-1,Park,·,FFCW+46J,,?,Directions,,
Radhakrishna park,4.0,-1,Park,·,FFFH+6XG,,?,Directions,,
Ahobilam Children Park,3.9,-12,Park,·,FF9F+P3Q,,?,Directions,,
Park near bank coaching centre,4.2,-149,Park,·,FF7R+Q7P,,?,Directions,"""The central part of the park is planted with Fig and Neem trees.""",
Sri Vasavi Play Park,4.3,-10,Park,,,Open,?,Directions,,· Closes 9 pm
I Love Nandyal,4.4,-132,Tourist attraction,·,"17/143A, Park Rd",Open 24 hours,?,Directions,"""Nice to relax and walking""",
Vidya Nagar Radhkrishna Municipal park,,,Park,·,FFGJ+47Q,,?,Directions,,
Municipal Park,5.0,-1,Park,·,"FFQW+P62, Atmakur Rd",,?,Directions,"""Just awesome""",
Nandyal Gardens,5.0,-2,Park,·,FFPJ+V43,,?,Directions,,
"Lake House Restaurant, Boating & Play zone",4.2,-342,Boat tour agency,·,"NVS DALL INDUSTRIES, Park Rd",Open,?,Directions,,· Closes 9:30 pm
Muncipal park,4.0,-3,Park,·,GF47+GRC,Open now,?,Directions,,
Moulana Abul Kalam Azad Minar,4.5,-11,Memorial park,·,FFMF+RVC,,?,Directions,,
Nandyal cheruvu Katta,4.4,-602,Bakery and Cake Shop,·,FFQW+RX4,Open 24 hours,?,Directions,"""There is a",
DISCOUNT PARK,3.6,-75,Shopping mall,·,SN Swimming pool back side,Open,?,Directions,On-site services,· Closes 7:30 pm
SRI JAGAJJANANI TEMPLE NANDYAL,4.6,"-1,573",Hindu temple,·,·,· Closes 9 pm,?,Website,"""One of the most peaceful places I have ever seen.""","Sri Durga Friends Unit, Sri Jagajjanani Nagar, Kurnool"
Dr. YSR Smruthi Vanam,4.3,"-2,464",Memorial park,·,·,Open,?,Directions,"""Peaceful environment with different species of plants and treez""",· Closes 6 pm
S.N Water World,3.6,-141,Swimming pool,,·,Open,?,Directions,"""Water is clean and safe for kids""",· Closes 12 pm · Reopens 2 pm
Nandyal Tank Bund,4.7,-12,Tourist attraction,·,FFCX+XM,,?,Directions,"""Enjoy nature!""",
Anand Gangisetty house near padmavathi nagar park,5.0,-2,Housing complex,·,FFJM+C6G,,?,Directions,,
Siva Sai Signature park,4.8,-4,Housing complex,·,"GG58+G6, Park",,?,Directions,,
NCK PARK NANDYAL,,,Park,·,FFRX+52C,,?,Directions,,
"???????? ???????? ????????? ?????????, ???????",,,Memorial park,·,"28/1051-A3-1, Sai Baba Nagar Rd, Deva Nagar Colony",,?,Directions,,
NURSE QUARTERS PARK,,,Park,·,FF9H+56Q,,?,Directions,,
"??????????? ?????????, ??????? ???? ???????",,,Park,·,FFQM+29G,,?,Directions,,
