qBF1Pd,MW4etd,UY7F9,W4Efsd,W4Efsd 2,W4Efsd 3,W4Efsd 4,W4Efsd 5,ah5Ghc,doJOZc,W4Efsd 6
Magunta Subbarami Reddy Park,4.1,-437,Park,·,FX2W+JM6,Open,· Closes 10 pm,"""Shuttles,small workouts,kids playzone with nice environment.""",,
People's park,4.0,-491,Park,·,"CXMR+XC4, 16-13-314, Rd Number 4",Closed,· Opens 4 pm,"""Good playground for kids and small outdoor gym for adults.""",,
Nellore Tank(Cheruvu),4.2,"-6,578",Park,·,·,Open,· Closes 10 pm,"""The municipal is maintained safety and cleanliness""",?,CXP7+XQW
Lakshmana Gupta Park and Vaishnavi Devi Temple,3.9,"-1,270",Park,·,,Open,· Closes 9 pm,"""need good playing facilities , and good flower plantation""",?,
FUN PARK,3.6,"-1,370",Water park,·,·,Opens soon,· 10:30 am,"""When you reach Fun Park, our Fun Park entrance gives you a grandeur look.""",?,"Venkaiah Swamy, Near, Temple Road"
Nellore Nagara Vanam,4.2,-251,Ecological park,·,·,Open,· Closes 6 pm,"""The park features a decent playground where kids can burn off some energy.""",?,CV6V+R6F
Magunta Layout Childrens Park,4.1,-608,Park,·,"CXJF+M6P, 4th St",Open,· Closes 8:30 pm,"""Spacious and greener and cleaner""",,
Thikkana Park,3.9,-316,Park,·,·,Open,· Closes 6 pm,"""Renovated so well with great play activities with high quality equipment""",?,FX9P+6WG
PINAKINI PARK,4.1,-95,Park,·,·,,,"""For children nice""",?,"FX7M+3GM, Unnamed Road"
Nellore Park,4.1,-15,Park,·,"CV6R+MGH, Somasila Rd",Open,· Closes 6 pm,,,
K R Nagar Public Park,4.1,-157,Park,·,FXRR+V89 Katamreddy Ramachandra Reddy Nagar,Open,· Closes 12 am,"""Park with some trees and some children playing equipment.""",,
Children's Park,4.4,-46,Park,·,"CXRR+M32, Childrens Park Rd",Closed,· Opens 4:30 pm,"""Best park for walking and weekend program.. swimming pool also""",,
BEZAWADA GOPAL REDDY PARK,4.0,-555,Park,·,"GVQM+X7X, Rajupalem Rd",Closed,· Opens 4:30 pm,"""Very nice park in Buchi Reddy pleam.""",,
Swatantra Park,3.9,-19,City park,·,FX2M+XWF,,,"""Casual place city park for leisure time""",,
NTR NAGAR PARK,4.5,-8,Park,·,F223+2XR,,,,,
Mahaboob Khan Park,3.9,-127,Park,·,"CXXH+QX5, Achari St",,,"""Renovated the park well with good facilities.""",,
Balijapalem park,3.6,-20,Park,·,"C2M3+C9W, chintateddypalem Road",,,"""Nice park location was good""",,
Bank of Baroda Childerns Park Branch,4.2,"-12,223",Public Sector Bank,·,·,Open,· Closes 4 pm,On-site services,?,"D.No1093-1 War D-1 Oppto Childerns Park, 2Nd Line"
YS Rajanna park,3.3,-3,Park,·,CXVW+6JP,,,,,
BHAVANI PARK CENTRA,4.2,-25,Apartments,·,,,,"""Best place ever""",?,
