qBF1Pd,MW4etd,UY7F9,W4Efsd,W4Efsd 2,W4Efsd 3,doJOZc,W4Efsd 4,W4Efsd 5,W4Efsd 6,ah5Ghc
,,,,,,,,,,
,,,,,,,,,,
NTR Park,4.7,-82,Park,·,C48J+75F,,,,,
Nagaravanam Park,4.0,"-1,086",Park,·,·,?,State Highway 21,,,
Yerrabalem Industrial Park,4.0,-175,Park,·,·,?,FH6C+499,Open 24 hours,,
Mangalagiri Eco Park,4.5,-873,Park,·,AIIMS,,,Open,· Closes 5 pm,
Housing Board Colony Park,4.0,"-1,781",Park,·,7CX4+226,,,Open,· Closes 9 pm,
Annamayya Park,4.3,"-1,341",Park,·,·,?,8C79+25P,Open,· Closes 8:30 pm,
NTR Garden Park,4.3,-209,Park,·,·,?,Railway Station Road,Open,· Closes 8 pm,
A Colony Park,4.1,-485,Park,·,Colony Park,,,Open,· Closes 11 am · Reopens 3:30 pm,
Rajiv Gandhi Park,3.9,"-8,498",Park,·,·,?,NH 65,Open,· Closes 9 pm,On-site services
F1H2O PARK,4.4,"-1,097",Park,·,"GHCX+4XV, Hyderabad - Vijayawada Hwy",,,Open 24 hours,,
Syamalanagar park,4.3,-359,Park,·,·,?,20,Open,· Closes 9 pm,
Krishna River Park,4.5,-839,Park,·,"GJ65+C8V, Unnamed Road",,,Open 24 hours,,
Sri Kakani Pundarikakshudu Municipal Park walkers association 48/2013.,4.2,"-1,757",Park,·,·,?,4th Ln,Closed,· Opens 5 am Tue,On-site services
Gujjanagundla park,4.2,"-1,834",Garden,·,·,?,"8CC7+39J, Gujjanagundla Walking Track",Closes soon,· 10 am · Reopens 4:30 pm,
K.L Rao Park,3.9,"-1,673",Park,·,·,?,"GJP8+F62, Milk Factory Rd",Open,· Closes 9 pm,
Krishna Nagar Municipal Park,3.7,-794,Park,·,"8C5G+FMG, Krishna Nagar Main Rd",,,Open,· Closes 7 pm,
Annamayya Walker's Park,4.4,-124,Park,·,"8C88+2RM, 7th Line, opp. smart life Bicycles & Fitness Equipment Store",,,Closes soon,· 10 am · Reopens 4 pm,
SKL PARK,4.6,-12,Park,·,GHWR+9RX,,,,,
Kodela siva prasad Park,3.7,-123,Park,·,"Kodela Park, Park Rd",,,Open,· Closes 8 pm,
Alapati Venkatramaiah Park,4.2,-847,Park,·,Ring Rd,,,Closed,· Opens 5 am Tue,
Municipal Park,3.4,-443,Park,·,8C7W+389,,,Open,· Closes 6 pm,"""A park is a safe place to play for kids"""
SRI TARAKARAMA SVN Colony Park and walking track,4.0,-930,Park,·,·,?,"8CH7+4VH, SVN Colony Park Track",Open,· Closes 11:30 am · Reopens 4 pm,"""Play Area: SVN Colony Park has a designated play area for children."""
NGGO's Colony Park.,4.0,-456,Park,·,"NGO COLONY, 4th Ln",,,Open 24 hours,,"""Have a dedicated walking track and kids play area with manual gym equipment"""
Kondaveeti vagu park 1,4.7,-3,Park,·,"GJ22+26G, Karakatta Rd",,,,,
SM Lal Jaan Basha Park,3.7,-159,Park,·,"7FQ3+V4R, Gandi, Ponnur Road",,,Open 24 hours,,"""Small place sarounding trees , few benchs small kids purpose ok"""
