qBF1Pd,MW4etd,UY7F9,W4Efsd,W4Efsd 2,W4Efsd 3,ah5Ghc,doJOZc,W4Efsd 4,W4Efsd 5,e4rVHe
,,,,,,,,,,
,,,,,,,,,,
ITDA Park,4.2,-231.0,Park,·,QF7Q+CWM,"""Beautiful feeling""",,,,
Dr.Sanyasi Raju Memorial Municipal Park,4.1,-48.0,Park,·,·,"""Useful of all Walkers and children""",,QCCC+6HX,Open now,
Thothapalli Park,4.2,-126.0,Park,·,"QF7Q+MPJ, Parvathipuram - Palakonda Rd","""Beautifully location...👍👍👍👌👌👌""",,,,
Rani Mallamma Devi Park,4.1,-445.0,Park,·,·,"""... and there is a temple nearby on the banks of this parks pond""",,"H9G3+JPP, near Eye Hospital",Open,
R K WATER PARK,4.1,-133.0,Water park,,,"""Play ground is the best for children under 10 year old""",,,Open,
"ITDA NTR Adventure Park, Seethampeta",4.3,-384.0,Park,·,·,"""Beautiful and Awesome Picnic area and Adventure Park.""",,MRW9+FXM NTR Adventure Park,Open,
PBD water park,4.0,-20.0,Water park,·,WPV3+6F,"""Amazing place 😍😍😍""",,,,
Amity Public Park,4.2,-18.0,Park,·,FGXH+8V5,,,,Open now,
Aluru Waterfalls,4.3,-150.0,Tourist attraction,·,·,"""Surrounded by hills and hills covered with greenary.""",,"C3HV+4X3, Pachipenta Main Rd",,
Dandu pond,4.3,-19.0,Park,·,"QHRX+7MV, Main Rd","""Beside Road point planted with Badam Tree's""",,,,
Pavansai HOME,3.0,-2.0,Park,·,F7WG+P4H,"""Looks fantastic 😍""",,,Open now,
Dandigam Waterfalls,4.0,-46.0,Tourist attraction,·,·,"""No entry fees... Any time to visit.. Very nice place.""",,J36X+XH9,,
Appannadoravalasa,4.8,-8.0,Park,·,"RJ22+MCV, Vanaja - Jiyyammavalasa Rd","""Greenery Environment with Hills""",,,,
Sundar Ramayya Park,,,Park,·,QCCC+5G5,,,,,No reviews
"Waterpark, Seethampeta",4.4,-215.0,Park,·,·,"""Place is clean, lot of greenery and flowering plants.""",,ITDA NTR Adventure Park,Open,
Swacha koneru park(స్వచ్చ కోనేరు పార్క్),,,Park,·,QJR2+7WP,,,,Open now,No reviews
Pedabuddidi Waterfalls,4.2,-19.0,Tourist attraction,·,"QH3H+9H7, Left Canal","""Small waterfalls""",,,,
Thotapalli Reservoir Barrage,4.4,-183.0,Bridge,·,QFMW+MC9,"""Roads are decent, and the area feels safe to visit.""",,,,
SRINIVASA EUCALYPTUS GARDEN,5.0,-2.0,Park,·,"QJVF+W92, THUMMI GUDA village JIYYAMMAVALASA post & mandal","""peaceful place to relax""",,,Open now,
Silver Jubilee Independence Park,3.5,-2.0,Park,·,"VHPP+WQM, Thotapalli Gunupuram Rd",,,,Open now,
Green Fields,,,Park,·,PHM2+94F,,,,,No reviews
"ITDA Mettuguda Waterfall, Seethampeta",4.2,-922.0,Park,·,"ITDA, Mettuguda Waterfall",On-site services,,,Open,
land kalidas,4.0,-1.0,Park,·,PF44+W37,,,,,
Thonam Water Falls,4.3,-330.0,Tourist attraction,·,·,"""Safe waterfalls""",,M477+5M9,Open 24 hours,
వంటపుట్టి జోరు,,,Park,·,MPC9+V3,,,,Open now,No reviews
చిరతన్న పొలం,,,Park,·,MPFC+62,,,,Open now,No reviews
Ramudu thota,,,Park,·,MP47+7V,,,,Open now,No reviews
Loddha Waterfalls,4.6,-155.0,Tourist attraction,·,·,"""🏞️ I highly recommend visiting for anyone looking to connect with nature.""",,P4C7+65,Open 24 hours,
బుడ్డెం పొలం,,,Park,·,MP88+MC,,,,Open now,No reviews
Pedamerangi Junction,4.2,-110.0,Cultural landmark,·,·,"""You can",,Jiyyammavalasa Rd,Open now,
Tadikonda Waterfalls view point,3.8,-16.0,Tourist attraction,·,3J63+V2,"""Very near to road, no trecking""",,,,
FORT OF KURUPAM,4.3,-185.0,Museum,,,"""It looks old like outside but good from inside""",,,,
Thotapalli,,,Andhra Pradesh,,,,,,,No reviews
Ganta Gangadhar,,,Park,·,RG9V+C5,,,,,No reviews
Sunnapugedda Waterfall,3.9,-172.0,Tourist attraction,·,·,"""There is no steps,natural steps with rocks.""",,QP63+JMW,Open 24 hours,
Jamparakota,,,Park,·,RQG9+VR,,,,Open now,No reviews
Rao farms,,,Park,·,WCVH+6VW,,,,,No reviews
T.k.jammu,4.1,-7.0,Hiking area,·,RM83+79G,"""This beautiful place""",,,Open now,
Gorle Vykuntarao,,,Park,·,MP47+7V,,,,Open now,No reviews
Ganteda sharath,5.0,-1.0,Garden,·,RJ22+WFX,"""Good Environment 🌄🌄🌄""",,,,
RAVIVALASA✨,4.7,-3.0,Hiking area,·,"PHM3+59J, MDR63",,,,,
