qBF1Pd,MW4etd,UY7F9,W4Efsd,W4Efsd 2,W4Efsd 3,W4Efsd 4,ah5Ghc,W4Efsd 5
,,,,,,,,
,,,,,,,,
NTR Park,4.0,"-3,597",Park,?,Closed,? Opens 4??m,"""They are maintaining very well clean and green""",
The Andhra Sugars new park,4.3,-297,Park,?,Open 24 hours,,"""The greenery here gives you very fresh air and beautiful atmosphere.""",Velpur Rd
Penugonda Park,4.0,-211,Park,?,Open,? Closes 5??m,"""Particularly children play happily here on week end.""",?
Sambhuni Cheruvu Park ( Abdul Kalam Health Park),4.2,-351,Park,?,Closed,? Opens 4??m,"""Best place for walking and spending some time in nature.""","GP8Q+378, Yedla Bazar"
Janmabhumi Park,3.8,-142,Park,?,Open now,,"""Recently renovated and park is superb""",?
Ntr Park,4.1,-140,Park,?,Open now,,"""There is also big pond, around which we can have a walk.""",PM9C+4MG
Burugunta Cheruvu Park,4.2,-494,Park,?,Open,? Closes 8??m,"""Beautiful ambiance with a lot of trees and good space.""",?
BV Raju Municipal Park,4.1,"-1,396",Park,?,Closed,? Opens 3??m,"""Very peaceful atmosphere and beautifully scenery ???  ???""",?
Sir Arthur Cotton Park,4.0,-410,Park,?,Open 24 hours,,"""Peacefull and Rest at afternoon""","GGR3+MC7, Juvvalapalem Rd"
Maruthi Nagar Park,3.8,-242,Park,?,Open 24 hours,,"""There is a walking track around the part.""","GHW4+83G, Unnamed Road"
Sivananda Municipal Park,4.0,-418,Park,?,Open,? Closes 7:55??m,"""A decent sized park in Kovvur, recently renovated and well maintained.""",2P6H+6HP
Ramagundam Park,4.2,-11,Park,?,Open,? Closes 6??m,"""Best relax place in palakol, but some political issues not open regular""","GP8H+355, Palakollu - Razole Rd"
Veeramma park,4.6,-61,Park,?,,,"""Peaceful park and good place to exercise like walking""",GGRH+MXP Veerama Cheruvu
Sir Aurther Cotton Park,4.0,-58,Park,?,Open,? Closes 6??m,,"#6-134, Main Rd"
bv raju park,4.3,-34,Park,?,,,"""Very Peaceful place""",HG9F+49G
Godavari River View Point,4.4,-764,Park,?,Open 24 hours,,"""Peaceful atmosphere.""","FRJV+XPC, Dist East Godavari, Mandalam P.Gannavaram"
Housing Board Park-2,3.8,-244,Park,?,Open 24 hours,,"""One of the park in housing board""",GGWR+7X7
"Park , Lakshmi Nagar",3.8,-59,Park,?,Open,? Closes 5:30??m,"""Peaceful park""",GP9R+R9J
Municipal garden,4.3,-28,Park,?,,,"""Good but not opened don't come""",GP8H+453
Kolamuru park,4.2,-57,Garden,?,,,"""Nice place in village""",3R56+M97
Sajjapuram Park,4.0,-74,Park,?,Closed,? Opens 4??m,"""Polytechnic college""",QM5G+954
Panchayat Park,3.8,-206,Park,,Open 24 hours,,"""Nice and spacious.""",
Buddha park,4.0,"-1,579",Park,?,Open,? Closes 9??m,"""Nice park But facing some Maintainance that's the issue""","P457+25Q Budda Park, Buddha Park Raod, beside Eluru"
Cotton Park,4.0,-88,Park,?,Open 24 hours,,"""Beautiful place""",?
Municipal Park Vidyanagar,3.2,-89,Park,?,Open now,,,WM8C+M36
