qBF1Pd,MW4etd,UY7F9,AJB7ye,AJB7ye 2,W4Efsd,W4Efsd 2,W4Efsd 3,W4Efsd 4,W4Efsd 5,ah5Ghc,M4A5Cf,ah5Ghc 2,M4A5Cf 2,ah5Ghc 3,J8zHNe,bbPy1
LGM Restaurant,4.8,-176,·,₹200–400,Family-friendly,·,"KAPARAPU COMPLEX, beside VAIBHAV JEWELLERY, near RTC COMPLEX",Opens soon,· 11 am,Dine-in,·,Drive-through,·,No-contact delivery,,
Tea Leaf,4.1,-133,·,₹1–200,Coffee shop,·,QC78+3FX,Open,· Closes 9 pm,Dine-in,·,Drive-through,·,No-contact delivery,,
Fusion resto cafe,4.4,-45,·,₹200–400,Cafe,·,Turbo Box Cricket,Closed,· Opens 12 pm,Dine-in,·,Drive-through,·,No-contact delivery,Order online,
Apna Darbar restaurant,3.9,-332,·,₹200–400,South Indian,·,·,Closed,· Opens 11:30 am,Dine-in,·,Drive-through,·,No-contact delivery,Order online,
Fried wings parvathipuram,4.4,-258,·,₹200–400,Family-friendly,·,Bypass Rd,Opens soon,· 11 am,Dine-in,·,Drive-through,·,Delivery,,
Aunty Tiffin Shop,4.1,-831,·,₹1–200,Tiffin center,·,QC68+93C,Closes soon,· 11 am · Opens 5:30 am Tue,Dine-in,·,Drive-through,,,,
Brew House,4.2,"-1,117",·,₹200–400,Cafe,·,100 Ft Ring Rd,Open,· Closes 11 pm,Dine-in,·,Takeaway,·,No-contact delivery,Order online,
Star Annapurna Multi Cuisine Restaurant,4.0,"-1,205",·,"₹200–1,000",Indian,·,"Soundarya Theatre, Do. No- 393/1, Main Rd, near soundarya Theatre",Opens soon,· 11 am,Dine-in,·,Takeaway,·,No-contact delivery,Order online,
TEA MOMENTS,4.8,-128,·,₹1–200,Cafe,·,"Ring Road Junction, beside HP petrol bunk",Open,· Closes 10:30 pm,Dine-in,·,Drive-through,·,No-contact delivery,Order online,
TVR Biryani Gramam,3.8,-81,·,₹200–400,Restaurant,·,"Parasuram Hospital, Parvathipuram - Palakonda Rd, opp. Style Bazar, near Dr. Doddi",Opens soon,· 11 am,Dine-in,·,Kerbside pickup,·,No-contact delivery,Order online,
Helapuri,3.3,-81,·,₹200–400,Biryani,,,Opens soon,· 11 am,Dine-in,·,Drive-through,·,Delivery,Order online,
Stories By baby cafe,4.9,-32,·,₹200–400,Cafe,·,Dharmapuri Rd,Open,· Closes 10 pm,Dine-in,·,Kerbside pickup,·,No-contact delivery,,
Coffee Club,4.7,-162,·,₹1–200,Coffee shop,·,"Shop #7, Muncipal Complex, Beside Clock Tower, next to Muncipal Corporation Office",Open,· Closes 9 pm,Dine-in,·,Takeaway,·,Delivery,Order online,
THE ONE cafe and kitchen,4.6,-54,·,"₹200–1,000",Coffee shop,·,"Ground Floor, Fortcity Central, opp. Railway Station Road",Opens soon,· 11 am,Dine-in,·,Takeaway,·,No-contact delivery,,
Kōra cafe,3.9,-52,·,₹200–400,Cafe,·,"1st floor, 100 Ft Ring Rd, beside lee paradise conventions",Closed,· Opens 11 am Tue,Dine-in,·,Kerbside pickup,·,No-contact delivery,,
O'CO cafe,4.3,-60,·,"₹400–1,200",Cafe,·,"100 Ft Ring Rd, beside Biriyanis and More",Opens soon,· 11 am,Dine-in,·,Drive-through,·,No-contact delivery,,
Time pass cafe,4.2,-82,·,₹200–400,Cafe,·,Thota Palem Rd,Open,· Closes 10 pm,Dine-in,·,Takeaway,·,Delivery,,
TVR biryani bowl,3.6,-211,·,₹200–400,Biryani,·,Bypass Rd,Opens soon,· 11 am,Dine-in,·,Drive-through,·,Delivery,,
Cafooze Vizianagram,4.4,-373,·,"₹200–1,000",Cafe,·,Y Junction,Opens soon,· 11 am,Dine-in,·,Drive-through,·,No-contact delivery,Order online,
