card-heading,slick-dots 2,slick-dots 3,slick-dots 4,hotel-neighbourhood,hotel-neighbourhood 2,rating-badge,rating-count,price,text-muted,slick-dots 5,slick-dots 6,slick-dots 7,card-body,hotel-featured-data,clickable
1. Manjeera Sarovar Premiere Rajahmundry,3.0,4.0,5.0,1.7 kms from Godavari Station,# 1  hotel in  Rajahmundry,8.3,(784 reviews),"₹4,834",onwards,,,,,,
2. Manjeera Sarovar Premiere,3.0,4.0,5.0,1.5 kms from Godavari Bridge,# 2  hotel in  Rajahmundry,7.9,(501 reviews),"₹12,800",onwards,6.0,7.0,8.0,"Facilities:
     Bar, Wifi, Spa, Pool, Concierge Service, Food",5 star hotel with 3 room options,
3. HOTEL SHELTON RAJAHMUNDRY,,,,1.5 kms from Godavari Station,# 3  hotel in  Rajahmundry,7.7,(153 reviews),"₹6,316",onwards,,,,,,
4. Leela pavilion,3.0,4.0,5.0,1.7 kms from Godavari Station,# 4  hotel in  Rajahmundry,6.9,(180 reviews),"₹1,714",onwards,6.0,7.0,8.0,"Facilities:
     Wifi, Food",Hotel with 2 room options,
5. SRI JUPUDY RESIDENCY,3.0,4.0,5.0,600 m from Godavari Station,# 5  hotel in  Rajahmundry,7.5,(82 reviews),"₹1,800",onwards,6.0,7.0,8.0,"Facilities:
     Wifi, Bar, Concierge Service, Food",Lodge with 3 room options,
6. HOTEL VALLABHA RESIDENSY,3.0,4.0,5.0,300 m from Godavari Station,# 6  hotel in  Rajahmundry,6.4,(71 reviews),₹999,onwards,6.0,7.0,8.0,"Facilities:
     Wifi, Shuttle Service",Hotel with 3 room options,
7. Sona Residency,3.0,4.0,5.0,500 m from River Bay,# 7  hotel in  Rajahmundry,4.7,(72 reviews),"₹1,110",onwards,6.0,7.0,8.0,"Facilities:
     Wifi, Food",Hotel with 3 room options,
8. Hotel O Bommana Residency,3.0,4.0,5.0,200 m from Godavari Station,# 8  hotel in  Rajahmundry,4.5,(71 reviews),"₹4,189",onwards,6.0,7.0,8.0,"Facilities:
     Wifi, Bar, Food",,
9. Hotel O Vallabha Residency,3.0,4.0,5.0,300 m from Godavari Station,# 9  hotel in  Rajahmundry,6.7,(20 reviews),"₹3,253",onwards,6.0,7.0,8.0,"Facilities:
     Wifi",Hotel with only 1 room option,
10. Hotel O Parnasala Princely,3.0,4.0,5.0,500 m from River Bay,# 10  hotel in  Rajahmundry,4.1,(65 reviews),"₹2,790",onwards,6.0,7.0,8.0,"Facilities:
     Wifi",Hotel with 4 room options,
