tourTarget,tt_bottom,tt_bottom 4,packageCostOrig,packageCost,lnkRequestPrice
Srisailam - Mallelateertham Falls (from Hyderabad),2D/1N,Srisailam (1N),₹11800,₹9440,
Srisailam - Bairluty Jungle Camp (from Hyderabad),3D/2N,Srisailam (1N) - Bairluty Jungle Camp (1N),₹19175,₹15340,
Srisailam - Pacherla Jungle Camp (from Hyderabad),3D/2N,Srisailam (1N) - Pacherla Jungle Camp (1N),₹19544,₹15635,
Alampur - Bairluty Jungle Camp (from Hyderabad),3D/2N,Alampur (1N) - Bairluty Jungle Camp (1N),₹18880,₹15104,
Ahobilam - Mahanandi - Pacherla Jungle Camp (from Hyderabad),3D/2N,Ahobilam (1N),₹20576,₹16461,
Alampur - Bairluty Jungle Camp - Srisailam (from Hyderabad),4D/3N,Alampur (1N) - Bairluty Jungle Camp (1N) - Srisailam (1N),,,Request Price
Srisailam - Bairluty Jungle Camp -  Nagarjunasagar (from Hyderabad),4D/3N,Srisailam (1N) - Bairluty Jungle Camp (1N) - Nagarjunasagar (1N),,,Request Price
Bairluty Jungle Camp Tour (from Hyderabad),2-3 Days,Bairluty Jungle Camp (1N),₹13750,₹11000,
Pacherla Jungle Camp Tour (from Hyderabad),2-3 Days,Pacherla Jungle Camp (1N),₹15312,₹12250,
Hyderabad with Srisailam in 4 Days,4D/3N,Hyderabad (2N) - Srisailam (1N),₹21025,₹16820,
