destTitle,destTitleType,text-overlap-extn,destDesc,destDesc 2,destTitle 2,destTitleType 2,destDesc 3
Mallikarjuna Swamy Temple,Pilgrimage,#1 of 19 Places to Visit in Srisailam,"At a distance of 1 km from Srisailam Bus Station, Mallikarjuna Swamy Temple dedicated to Lord Shiva has a great historical and religious significance and it is one of the 12 Jyotirlingas and also one of the 18 Sakti Peethas (Bhramaramba Temple situated in same complex). The holy temple is situated on a mountain named Shri Shaila on the banks of Krishna River. This Jyotirlinga is also referred as Kailash of the South. Mallikarjun Temple is among the prime places to visit in Srisailam.The earliest known historical mention of  hill can be traced in Pulumavis Nasik inscription of 1st Century AD. The Sathavahanas, Ikshavakus, Pallavas, Vishnukundis, Chalukyas, Kakatiyas, Reedy Kings, Vijayanagara Emperors and Chatrapathi Shivaji are among the famous emperors who worshipped God Mallikarjuna Swamy and made several contributions to the development of the temple.Prataparudra of Kakatiya Dynasty strived a lot for the improvement .....",Srisailam,,,
Bramarambha Temple,Pilgrimage,#2 of 19 Places to Visit in Srisailam,"At a distance of 1 km from Srisailam Bus Station, Bramarambha Temple, also known as Bhramarambika Temple is situated within the main Srisailam Temple complex behind the Mallikarjuna Swamy Temple. Srisailam is the only place in India with the combination of Jyothirlinga and Shakti Peetha in one campus. Bhramaramba Temple is among the prime places to visit in Srisailam along with Mallikarjun Temple & Srisailam Dam.The Bramarambha Temple in Srisailam is one of the eighteen Maha Shakti Peethas. Bramarambha (Bramari) means the Mother of bees. Goddess Bramarambika is one of the manifestations of Goddess Shakti, the consort of Lord Shiva. The Greeva (Neck) of Devi fell here. She has assumed herself a form of bee and worshipped Lord Shiva. You can hear the buzzing of a bee through a tiny hole in the Bramarambha temple.According to the legend, once upon a time, a demon named Arunaasura ruled the whole world. Chanting Gayatri mantra, he performed Tapasya for a very long time and pleased .....",,,,
Srisailam Dam,Backwaters,#3 of 19 Places to Visit in Srisailam,"At a distance of 14 km from Srisailam Bus Station & 15 km from Srisailam Temple, Srisailam Dam is constructed across Krishna River on the border of Mahabubnagar District,  (Left bank) and Kurnool district, Andhra Pradesh (Right bank). It is one of the largest dams in India and the 3rd largest hydroelectric project in India. Srisailam Dam is among the prime places to visit in Srisailam, situated on Hyderabad to  route. This is another popular attraction to visit as part of .The construction of the dam was started in 1960 and took over 20 years to be completed and was opened in 1981. The dam was constructed in a deep gorge in Nallamala hills, 300 meters above sea level. The dam is 512 meters long, 240.79 meters (885 ft) high and has 12 radial crest gates. The dam has a live storage of 274 TMC and provides .....",Telangana,|,Nature,Srisailam
Pathala Ganga,Backwaters,#4 of 19 Places to Visit in Srisailam,"At a distance of 1 km from Srisailam Mallikarjuna Temple, Pathala Ganga is the sacred place in the backwaters of River Krishna. This is the place where devotees can have a holy dip in the river Krishna. Steps and iron chains are provided for the devotees to hold onto to protect themselves from the strong force of the river. From this place you can get a glimpse of wide reservoir and the magnificent mountains spread with the lush green Nallamala Forest. It is one of the popular Srisailam places to visit for best views of River Krishna. It is geographically located behind  and the flood gates can be seen from here. Pathala Ganga is also the boating center for pleasure rides and trips to Akkamahadevi Caves.Several pilgrims take bath in River Krishna at Pathala Ganga before visiting the deity of Srisailam Temple. Around 500 steps from the Hanuman Temple (Haritha Hotel) need to be trekked down to reach Pathala .....",Srisailam Dam,,,
Sikharam,Pilgrimage,#5 of 19 Places to Visit in Srisailam,"At a distance of 8 km from Srisailam Mallikarjun Temple & 12 km from Srisailam Dam, Sikharam is the highest point of Srisailam Hills at an altitude of 2830 feet above sea level. The Skanda Purana proclaims that a mere glance of this Sikharam frees the human soul from the fitters of rebirth. In ancient days people used to come to Srisailam on foot and those who unable to reach the shrine returned back by seeing this peak. It is one of the top places to visit in Srisailam and is about 3 km from the road between Srisailam Temple and Srisailam Dam.The Sikhareswaram Temple located here is an ancient stone structure consisting of Garbhagriha, Antaralaya and 16 pillared Mukhamanda. The deity here is named as Veera Sankara Swamy and locally popularized as Sikhareswara Swamy. Historically the Reddy Kings have constructed a flight of steps to this temple in the year 1398 AD and also a tank (Pushkarini) at this place. This place gives a panoramic view of the entire temple complex of Srisailam .....",,,,
Mallela Theertham,Pilgrimage,#6 of 19 Places to Visit in Srisailam,"At a distance of 58 km from Srisailam & 173 km from Hyderabad, Mallela Theertham is a charming waterfall located in the dense Nallamala forest. This is one of the popular tourist places to visit near Hyderabad and among ideal  for a day trip. It is situated close to  to Srisailam highway and is a popular place to visit while travelling to .With a height of about 150 feet, water directly falls from a high cliff on a Shiv Lingas kind of rock formations. Bordered by thick forest, the surroundings of the falls offer unique experience. The water comes from a small stream which flows through the dense jungle and meets the Krishna River. About 380 well laid steps need to be walked down to reach the falls from the road point. The pool below the falls is closed with fencing on .....",weekend getaways from Hyderabad,|,Waterfall,Hyderabad
Akka Mahadevi Caves,Nature,#7 of 19 Places to Visit in Srisailam,"At a distance of 10 km from Srisailam Temple & 25 km from Srisailam Dam, Akka Mahadevi Caves are the naturally formed caves in thick Nallamala Hills, just above the upstream flow of the river Krishna. The best way to reach these caves is by Motor Boat from Pathala Ganga in Srisailam. It is one of the popular Srisailam tourist places while visiting the holy shrine of Mallikarjun Temple. A narrow mud road is also available from Hyderabad -  Road (20 km before ) from where the caves are about 5 km away. Only high clearance vehicles can take this 5 km rough stretch which is often inaccessible in monsoon season.While travelling by boat, after an hour ride across River Krishna, take a little trek for 10 minutes to reach the Akka Mahadevi Caves. The trek is easy but one has to be a little careful because the path is close to the edge.The caves are named .....",Srisailam,|,Pilgrimage,Srisailam Dam
Uma Maheshwaram,Pilgrimage,#8 of 19 Places to Visit in Srisailam,"At a distance of 87 km from Srisailam, 14 km from Achampet town and 159 km from Hyderabad, Uma Maheswaram is famous for Uma Maheswara Temple built in 2nd century. Situated in deep Nallamalai Forests in Mahabubnagar district, the presiding deities are Mallikarjuna (Shiva) and Bhramaramba (Parvati). Uma Maheshwaram is considered as the north gateway to holy town of Srisailam. It is one of the top places to visit near Srisailam.Uma Maheshwaram is located close to Hyderabad to  road. While driving from Hyderabad, there is a temple entrance arch in Ziarat village which is 9 km from Achampet town. From the arch, the temple is about 5 km away which can be reached by vehicles. A small walk is required for about 10 minutes from the road point to reach the temple.There is a temple dedicated to Lord Hanuman on the way to Uma Maheshwaram Temple. The surroundings of the temple offers wonderful views of the nature of Nallamala Forest .....",Srisailam,,,
Nagarjuna Sagar - Srisailam Sanctuary,Wildlife,#9 of 19 Places to Visit in Srisailam,"At a distance of 60 km Nagajuna Sagar, 30 Kms from Srisailam and 173 km from Hyderabad, the Nagarjuna Sagar - Srisailam Sanctuary (or Srisailam Sanctuary) is the largest tiger reserve in the country, spread across 3568 Sq. Kms. It is spread between Nagarjuna Sagar reservoir & Srisailam reservoir. It was declared a sanctuary in 1973 and was incorporated under Project Tiger a decade later.Animals that can be found here are the panthers, tigers, spotted deer, mouse deer, black buck, sambars, chousingha nilgai, tree straw, mugger crocodile, and wolfs, sloth beer & wild dogs. Mannanur (104 Kms from Mahbubnagar towards ), Kandla Kunta (30 Kms from Macherla & 60 Kms from Sagar towards Srisailam), Vatwarla Palle (30 Kms from Srisailm towards Mahbubnagar) are different gateways into the sanctuary.The Forest department organized a Jeep Safari in the forest (to Farahabad Viewpoint) from the entry point on  to .....",Srisailam,,,Hyderabad
Bairluty Jungle Camp,Wildlife,#10 of 19 Places to Visit in Srisailam,"At a distance of 15 km from Atmakur, 47 km from Dornala, 85 km from Kurnool, 96 km from Srisailam, and 300 km from Hyderabad, Bairluty is a tribal village in Atmakur mandal of Kurnool district, Andhra Pradesh. This is one of the eco-tourism projects initiated by AP Tourism and among the best weekend getaways near Hyderabad.Nallamala Jungle Camp at Bairluty is a community-based eco-tourism initiative which was started in 2017. The main aim of the camp is to elicit local support for wildlife, to impart conservation education to the visitors and to empower the local communities improving their livelihoods. Bairluty is the one among the three locations of eco-tourism programmes initiated by Andhra Pradesh Government in Nagarjunasagar - Srisailam Tiger Reserve; the other two are Thummalabailu and Pacherla. The camp is build around the concept of  in Karnataka. Spreads over an area of 10 acres, Nallamala .....",Jungle Lodges & Resorts (JLR),,,
Tribal Museum,Museum,#11 of 19 Places to Visit in Srisailam,"At a distance of 1 km from Srisailam Temple, Tribal Museum at the entrance of Srisailam town is a wonderful place to experience the culture and life style of tribal living in Nallamala Hills. It is one of the popular Srisailam tourist places to understand the tribal culture of the region.With a huge collection of tribal artifacts and different sections showcasing the life style of the natives, this is a must visit place in Srisailam. The museum is well maintained with good collection of the daily use articles of tribal, articles of labor, weapons, statues of their gods, musical instruments, etc.There is a large park inside the Museum campus with images of dinosaurs, tribal huts, children play area, etc.Timings: 8:30 AM to 8 PM. Entrance Fee: Rs 10.",,,,
Sakshi Ganapathi Temple,Pilgrimage,#12 of 19 Places to Visit in Srisailam,"At a distance of 3 Km from Srisailam Mallikarjun Temple & 11 km from Srisailam Dam, Sakshi Ganapati Temple, situated between Srisailam Temple and Srisailam Dam, is one of the sacred spots frequented by pilgrims since times immemorial. The traditional belief is that the Ganapathi in this temple keeps regular account of all the pilgrims to tender Sakshyam (evidence) of their visit to this Kshetram and so named as Sakshi Ganapathi. It is one of the well known Srisailam places to visit.The sculpture of this deity is exquisitely made holding a book in the left hand and a pen in the right hand in such a way as noting down the names of devotees.  It is in practice that devotees during their return from Mallikarjuna Temple visit this temple. Srinatha, the renowned poet of 14th Century in his Kasikhandam states that this Sakshi Ganapathi is visualized by sage Agasthya during his pilgrimage to Srisailam.Timings: 6 AM to 9 PM",,,,
Phaladhara Panchadhara,Nature,#13 of 19 Places to Visit in Srisailam,"At a distance of 4.5 Km from Srisailam, 5 km from Srisailam Temple & 10 km from Srisailam Dam, Phaladhara and Panchadhara, on the way to Sikharam, is one of the most beautiful scenic spot in the surroundings of Srisailam. This spot is located in a narrow valley approachable by a flight of 160 steps with streams of pure water flowing with musical sound reverberate the surroundings. It is one of the popular attractions in Srisailam and is situated between Srisailam town and Srisailam Dam.According to locals, these streams signify their origin from the fore head of God Siva, the Phaladhara (Phala = fore head, dhara = Stream) and denote the five aspects of Siva, the Panchadhara (Pancha = five, dhara = Stream).  The water from this stream flows uninterrupted in all the seasons.  Tradition records that Bhagavan Adisankara performed penance at this place and composed the famous Sivanandalahari here. His Holiness Kanchi Paramacharya confirmed this and marble statues of Sarada Devi .....",,|,Pilgrimage,
Hatekeswaram,Pilgrimage,#14 of 19 Places to Visit in Srisailam,"At a distance of 4.5 Km from Srisailam, 5 km from Srisailam Temple & 10 km from Srisailam Dam, Hatekeswaram, on the way to Sikharam and opposite to Phaladhara & Panchadhara is a small shrine dedicated Lord Shiva. According to legends, God Shiva appeared to a potter devotee at this place in Atika (Piece of Pot) and hence named as Atikeswaram and later it became as Hatakeswaram. Another tradition gives the name to this place from a particular yogic school known as Hatayoga, one of the forms of Astangayogas (the eight yogas). It is situated between Srisailam town & Srisailam Dam.Some historians located a laboratory of Akhemy (Rasayoga) at this place during medieval times.  The present temple dedicated to Hatakeswara Swamy is stone structure built around 12th century. Timings: 6 AM to 9 PM",,,,
Kailasadwaram,Pilgrimage,#15 of 19 Places to Visit in Srisailam,"At a distance of 5 Kms from Srisailam, Kailasadwaram is situated to the South-West of Hatakeswaram. Kailasadwaram is considered as the entrance of pathway leading to Srisailam.In ancient days, devotees used to visit Srisailam by foot. Nowadays, many devotees walk up to Srisailam temple from Kailasadwaram.",,,,
Kadalivanam Caves,Adventure,#16 of 19 Places to Visit in Srisailam,"At a distance of 22 Kms from Srisailam and 12 Kms from Akka Mahadevi Caves, Kadalivanam Caves are natural caves with lot of history attached to it. After reaching Akka Mahadevi Caves on Motor Boat from , trekking through multiple mountains for a distance of 12 Kms will take you to this place.This is a huge cave like natural rock shelter which can accommodate nearly 500 persons comfortably.  Near the rock shelter flows a stream and evidences of stone age man in the form of stone tools were discovered. Akkal Maharaj, who is a famous saint in  did penance at this place for several years before heading to Maharashtra.Akkamahadevi is said to have spent her last days at this place. It is said that Bhagavan Dattatreya and his other incarnations are believed to have been dwelling at this place. This excellent spot is considered to be extremely sacred by devotees.  Many devotees .....",Srisailam,,,Maharashtra
Saleshwaram,Adventure,#17 of 19 Places to Visit in Srisailam,"At a distance of 60 Kms from Srisailam, Saleshwaram, also known as Sarveswaram and Saileswaram is famous for a Shiva temple built in 6th / 7th century AD. This temple is open for only 5 days in year during Chaitra Pournima Festival (around April).This place also finds reference in ancient puranas. Sriparvatha Purana, a celebrated work of Seshanatha written in 16th century about  speaks about this place. Here is a cave temple dedicated to Lord Siva and two ponds named as Sarvesa theertham and Pushkara theertham.This place is located within Srisailam Sanctuary between Srisailam and Mannanur. After travelling for 48 km from Srisailam on this road, a left turn should be taken into the forest. After travelling for 10 km on the same road, one can reach the nearest road point to this place. A walk for about 2 km is required to reach his place from the road point through boulders and forest.Opposite to the temple there .....",Srisailam,|  |,Pilgrimage,
