card-heading,hotel-neighbourhood,hotel-neighbourhood 2,rating-badge,rating-count,readMoreSmall,clickable,moreTextHidden,price,text-muted,hotel-featured-data
1. Super Hotel O Mahanadu formerly Akshaya Bheemas,1.9 kms from IB Cricket,# 1  hotel in  Vijayawada,8.9,(86 reviews),"Located in Gundala, Flagship Akshaya Bheemaas Inn is a three-star accommodation. The rooms offered a",(Read More),"re modern and spacious and equipped with amenities made to suit every need of the guests. Guests can spend their time at the shared lounge and engage in various recreational activities. To enjoy authentic South Indian cuisine, guests only need to walk a few steps as the property is close to many famous local eateries.","₹3,191",onwards,
2. Grand Vijayawada by GRT Hotels,400 m from Pvp Square Mall,# 2  hotel in  Vijayawada,8.8,(122 reviews),,,,"₹5,400",onwards,5 star hotel with 6 room options
3. FabHotel Keerthi's Anupama - Nr Indira Gandhi Stadium,1.2 kms from Vijayawada Station,# 3  hotel in  Vijayawada,8.7,(808 reviews),"The modest FabHotel Keerthi's Anupama is situated 3 kilometres from the well-known pilgrimage site,",(Read More),"Sri Durga Malleswara Swamy Varla Devasthanam, in a bustling commercial district. To reenergize yourself, unwind amidst the lush greenery of the surrounding Rajiv Gandhi park and listen to the birds' soothing singing. The hotel's proximity to Vijayawada Junction Railway Station is a major convenience. The interiors of the entire property adhere to a neutral colour scheme, which gives the space a quiet and tranquil atmosphere. The property has a private banquet hall where parties and special events can be planned.","₹3,402",onwards,Hotel with 4 room options
"4. Lemon Tree Premier, Vijayawada",1.5 kms from Vijayawada Station,# 4  hotel in  Vijayawada,8.6,(500 reviews),"Both business and vacation travellers will find Lemon Tree Premier, Vijayawada, to be a great place",(Read More),"to stay. The elaborate Kanaka Durga Temple on Indrakeeladri Hill, the Undavalli Caves with its ancient rock-cut temples, and Bhavani Island on the Krishna River are all within 2 km of the railway station. The hotel's advantageous position provides numerous opportunities to explore the heritage, architecture, and spirit of the city. The hotel has a multi-cuisine coffee shop called Citrus Café, a pan-Asian restaurant called Republic of Noodles, which has won awards, and a trendy bar called Slounge. A revitalising spa called Fresco, a well-stocked gym, and a cool pool with a pool deck and bar called Serenity are just a few of the recreational amenities available.","₹5,300",onwards,5 star hotel with 5 room options
5. Vivanta Vijayawada M G Road,200 m from Pvp Square Mall,# 5  hotel in  Vijayawada,8.5,(132 reviews),,,,"₹6,767",onwards,
6. Hyatt Place Vijayawada,1.2 kms from Madhura Nagar Station,# 6  hotel in  Vijayawada,8.3,(152 reviews),,,,"₹4,500",onwards,5 star hotel with 4 room options
"7. Vivanta Vijayawada, MG Road",1.5 kms from Vijayawada Station,# 7  hotel in  Vijayawada,8.2,(385 reviews),"The Gateway Hotel is located along a busy street in the heart of the city, 3 km from the Krishna Riv",(Read More),"er, 4 km from the railway station at Vijayawada Junction, and 5 km from the Kanakadurgamma Temple. Due to the hotel's prime location, visitors may easily tour the city's landmarks. Visit the Mogalarajapuram Caves in South India for stunning rock carvings from the fifth century and a unique statue of Ardhanareshwara that represents Lord Shiva and Parvati as the union of opposites. In Guntur, the Undavalli Caves exhibit Buddhist, Jain, and Hindu influences. The Victoria Jubilee Museum on Bandar Road, a revered example of Indo-European architecture, is a popular destination for art and history enthusiasts.","₹5,500",onwards,5 star hotel with 6 room options
8. Vishnu Paradise,500 m from Minerva Grand Vijayawada,# 8  hotel in  Vijayawada,8.2,(35 reviews),Travelers looking for inexpensive lodging in Vijaywada should strongly consider Vishnu Paradise. It,(Read More),"is in the Labbipet area. The property benefits from a prime location and offers quick and simple access to the city's main transit hubs. Old Bus Stand (2.9 km), Auto Nagar Bus Stand (3.1 km), Pandit Nehru Bus Station (3.2 km), and Vijayawada Airport (16.4 km) are a few of the well-liked transit locations from Vishnu Paradise. The Vishnu Paradise Ripples Mall, Indira Gandhi Stadium, Mary Matha Church, and Kanakadurga Temple are all nearby tourist hotspots and interesting locations.","₹4,000",onwards,Hotel with 3 room options
"9. Sree Fortune Grand, Tadepalli",1.4 kms from Krishna Canal Junction Station,# 9  hotel in  Vijayawada,8.9,(27 reviews),"Located in Fakīrgūdem, Sree Fortune Grand, Tadepalli is a well-appointed hotel offering accommodatio",(Read More),"ns with all modern amenities. The hotel features a restaurant, 24-hour front desk, and room service to ensure a comfortable stay for guests. Additionally, the hotel offers free private parking and car hire services for guests looking to explore the area. Guest rooms are equipped with a seating area where guests can unwind while watching TV. A buffet breakfast is available every morning, including both regular and halal options.","₹4,380",onwards,Hotel with 2 room options
10. Novotel Vijayawada Varun,1.0 kms from IB Cricket,# 10  hotel in  Vijayawada,8.0,(1058 reviews),"The Novotel Vijayawada Varun, located off a bustling boulevard in the centre of Vijayawada, an Andhr",(Read More),"a Pradesh city on the banks of the River Krishna, offers a luxurious stay experience. The Gunadala Matha Shrine, a hilltop Catholic chapel and museum, is 3 km from this unpretentious guesthouse and 8 km from the Bapu Museum. It boasts 233 luxurious types of guest rooms that are decorated in a modern style and have open, large interiors. With its multi-cuisine restaurants, bar, spa, banquet facilities, and stunning infinity pool, the hotel offers the best possible stay. Whether it's a wedding, a business function, or a casual get-together, Novotel Vijayawada offers the ideal location.","₹6,300",onwards,5 star hotel with 9 room options
11. Hotel Sri Ram Grand,400 m from Vijayawada Station,# 11  hotel in  Vijayawada,8.0,(289 reviews),The Hotel Sri Ram Grand is located very close to both the main bus station and railway station in Vi,(Read More),"jayawada, which is the city's commercial centre. It is surrounded by the spectacular shores of the Krishna River. Hotel Sri Ram Grand is 35 kilometres away from Tenali Junction Railway Station. 19 kilometres away from the hotel, Vijayawada Airport is the closest airport. Amaravathi is also close by, and the area is relatively close to the Kanaka Durga temple. The hotel offers its customers nutritious vegetarian food options.","₹4,125",onwards,Hotel with 3 room options
12. Treebo C Plaza,200 m from Minerva Grand Vijayawada,# 12  hotel in  Vijayawada,8.0,(259 reviews),Treebo Trend C Plaza is a contemporary building 5 kilometres from the Vijayawada train station and c,(Read More),"lose to the well-known neighbourhood of MG Road. The Bapu Museum is 2 km away from this relaxed guesthouse, while Rajiv Gandhi Park is 5 km away. Even though it is situated in a bustling neighbourhood, the hotel is free from air and noise pollution. Additionally, this hotel offers a free vegetarian breakfast that features both north Indian and south Indian cuisine. Any modest event can be held at the 80-person capacity, 1400 square foot banquet hall called ""C-Hall."" You can enjoy the complimentary buffet breakfast in the beautiful atmosphere of Treebo Trend C Plaza's AC dining room.","₹7,154",onwards,Hotel with 2 room options
13. Super Hotel O Ramavarapadu Near PVR Icon,3.2 kms from IB Cricket,# 13  hotel in  Vijayawada,8.0,(85 reviews),The Super OYO Flagship Ak Pride is highly praised for its brand new and fr,(Read More),"iendly atmosphere, good service, ultimate room comfort, and well-maintained rooms. Guests are happy with the location and excellent service, and they appreciate the spacious and comfortable rooms. The hotel has an excellent ambience, with clean and hygienic rooms. Overall, the service at the hotel is impressive and worth the money.","₹2,224",onwards,4 star hotel with 2 room options
14. Hotel Sree Kubera Grand,600 m from Vijayawada Station,# 14  hotel in  Vijayawada,8.0,(167 reviews),,,,"₹3,307",onwards,
15. HOTEL SUNRISE HOSPITALITY,900 m from IB Cricket,# 15  hotel in  Vijayawada,8.0,(66 reviews),Hotel Sunrise Hospitality in Vijayawada is a luxurious hotel that features spacious and well-appoint,(Read More),"ed rooms that are equipped with modern amenities. Its central location makes it a perfect choice for both business and leisure travelers. The hotel also boasts of a multi-cuisine restaurant that serves delectable food, and a banquet hall that can accommodate up to 500 guests, making it an ideal venue for weddings and events. The courteous staff, excellent facilities, and convenient location make Hotel Sunrise Hospitality a great choice for a stay in Vijayawada.","₹4,616",onwards,Hotel with 2 room options
"16. Fortune Murali Park, Vijayawada - Member ITC's Hotel Group",400 m from Minerva Grand Vijayawada,# 16  hotel in  Vijayawada,8.0,(53 reviews),"Discover unmatched extravagance at the exquisite Fortune Murali Park, Vijayawada that offers beautif",(Read More),"ully furnished rooms, outstanding dining options and premium facilities. At the on-site gym, fully commit to a strenuous workout.Take advantage of the close distance to the nearby Vijayawada Junction Railway Station. Zodiac, the in-house coffee shop, will treat your taste buds to delectable delicacies from all over the world.","₹6,900",onwards,4 star hotel with 6 room options
17. The Eden Park Boutique Hotel,900 m from IB Cricket,# 17  hotel in  Vijayawada,7.9,(1016 reviews),,,,"₹2,179",onwards,
18. Quality Hotel DV Manor,500 m from Minerva Grand Vijayawada,# 18  hotel in  Vijayawada,7.8,(228 reviews),,,,"₹5,129",onwards,
19. FabHotel Surya Grand I,1.6 kms from Madhura Nagar Station,# 19  hotel in  Vijayawada,7.7,(37 reviews),,Enter dates  to see price,,,,
20. FabHotel Prime D Dev - Nr Vijayawada Club,1.2 kms from Krishna Canal Junction Station,# 20  hotel in  Vijayawada,8.6,(26 reviews),"FabHotel Prime D Dev in Tadepalli is praised for its polite staff, conveni",(Read More),"ent location near a national highway, ample parking space, and reasonable pricing. While the hotel offers good value for money, improvements are needed in the restaurant and room services. Guests enjoyed clean rooms, delicious food, and friendly staff, making it a recommended choice in the area. Overall, addressing the service issues could further enhance the guest experience.","₹5,983",onwards,Hotel with 2 room options
21. Eden Park Boutique Hotel,900 m from IB Cricket,# 21  hotel in  Vijayawada,7.6,(292 reviews),"Hotel EDEN PARK is primarily a hotel for business travellers, conveniently situated in the sought-af",(Read More),"ter Benz circle neighbourhood. When looking for a relaxing and hassle-free stay in Vijayawada, smart travellers can consider this option. It provides contemporary, roomy, and stylish lodging with a focus on genuine comfort and attentive service. A shopping centre and a multiplex are both within walking distance of the hotel, which is close to numerous hospitals within a 2-kilometer radius. Only a 10-minute drive will take you to more tourist attractions including Bhavani Island, Prakasam Barrage, and Kanaka Durga Temple.","₹4,643",onwards,Hotel with 2 room options
22. Quality Hotel D V Manor,600 m from Minerva Grand Vijayawada,# 22  hotel in  Vijayawada,7.6,(128 reviews),"Welcome to Quality Hotel D V Manor, a business hotel well-positioned in Vijayawada's commercial dist",(Read More),"rict. This upscale hotel is located 3 km from the busy Besant Road and 4 km from the Vijayawada Junction train station. It offers a great location, cutting-edge amenities, seasoned staff, a variety of Oriental, Northwest Frontier, and South Indian cuisines, as well as comprehensive meeting and conference facilities. The Undavalli Caves are 10 km away. A variety of adjustable banquet and conference venues are available at the quality hotel D V Manor, depending on your demands.","₹5,750",onwards,4 star hotel with 3 room options
23. FabHotel RR Grand - Next to Trendset Mall,200 m from Trendset Mall,# 23  hotel in  Vijayawada,7.6,(88 reviews),"Family-friendly hotel FabHotel RR Grand is situated off the NH65 route in MG Road, Vijayawada. The B",(Read More),"apu Museum's art exhibits are 3 kilometres from this inconspicuous motel. Vijayawada is home to spectacular architecture that is distributed around the town and is surrounded by olive green woodlands that cover the mountainous terrain and the majestic River Krishna that flows alongside it. Both situated near the hotel, the Sri Durga Malleswara Swamy Varla Devasthanam and the Kanakadurga temple are only a couple of the revered temples in Vijayawada that tell the story of their illustrious past. The Vijayawada Railway Station and the airport are both conveniently close to the hotel.","₹4,086",onwards,Hotel with 4 room options
24. Treebo Trend Arka Vijayawada,4.1 kms from Rajiv Gandhi Park,# 24  hotel in  Vijayawada,7.6,(45 reviews),,Enter dates  to see price,,,,
25. Yarinn,700 m from Trendset Mall,# 25  hotel in  Vijayawada,7.7,(32 reviews),"Guests had a pleasant stay at the hotel, with easy location identification",(Read More),"and maintenance. Some mentioned the lack of vegetarian food but did not consider it a big issue. Improvement suggestions included adding a clothesline and increasing the size of the lift. Guests praised the exceptional service, cleanliness, elegantly designed rooms, and overall hospitality. Some mentioned the limited amenities access and lack of direct air circulation in the toilet but appreciated the minimalistic, pleasing decor.","₹2,699",onwards,Hotel with 4 room options
26. Hotel MN Stays,1.1 kms from Madhura Nagar Station,# 26  hotel in  Vijayawada,8.8,(25 reviews),,,,"₹1,550",onwards,Hotel with only 1 room option
27. Hotel Kosala Vijayawada,900 m from Vijayawada Station,# 27  hotel in  Vijayawada,7.5,(77 reviews),Hotel Kosala Vijayawada is praised for being an excellent choice for budge,(Read More),"t and secure solo travelers. One reviewer mentioned organizing a corporate event with assistance from the staff. The hotel is recommended for budget stays with good food options available. Staff, including Satish, were commended for going above and beyond their duties to assist guests.","₹2,301",onwards,Hotel with 3 room options
28. Hotel Aira,100 m from Trendset Mall,# 28  hotel in  Vijayawada,7.5,(212 reviews),,,,"₹9,387",onwards,
29. Collection O Surya Grand Governorpet Vijaywada,1.6 kms from Madhura Nagar Station,# 29  hotel in  Vijayawada,7.5,(220 reviews),,,,"₹1,622",onwards,
30. Super OYO AK Pride Ramavarapadu Extension,3.2 kms from IB Cricket,# 30  hotel in  Vijayawada,7.6,(32 reviews),,Enter dates  to see price,,,,
"31. Red Fox by Lemon Tree Hotels, Vijayawada",900 m from Vijayawada Station,# 31  hotel in  Vijayawada,7.3,(237 reviews),"Set in an ideal location, the Red Fox Hotel offers guests a pleasant and comfortable environment. Th",(Read More),"e property features spacious rooms with city views, a cutting-edge fitness center, a safety deposit box, free WiFi, and an on-site restaurant. The hotel is close to Vijayawada Station and popular tourist attractions Scrap Sculpture Park, Rajiv Gandhi Park, and Zoo Park, making it an ideal choice for business and leisure travelers visiting Vijayawada.","₹3,242",onwards,4 star hotel with 3 room options
32. Hotel SK Riverfront,400 m from Rajiv Gandhi Park,# 32  hotel in  Vijayawada,7.3,(196 reviews),,,,"₹3,000",onwards,Hotel with 3 room options
33. The Kay Hotel,2.5 kms from Madhura Nagar Station,# 33  hotel in  Vijayawada,7.3,(63 reviews),The Kay Hotel is a luxurious accommodation option that offers a perfect blend of modern amenities an,(Read More),"d traditional hospitality. Located in the heart of the city, the hotel boasts elegantly designed rooms, top-notch facilities, and personalized services that cater to the needs of both business and leisure travelers. With a range of dining options, state-of-the-art conference and banquet facilities, and a fitness center, The Kay Hotel promises a comfortable and memorable stay for its guests. Its convenient location also makes it an ideal base for exploring the city's attractions.","₹3,970",onwards,
34. TREEBO TREND DEV'S INN,3.2 kms from Nidamanuru Station,# 34  hotel in  Vijayawada,7.5,(30 reviews),,Enter dates  to see price,,,,
35. Itsy Hotels N Square,1000 m from Vijayawada Station,# 35  hotel in  Vijayawada,7.2,(321 reviews),"All of the major tourist destinations, including Gandhi Park, the Bapu Museum, and the Undavalli cav",(Read More),"erns, are nearby Itsy by Treebo - N Square. Pandit Nehru Bus Station and Vijayawada Junction Railway Station are the closest transit hubs. Additionally, there is a restaurant there. It is a 3-star contemporary building with a prime location in Vijayawada's Besant Road. This affordable apartment includes both contemporary facilities and plenty of comfortable furniture. Rajiv Gandhi Park (2.4 km), the Bapu Museum (700 m), and the Undavalli caverns are all conveniently placed nearby. (6.9 km).","₹4,766",onwards,Hotel with 3 room options
"36. PARK IRIS HOTELS, Bharathi Nagar",900 m from IB Cricket,# 36  hotel in  Vijayawada,7.2,(244 reviews),"Park Iris Hotels, Bharathi Nagar provides lodging with a shared lounge, free private parking, and a",(Read More),"restaurant in Vijayawada, 8.9 km from Vijayawada Station. This Bharathi Nagar hotel is located 11 kilometres from the Kanakadurga Temple, while Tenali Junction Railway Station is 37 km distant. Vijayawada Airport, which is 15 km from the hotel, is the closest airport. This three-star hotel provides airport shuttles, a front desk open around-the-clock, and tour desk services. Breakfast at the hotel is available as a buffet or à la carte.","₹3,299",onwards,Hotel with 2 room options
37. Super OYO Hotel O Src Grand,800 m from Vijayawada Station,# 37  hotel in  Vijayawada,7.2,(116 reviews),"Close to the Vijayawada Station, the Flagship 9352 Hotel SRC Grand offers cozy accommodations and a",(Read More),"free bike service for convenient transportation. In addition to being conveniently located, a delectable continental breakfast is provided each morning. The hotel has a communal lounge and is close to a number of well-known sights, including Mutylammapdu, Buckinghampet, and Payikpuram.","₹3,488",onwards,
38. Super Collection O KEYS ELITE,600 m from Madhura Nagar Station,# 38  hotel in  Vijayawada,7.2,(67 reviews),"Overall, the Super OYO Collection O Hotel Keys Elite is praised for its go",(Read More),"od rooms, friendly staff, and convenient location. However, some guests mentioned that there is no restaurant available and the distance from the hotel to the railway station or bus stand is far. The workers were described as rude by one guest, but another guest loved the service and found the staff to be courteous. The rooms are clean with a good ambiance.","₹4,774",onwards,
39. Hotel Manorama,600 m from Vijayawada Station,# 39  hotel in  Vijayawada,7.2,(223 reviews),Hotel Manorama is the best hotel in Vijayawada that provides a nice atmosphere to their guests. It o,(Read More),"ffers 70 large, technologically advanced rooms that guarantee a comfortable stay. It can be reached on foot in 5 minutes to get to the train station and 3 minutes to get to the bus stop. It is a prestigious location to enjoy a wonderful luxury stay. Together with opulent suites like Executive suite Rooms and Premium Deluxe Rooms, Hotel Manorama has a Small Bar and a Multi Cuisine Restaurant. This basic business hotel in a commercial area is 2 km from both the Gandhi Hill memorial and the riverside Kanaka Durga Temple and is a 15-minute stroll from the Vijayawada West train station.","₹3,178",onwards,
40. Super Capital O RR Towers by CJ,1.6 kms from Pvp Square Mall,# 40  hotel in  Vijayawada,7.2,(43 reviews),"Overall positive reviews for Super OYO Capital O RR Towers by CJ, praising",(Read More),the nice rooms and hospitality. Guests would recommend the hotel to friends due to their extraordinary stay.,"₹3,306",onwards,Hotel with only 1 room option
41. Super OYO Hotel O CJ Pride,1.8 kms from IB Cricket,# 41  hotel in  Vijayawada,7.1,(66 reviews),Featuring 3-star accommodation Hotel Itsy By Treebo - CJ Pride offers comfortable stay with a range,(Read More),"of amenities.The hotel features spacious, well-furnished rooms with city views, a common seating area, and an on-site restaurant. Located at a short drive from the Vijayawada Airport the hotel is a great choice for business and leisure travellers.","₹3,135",onwards,4 star hotel with 2 room options
42. Hotel Sun square,500 m from Vijayawada Station,# 42  hotel in  Vijayawada,7.5,(28 reviews),,,,"₹3,850",onwards,
43. V Hotel,1.9 kms from IB Cricket,# 43  hotel in  Vijayawada,7.0,(75 reviews),The Super OYO Capital O V Hotel near NTR health University offers high val,(Read More),"ue for money with a single room for two persons costing around 1400. The service and maintenance of the hotel are excellent. It is conveniently located near a medical store and other hotels, making it easily accessible. Overall, it is a wonderful hotel with all the necessary facilities.","₹1,822",onwards,
44. Super OYO Capital O Sri Capital Residency,500 m from Vijayawada Station,# 44  hotel in  Vijayawada,7.0,(38 reviews),OYO 9053 Capital Residence is a great option for tourists visiting Vijayawada since it provides a fa,(Read More),"mily-friendly setting combined with many practical features meant to make your stay more enjoyable. Some of Vijayawada's notable attractions are Gunadala Matha Shrine and Hazarat Bal Mosque, both of which are within 1.3 kilometers of OYO 9053 Capital Residence. OYO 9053 Capital residence is ideally positioned next to TFL and Ironhill Brewery if you enjoy Italian eateries. Want to discover? Then go no further than some of the well-known Vijayawada sites that are conveniently close to the hotel, like Kanaka Durga Temple, Undavalli Caves, and Prakasam Barrage.","₹1,028",onwards,
"45. PARK IRIS HOTELS, MG Road",900 m from Vijayawada Station,# 45  hotel in  Vijayawada,6.9,(358 reviews),"The Park Iris Hotels, MG Road in Vijayawada, which offers 3-star lodging, is situated 5.3 kilometres",(Read More),"from the Kanakadurga Temple and 34 km from Tenali Junction Railway Station. This 3-star hotel has free WiFi, a common area, and room service. The front desk is staffed around-the-clock with assistance in English, Hindi, and Telugu. Vijayawada Airport, which is 19 km from the hotel, is the closest airport. Breakfast is available as a continental or vegetarian option at the lodging.","₹2,422",onwards,Hotel with 3 room options
46. Itsy Hotels G Square,1.7 kms from IB Cricket,# 46  hotel in  Vijayawada,6.9,(211 reviews),Treebo Trip G Square is a modern hotel located in the heart of Vijayawada. The hotel boasts 38 well-,(Read More),"appointed rooms with modern amenities. The on-site restaurant serves a variety of delicious dishes. Its central location makes it convenient for business and leisure travelers alike, with major attractions like Kanaka Durga Temple and Prakasam Barrage nearby.","₹5,526",onwards,Hotel with 3 room options
47. Treebo Alankar Inn,800 m from Vijayawada Station,# 47  hotel in  Vijayawada,6.9,(71 reviews),The rooms at Treebo Trend Alankar Inn are described as old but nice with a,(Read More),"good ambience. However, some guests mention that the breakfast is not good. There are also complaints about limited staff and slow service in the restaurant, with the food not being tasty. On the positive side, the hotel has good rooms and offers good services. One reviewer plans to stay at the hotel again in the future.","₹6,016",onwards,Hotel with 3 room options
48. Hotel Vdara,400 m from Minerva Grand Vijayawada,# 48  hotel in  Vijayawada,6.9,(55 reviews),"Five kilometres from Vijayawada Junction train station, Hotel Vdara is a peaceful hotel tucked away",(Read More),"in a busy retail and dining sector. Being a working parent while travelling can be challenging, but fortunately, the hotel's babysitting service will be helpful for you and your partner. Discover the Moghalrajpuram rock-cut caverns, which are only an 8-minute walk from the hotel. Additionally, you can enter the Sri Durga Malleswara Swamy Varla Temple to for a darshan.","₹4,350",onwards,Hotel with 3 room options
49. Hotel O Sr Residency,1.4 kms from Vijayawada Station,# 49  hotel in  Vijayawada,6.9,(49 reviews),"Based in the cultural city of Vijayawada, Flagship Hotel Sr Residency offers a memorable stay with i",(Read More),"ts luxurious rooms and prime amenities. The hotel offers mesmerizing views with spacious, elegant rooms, comfortable furniture, and modern interiors. The in-house restaurant is known for its lip-smacking continental breakfast. Popular points of interest near the accommodation Scrap Sculpture Park, G. V. S Sastri Park, Benz Circle, and K.L.Rao Park. Budget-friendly guests will find the hotel to be a value-for-money hotel with all the amenities they need.","₹3,145",onwards,
50. Super OYO Capital O Pratibha Grand,600 m from Vijayawada Station,# 50  hotel in  Vijayawada,6.9,(49 reviews),,,,"₹1,631",onwards,
