qBF1Pd,MW4etd,UY7F9,AJB7ye,AJB7ye 2,W4Efsd,W4Efsd 2,W4Efsd 3,W4Efsd 4,W4Efsd 5,ah5Ghc,M4A5Cf,ah5Ghc 2,M4A5Cf 2,ah5Ghc 3,J8zHNe,bbPy1
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Brew House,4.2,"-1,117",·,₹200–400,Cafe,·,100 Ft Ring Rd,Open,· Closes 11 pm,Dine-in,·,Takeaway,·,No-contact delivery,Order online,
THE ONE cafe and kitchen,4.6,-54,·,"₹200–1,000",Coffee shop,·,"Ground Floor, Fortcity Central, opp. Railway Station Road",Opens soon,· 11 am,Dine-in,·,Takeaway,·,No-contact delivery,,
Kōra cafe,3.9,-52,·,₹200–400,Cafe,·,"1st floor, 100 Ft Ring Rd, beside lee paradise conventions",Closed,· Opens 11 am Tue,Dine-in,·,Kerbside pickup,·,No-contact delivery,,
O'CO cafe,4.3,-60,·,"₹400–1,200",Cafe,·,"100 Ft Ring Rd, beside Biriyanis and More",Opens soon,· 11 am,Dine-in,·,Drive-through,·,No-contact delivery,,
Cafooze Vizianagram,4.4,-373,·,"₹200–1,000",Cafe,·,Y Junction,Opens soon,· 11 am,Dine-in,·,Drive-through,·,No-contact delivery,Order online,
Stories By baby cafe,4.9,-32,·,₹200–400,Cafe,·,Dharmapuri Rd,Open,· Closes 10 pm,Dine-in,·,Kerbside pickup,·,No-contact delivery,,
TEA MOMENTS,4.8,-128,·,₹1–200,Cafe,·,"Ring Road Junction, beside HP petrol bunk",Open,· Closes 10:30 pm,Dine-in,·,Drive-through,·,No-contact delivery,Order online,
Coffee Club,4.5,-56,·,₹1–200,Coffee shop,·,"18-30, Ice Factory Junction, Plot 5, D/No: 20",Open,· Closes 10:30 pm,Dine-in,·,Takeaway,·,Delivery,,
Coffee Club,4.7,-162,·,₹1–200,Coffee shop,·,"Shop #7, Muncipal Complex, Beside Clock Tower, next to Muncipal Corporation Office",Open,· Closes 9 pm,Dine-in,·,Takeaway,·,Delivery,Order online,
Time pass cafe,4.2,-82,·,₹200–400,Cafe,·,Thota Palem Rd,Open,· Closes 10 pm,Dine-in,·,Takeaway,·,Delivery,,
Kesari Bhavan - Coffee Street,4.0,-63,·,₹₹,Coffee shop,·,"4C76+2CP, Kota Junction, Gurajada Appa Rao Rd, Near SBI Atm",Open,· Closes 1 pm · Reopens 4 pm,Dine-in,·,Takeaway,,,,
Platform 65 - The Train Restaurant - Vizianagaram,4.8,"-6,074",·,"₹400–1,400",Chinese,·,·,Closed,· Opens 11:30 am,Dine-in,·,Drive-through,·,No-contact delivery,Order online,
FFC Family Friends Cafe,4.4,-25,·,₹1–400,Cafe,·,"4C6C+5C8, Ring Road, beside Rythu Bazar",Open,· Closes 11 pm,Dine-in,·,Takeaway,·,Delivery,Order online,
The Northern Circars - Vizianagaram,4.6,"-2,058",·,"₹400–1,400",Restaurant,·,·,Opens soon,· 11 am,Dine-in,·,Drive-through,·,No-contact delivery,Order online,
HAYAT MULTICUISINE RESTAURANT,4.3,-263,·,₹200–400,Restaurant,·,Ring Road,Opens soon,· 11 am,Dine-in,·,Takeaway,·,No-contact delivery,Order online,
