title,totalScore,reviewsCount,street,city,state,countryCode,website,phone,categories/0,categories/1,categories/2,url,categoryName,description,timings,entryFee,latitude,longitude,sourceUrl,searchKeywords,museumType,includedNote
VMRDA INS Kursura Submarine Museum,4.6,53855.0,"P88J+V2W, RK Beach Rd",Visakhapatnam,Andhra Pradesh,IN,http://vmrda.gov.in/kursura.aspx,Not Available,Maritime museum,Museum,Tourist attraction,https://www.google.com/maps/search/?api=1&query=VMRDA%20INS%20Kursura%20Submarine%20Museum&query_place_id=ChIJ63BMv2ZDOToR8gld_7GYQ5U,Maritime museum,"Museum inside the decommissioned INS Kursura submarine, showing submariner life, naval history, artefacts, photographs, and documents.",Generally 9:00 AM-8:00 PM; verify before visit,Not Available,Not Available,Not Available,https://www.incredibleindia.gov.in/en/andhra-pradesh/visakhapatnam/kursura-submarine-museum,"submarine museum, ins kursura, kursura submarine museum, VMRDA submarine museum, naval museum, rk beach, beach road, visakhapatnam submarine",Defence / Maritime museum,Included/updated as requested; original dataset row with complete details
TU 142 Aircraft Museum,4.6,5613.0,"P89H+5WX, Beach Rd, opp. Kursura Submarine museum",Visakhapatnam,Andhra Pradesh,IN,https://www.incredibleindia.gov.in/en/andhra-pradesh/visakhapatnam/aircraft-museum,Not Available,Maritime museum,Defence museum,Tourist attraction,https://www.google.com/maps/search/?api=1&query=TU%20142%20Aircraft%20Museum&query_place_id=ChIJFbqjCUdDOToRgpGGQ3knjVw,Maritime museum,Naval aircraft museum featuring the Soviet-era TU-142M aircraft used by the Indian Navy for 29 years.,Mon-Sat 2:00 PM-8:30 PM; Sun 10:00 AM-12:00 PM and 2:00 PM-8:30 PM,Adults ₹70; Children ₹40 (reported by Vizag Tourism),Not Available,Not Available,https://www.incredibleindia.gov.in/en/andhra-pradesh/visakhapatnam/aircraft-museum,"tu 142 aircraft museum, naval aircraft museum, aircraft museum vizag, beach road",Defence / Aviation museum,Original dataset row; completed missing fields
VMRDA Visakha Aircraft Museum,4.6,483.0,"P89J+54H Submarine Museum, Beach Rd, Opp. Kusura",Visakhapatnam,Andhra Pradesh,IN,https://www.incredibleindia.gov.in/en/andhra-pradesh/visakhapatnam/aircraft-museum,Not Available,Museum,Tourist attraction,Naval aviation museum,https://www.google.com/maps/search/?api=1&query=VMRDA%20Visakha%20Aircraft%20Museum&query_place_id=ChIJl0td2mZDOToRqmu8dtlgago,Museum,Museum on Beach Road featuring the decommissioned Indian Navy TU-142M aircraft and aviation/naval exhibits.,Mon-Sat 2:00 PM-8:30 PM; Sun 10:00 AM-12:00 PM and 2:00 PM-8:30 PM,Adults ₹70; Children ₹40 (reported by Vizag Tourism),Not Available,Not Available,https://www.incredibleindia.gov.in/en/andhra-pradesh/visakhapatnam/aircraft-museum,"aircraft museum, tu 142, aeroplane museum, naval aircraft, beach road, rk beach",Defence / Aviation museum,Original dataset row; completed missing fields
Sea Harrier Museum,4.6,412.0,"P88H+V9R, Beach Rd",Visakhapatnam,Andhra Pradesh,IN,Not Available,Not Available,Museum,Tourist attraction,Naval aviation museum,https://www.google.com/maps/search/?api=1&query=Sea%20Harrier%20Museum&query_place_id=ChIJp0D6eutDOToReAWPYVgaARU,Museum,Museum on Beach Road dedicated to the Sea Harrier naval fighter aircraft.,Not Available,Not Available,Not Available,Not Available,https://timesofindia.indiatimes.com/city/vijayawada/naval-delegates-to-visit-vizag-attractions-during-fleet-review/articleshow/128355710.cms,"sea harrier museum, fighter aircraft museum, naval aviation, beach road",Defence / Aviation museum,Original dataset row; completed missing fields
UH-3H Helicopter Museum,4.5,68.0,"Helicopter Museum, Beach Rd",Visakhapatnam,Andhra Pradesh,IN,Not Available,Not Available,Museum,Tourist attraction,Naval aviation museum,https://www.google.com/maps/search/?api=1&query=UH-3H%20Helicopter%20Museum&query_place_id=ChIJh85ZHQBDOToRlRkSYbg6-fE,Museum,Beach Road museum displaying the retired Indian Navy UH-3H/Saaras helicopter.,Not Available,Not Available,Not Available,Not Available,https://timesofindia.indiatimes.com/city/vijayawada/a-warrior-preserved-helicopter-museum-opens-in-vizag/articleshow/123371559.cms,"helicopter museum, uh-3h, saaras helicopter, sea king, beach road, navy museum",Defence / Aviation museum,Original dataset row; completed missing fields
Visakha Museum,4.4,,"505, Beach Rd, Opposite Palm Beach Hotel, Dutch Layout, Kirlampudi Layout",Visakhapatnam,Andhra Pradesh,IN,https://www.incredibleindia.gov.in/en/andhra-pradesh/visakhapatnam/visakha-museum,Not Available,Museum,History museum,Tourist attraction,https://www.google.com/maps/search/?api=1&query=Visakha%20Museum%20Visakhapatnam,Museum,"City history and culture museum in an old Dutch bungalow; displays artefacts, manuscripts, sculptures, coins, pottery, art, and regional heritage collections.",Not Available,Not Available,Not Available,Not Available,https://www.incredibleindia.gov.in/en/andhra-pradesh/visakhapatnam/visakha-museum,"visakha museum, visakhapatnam municipal corporation museum, history museum, archaeology museum, beach road",History / Culture museum,Added missing museum
"Archaeology Museum / Archaeology Section, Visakha Museum",,,"Inside/part of Visakha Museum, Beach Road",Visakhapatnam,Andhra Pradesh,IN,https://www.incredibleindia.gov.in/en/andhra-pradesh/visakhapatnam/archaeology-museum,Not Available,Museum,Archaeology museum,History museum,https://www.google.com/maps/search/?api=1&query=Archaeology%20Museum%20Visakhapatnam,Archaeology museum,"Archaeology-focused museum/section associated with Visakha Museum, covering prehistoric, historic, and modern artefacts.",Not Available,Not Available,Not Available,Not Available,https://www.incredibleindia.gov.in/en/andhra-pradesh/visakhapatnam/archaeology-museum,"archaeology museum, archaeological museum, visakha museum section, history artefacts",Archaeology / History museum,Added because users may search Archaeology Museum separately; it is described as part of Visakha Museum
Telugu Samskruthika Niketanam,4.2,,"Hill Top Road, Kailasagiri",Visakhapatnam,Andhra Pradesh,IN,https://www.incredibleindia.gov.in/en/andhra-pradesh/visakhapatnam/telugu-samskruthika-niketanam,Not Available,Museum,Cultural museum,Tourist attraction,https://www.google.com/maps/search/?api=1&query=Telugu%20Samskruthika%20Niketanam%20Visakhapatnam,Museum,"Cultural museum at Kailasagiri tracing Telugu heritage from the Satavahana period to modern times through sculptures, portraits, and inscriptions.",Not Available,Not Available,Not Available,Not Available,https://www.incredibleindia.gov.in/en/andhra-pradesh/visakhapatnam/telugu-samskruthika-niketanam,"telugu samskruthika niketanam, telugu cultural museum, kailasagiri museum, telugu heritage",Cultural museum,Added missing museum
Andhra University Botany Museum,,,"Department of Botany, Andhra University, Waltair Junction",Visakhapatnam,Andhra Pradesh,IN,https://www.andhrauniversity.edu.in/college/college-of-science-and-technology/science-departments/botany.html,0891-2844545 / 0891-2844546,Museum,Science museum,University museum,https://www.google.com/maps/search/?api=1&query=Andhra%20University%20Botany%20Museum%20Visakhapatnam,Science museum,University botany museum established in 1946 with botanical and fossil specimens including rare plant fossils and scientific collections.,Not Available,Not Available,Not Available,Not Available,https://education.economictimes.indiatimes.com/news/higher-education/andhra-university-botany-museum-joins-national-science-hall-of-fame/123168673,"andhra university botany museum, botany museum, science museum, plant fossils, botanical specimens, au museum",Science / University museum,Added missing museum
Eastern Art Museum,4.3,,"10-1-9/1, Sampath Vinayaka Temple Road, Waltair Uplands / Asilmetta",Visakhapatnam,Andhra Pradesh,IN,https://www.easternartmuseum.com/,Not Available,Art gallery,Museum-style art and craft store,Handicrafts,https://www.google.com/maps/search/?api=1&query=Eastern%20Art%20Museum%20Visakhapatnam,Art gallery,"Museum-style local art, craft, handicraft, home decor, and personal decor space in Visakhapatnam.",Not Available,Not Available,Not Available,Not Available,https://www.easternartmuseum.com/,"eastern art museum, art museum, art gallery, handicrafts, waltair uplands, asilmetta",Art / Handicrafts museum-style gallery,Added as museum-style art/gallery listing; verify if you want only government/public museums
