name,aliases,rating,street,city,state,country,categories,google_maps_url,image_url
Ramakrishna Beach,RK Beach,4.5,Beach Road,Visakhapatnam,Andhra Pradesh,India,"Tourist Beach, Family Beach, Urban Beach",https://maps.google.com/?q=Ramakrishna+Beach+Visakhapatnam,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQNPW-tQ0gan6CdvMCurPqPG9SQ0rzaAxqW0zh0jEVg76qSvE_z-ogGpo9_Pse3
Rushikonda Beach,Rushikonda,4.5,Rushikonda Road,Visakhapatnam,Andhra Pradesh,India,"Tourist Beach, Water Sports Beach",https://maps.google.com/?q=Rushikonda+Beach+Visakhapatnam,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSNlu32gUYQkvp5nU4YOHYHl3YT8vMnmTQ7ylWbH3DADiYNsf5z0dhcptETdeBy
Yarada Beach,,4.6,Yarada Village,Visakhapatnam,Andhra Pradesh,India,"Scenic Beach, Tourist Beach",https://maps.google.com/?q=Yarada+Beach+Visakhapatnam,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSZJm3dq05V7TB1sF0iiBnJbBFlWBXiqfPw5LrsWfBg3o64TszuwXH_wrFI50Cz
Bheemunipatnam Beach,Bheemili Beach,4.4,Bheemunipatnam,Visakhapatnam,Andhra Pradesh,India,"Historic Beach, Tourist Beach",https://maps.google.com/?q=Bheemunipatnam+Beach,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRwjHecTQUv46droegGM4VjwC8v-ayOPcNXp0XHQySprYHXtP6kmM30w0GNSRME
Lawson's Bay Beach,Lawsons Bay,4.4,Pedda Waltair,Visakhapatnam,Andhra Pradesh,India,"Calm Beach, Local Beach",https://maps.google.com/?q=Lawsons+Bay+Beach+Visakhapatnam,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRPIwHAXdzUSU6_cl2996LqpsvsdBWUq4kp0hgP_eEOnEKLpJg1FtjXYFySN0-1
Sagar Nagar Beach,,4.3,Sagar Nagar,Visakhapatnam,Andhra Pradesh,India,"Scenic Beach, Local Beach",https://maps.google.com/?q=Sagar+Nagar+Beach+Visakhapatnam,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTIxWeVMzdloBgNHcNgoXIzntJVkkT7BgqOVymf9e9ZcYivYJXVc3ScLnoJIzBz
Gangavaram Beach,,4.4,Gangavaram,Visakhapatnam,Andhra Pradesh,India,"Scenic Beach, Photography Spot",https://maps.google.com/?q=Gangavaram+Beach+Visakhapatnam,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSgztb6gv2oW6hrfiPuvdQaQhk-0ikC4Aa-TorLYvfII7tQbp71zCAoF5olnIbI
Appikonda Beach,,4.3,Appikonda,Visakhapatnam,Andhra Pradesh,India,"Village Beach, Temple Beach",https://maps.google.com/?q=Appikonda+Beach,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRmoJVaFauUWvJspmMZPTcKwah0xY5LWSfSLjVchG3-TXPB6-a6eHtkakpT8CpT
Mangamaripeta Beach,,4.2,Mangamaripeta,Visakhapatnam,Andhra Pradesh,India,"Local Beach, Coastal Area",https://maps.google.com/?q=Mangamaripeta+Beach,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTpkwSLpIiRK1Q5ZzAnvJKCExwiOeS0WTC3DLI1F2VM92vXE35JlE1dTFDPU4WP
Jodugullapalem Beach,,4.4,Jodugullapalem,Visakhapatnam,Andhra Pradesh,India,"Photography Beach, Local Beach",https://maps.google.com/?q=Jodugullapalem+Beach,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSQBuUCbo9Sdz2Ua1Rx9XuAQmDfCvPvZj9L3o7RC3USkNBRWw933lFQn_qvDjlg
Mutyalammapalem Beach,,4.2,Mutyalammapalem,Visakhapatnam,Andhra Pradesh,India,"Fishing Beach, Coastal Village",https://maps.google.com/?q=Mutyalammapalem+Beach,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTAPy-8ZbHc3P4p8Dtf15PsD3BAysUOoCSp9OG-7FNliP01CqI6m20E6HgxDM28
Pudimadaka Beach,,4.3,Pudimadaka,Anakapalle,Andhra Pradesh,India,"Fishing Beach, Coastal Village",https://maps.google.com/?q=Pudimadaka+Beach,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTzrR0l_leKP3L09jOFd-ce8T9rwVbjYqGjhYwrr3IWwlE23CpDyCM0G1gNcopQ
Divis Beach,Divis Coastal Area,4.1,Near Divis Laboratories,Visakhapatnam,Andhra Pradesh,India,"Industrial Coastal Beach, Local Beach",https://maps.google.com/?q=Divis+Beach+Visakhapatnam,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQABRy5azDRV_drCrq-L0cKPgvprwaQrvIu61g6WJscNPOwpJfcFcelVRp1NUJe
Kapuluppada Beach,,4.3,Kapuluppada,Visakhapatnam,Andhra Pradesh,India,"Hidden Beach, Scenic Beach",https://maps.google.com/?q=Kapuluppada+Beach,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQpcyumWqMFndsusS5CqvSU5UR_aTyo7BPUCUF7Tif9bielELKaAlER9cioUSfk
