S.No,From (Locality),Zone,Locality Distance from City Centre (km),To (Beach),Beach Alias,Approx Distance (km),Rapido Bike – Base Fare (₹),Rapido Bike – Per km (₹),Rapido Bike – Day Fare (₹),Rapido Bike – Night Fare (₹),Rapido Bike – Est. Travel Time,Rapido Auto – Base Fare (₹),Rapido Auto – Per km (₹),Rapido Auto – Day Fare (₹),Rapido Auto – Night Fare (₹),Rapido Auto – Est. Travel Time,Rapido Cab – Base Fare (₹),Rapido Cab – Per km (₹),Rapido Cab – Day Fare (₹),Rapido Cab – Night Fare (₹),Rapido Cab – Est. Travel Time,Cheapest Option,Day Fare Summary (Bike/Auto/Cab),Rapido App,From Locality Latitude,From Locality Longitude,Beach Latitude,Beach Longitude,Beach Distance from City (km)
1,Kommadi,North,18,Ramakrishna Beach,RK Beach,22.1,20,3,86,129,1h 17min,25,12,290,362,1h 28min,50,14,359,449,1h 6min,Rapido Bike,₹86 / ₹290 / ₹359,https://rapido.bike,17.793,83.39,17.7231,83.3378,3
2,Kommadi,North,18,Rushikonda Beach,Rushikonda,7.8,20,3,43,64,27 min,25,12,119,149,31 min,50,14,159,199,23 min,Rapido Bike,₹43 / ₹119 / ₹159,https://rapido.bike,17.793,83.39,17.784,83.3784,12
3,Kommadi,North,18,Yarada Beach,,2.6,20,3,28,42,9 min,25,12,56,70,10 min,50,14,86,108,8 min,Rapido Bike,₹28 / ₹56 / ₹86,https://rapido.bike,17.793,83.39,17.6618,83.2776,14
4,Kommadi,North,18,Bheemunipatnam Beach,Bheemili Beach,10.4,20,3,51,76,36 min,25,12,150,188,42 min,50,14,196,245,31 min,Rapido Bike,₹51 / ₹150 / ₹196,https://rapido.bike,17.793,83.39,17.8899,83.4547,24
5,Kommadi,North,18,Lawson's Bay Beach,Lawsons Bay,18.2,20,3,75,112,1h 4min,25,12,243,304,1h 13min,50,14,305,381,55 min,Rapido Bike,₹75 / ₹243 / ₹305,https://rapido.bike,17.793,83.39,17.7393,83.3522,5
6,Kommadi,North,18,Sagar Nagar Beach,,13,20,3,59,88,46 min,25,12,181,226,52 min,50,14,232,290,39 min,Rapido Bike,₹59 / ₹181 / ₹232,https://rapido.bike,17.793,83.39,17.7555,83.3637,7
7,Kommadi,North,18,Gangavaram Beach,,7.8,20,3,43,64,27 min,25,12,119,149,31 min,50,14,159,199,23 min,Rapido Bike,₹43 / ₹119 / ₹159,https://rapido.bike,17.793,83.39,17.6367,83.2267,16
8,Kommadi,North,18,Appikonda Beach,,13,20,3,59,88,46 min,25,12,181,226,52 min,50,14,232,290,39 min,Rapido Bike,₹59 / ₹181 / ₹232,https://rapido.bike,17.793,83.39,17.9052,83.4694,27
9,Kommadi,North,18,Mangamaripeta Beach,,3.9,20,3,32,48,14 min,25,12,72,90,16 min,50,14,105,131,12 min,Rapido Bike,₹32 / ₹72 / ₹105,https://rapido.bike,17.793,83.39,17.8261,83.4112,17
10,Kommadi,North,18,Jodugullapalem Beach,,2,20,3,26,39,8 min,25,12,49,61,10 min,50,14,78,98,8 min,Rapido Bike,₹26 / ₹49 / ₹78,https://rapido.bike,17.793,83.39,17.856,83.434,20
11,Kommadi,North,18,Mutyalammapalem Beach,,16.9,20,3,71,106,59 min,25,12,228,285,1h 8min,50,14,287,359,51 min,Rapido Bike,₹71 / ₹228 / ₹287,https://rapido.bike,17.793,83.39,17.692,83.272,10
12,Kommadi,North,18,Pudimadaka Beach,,48.1,20,3,164,246,2h 48min,25,12,602,752,3h 12min,50,14,723,904,2h 24min,Rapido Bike,₹164 / ₹602 / ₹723,https://rapido.bike,17.793,83.39,17.923,83.478,32
13,Kommadi,North,18,Divis Beach,Divis Coastal Area,2.6,20,3,28,42,9 min,25,12,56,70,10 min,50,14,86,108,8 min,Rapido Bike,₹28 / ₹56 / ₹86,https://rapido.bike,17.793,83.39,17.869,83.448,22
14,Kommadi,North,18,Kapuluppada Beach,,5.2,20,3,36,54,18 min,25,12,87,109,21 min,50,14,123,154,16 min,Rapido Bike,₹36 / ₹87 / ₹123,https://rapido.bike,17.793,83.39,17.861,83.441,21
15,Madhurawada,North,16,Ramakrishna Beach,RK Beach,19.5,20,3,78,117,1h 8min,25,12,259,324,1h 18min,50,14,323,404,58 min,Rapido Bike,₹78 / ₹259 / ₹323,https://rapido.bike,17.778,83.362,17.7231,83.3378,3
16,Madhurawada,North,16,Rushikonda Beach,Rushikonda,5.2,20,3,36,54,18 min,25,12,87,109,21 min,50,14,123,154,16 min,Rapido Bike,₹36 / ₹87 / ₹123,https://rapido.bike,17.778,83.362,17.784,83.3784,12
17,Madhurawada,North,16,Yarada Beach,,2,20,3,26,39,8 min,25,12,49,61,10 min,50,14,78,98,8 min,Rapido Bike,₹26 / ₹49 / ₹78,https://rapido.bike,17.778,83.362,17.6618,83.2776,14
18,Madhurawada,North,16,Bheemunipatnam Beach,Bheemili Beach,13,20,3,59,88,46 min,25,12,181,226,52 min,50,14,232,290,39 min,Rapido Bike,₹59 / ₹181 / ₹232,https://rapido.bike,17.778,83.362,17.8899,83.4547,24
19,Madhurawada,North,16,Lawson's Bay Beach,Lawsons Bay,15.6,20,3,67,100,55 min,25,12,212,265,1h 2min,50,14,268,335,47 min,Rapido Bike,₹67 / ₹212 / ₹268,https://rapido.bike,17.778,83.362,17.7393,83.3522,5
20,Madhurawada,North,16,Sagar Nagar Beach,,10.4,20,3,51,76,36 min,25,12,150,188,42 min,50,14,196,245,31 min,Rapido Bike,₹51 / ₹150 / ₹196,https://rapido.bike,17.778,83.362,17.7555,83.3637,7
21,Madhurawada,North,16,Gangavaram Beach,,5.2,20,3,36,54,18 min,25,12,87,109,21 min,50,14,123,154,16 min,Rapido Bike,₹36 / ₹87 / ₹123,https://rapido.bike,17.778,83.362,17.6367,83.2267,16
22,Madhurawada,North,16,Appikonda Beach,,15.6,20,3,67,100,55 min,25,12,212,265,1h 2min,50,14,268,335,47 min,Rapido Bike,₹67 / ₹212 / ₹268,https://rapido.bike,17.778,83.362,17.9052,83.4694,27
23,Madhurawada,North,16,Mangamaripeta Beach,,2,20,3,26,39,8 min,25,12,49,61,10 min,50,14,78,98,8 min,Rapido Bike,₹26 / ₹49 / ₹78,https://rapido.bike,17.778,83.362,17.8261,83.4112,17
24,Madhurawada,North,16,Jodugullapalem Beach,,2.6,20,3,28,42,9 min,25,12,56,70,10 min,50,14,86,108,8 min,Rapido Bike,₹28 / ₹56 / ₹86,https://rapido.bike,17.778,83.362,17.856,83.434,20
25,Madhurawada,North,16,Mutyalammapalem Beach,,14.3,20,3,63,94,50 min,25,12,197,246,57 min,50,14,250,312,43 min,Rapido Bike,₹63 / ₹197 / ₹250,https://rapido.bike,17.778,83.362,17.692,83.272,10
26,Madhurawada,North,16,Pudimadaka Beach,,50.7,20,3,172,258,2h 57min,25,12,633,791,3h 23min,50,14,760,950,2h 32min,Rapido Bike,₹172 / ₹633 / ₹760,https://rapido.bike,17.778,83.362,17.923,83.478,32
27,Madhurawada,North,16,Divis Beach,Divis Coastal Area,5.2,20,3,36,54,18 min,25,12,87,109,21 min,50,14,123,154,16 min,Rapido Bike,₹36 / ₹87 / ₹123,https://rapido.bike,17.778,83.362,17.869,83.448,22
