route_id,source_area,cafe_name,cafe_area,nearest_bus_stop,bus_number,bus_type,major_stops,distance_km,estimated_duration,ticket_price,first_bus,last_bus,frequency_minutes,walking_distance_from_stop_km,tourist_friendly,description
RTE00001,Gajuwaka,Araku Valley Coffee,RTC Complex,RTC Complex Bus Stop,28V/28G/28C/400,City Ordinary/Express,"Gajuwaka Jn, Steel Plant Gate, NAD Jn, Gopalapatnam, RTC Complex",18,45-55 mins,â‚¹25,5:00 AM,10:30 PM,10,0.4,Yes,"APSRTC city express from Gajuwaka via Steel Plant, NAD Junction to city center. Frequent service."
RTE00002,Kommadi,Araku Valley Coffee,RTC Complex,RTC Complex Bus Stop,99/99E/217/300,City Ordinary/Express,"Kommadi, Rushikonda/Madhurawada, Beach Road, Lawson's Bay, Siripuram, Jagadamba, RTC Complex",20,50-60 mins,â‚¹25,5:30 AM,10:00 PM,20,0.4,Yes,APSRTC city bus from northern coastal suburbs via Beach Road to city center.
RTE00003,Madhurawada,Araku Valley Coffee,RTC Complex,RTC Complex Bus Stop,99/99E/217/300,City Ordinary/Express,"Rushikonda/Madhurawada, Beach Road, Lawson's Bay, Siripuram, Jagadamba, RTC Complex",20,50-60 mins,â‚¹25,5:30 AM,10:00 PM,20,0.4,Yes,APSRTC city bus from northern coastal suburbs via Beach Road to city center.
RTE00004,PM Palem,Araku Valley Coffee,RTC Complex,RTC Complex Bus Stop,52/52V/52C/500,City Ordinary,"PM Palem/NAD Jn, Gopalapatnam, Old Town, RTC Complex, Jagadamba",16,40-50 mins,â‚¹20,5:00 AM,10:30 PM,15,0.4,Yes,APSRTC city bus from PM Palem/NAD area through Old Town to city center.
RTE00005,MVP Colony,Araku Valley Coffee,RTC Complex,RTC Complex Bus Stop,300/300D/52D/400,City Ordinary,"Dwaraka Nagar/MVP Colony, Siripuram, Jagadamba, RTC Complex",6,18-25 mins,â‚¹12,5:00 AM,11:00 PM,10,0.3,Yes,Frequent APSRTC city bus from Dwaraka Nagar/MVP Colony area to city center.
RTE00006,Siripuram,Araku Valley Coffee,RTC Complex,RTC Complex Bus Stop,300/300C/301/28,City Ordinary,"RTC Complex, Jagadamba, Siripuram, Asilmetta",4,15-20 mins,â‚¹12,5:00 AM,11:00 PM,10,0.3,Yes,Frequent city bus within central Vizag area. Easy connectivity between major junctions.
RTE00007,Dwaraka Nagar,Araku Valley Coffee,RTC Complex,RTC Complex Bus Stop,300/300D/52D/400,City Ordinary,"Dwaraka Nagar/MVP Colony, Siripuram, Jagadamba, RTC Complex",6,18-25 mins,â‚¹12,5:00 AM,11:00 PM,10,0.3,Yes,Frequent APSRTC city bus from Dwaraka Nagar/MVP Colony area to city center.
RTE00008,Maddilapalem,Araku Valley Coffee,RTC Complex,RTC Complex Bus Stop,300/300D/52D/400,City Ordinary,"Maddilapalem, Dwaraka Nagar/MVP Colony, Siripuram, Jagadamba, RTC Complex",6,18-25 mins,â‚¹12,5:00 AM,11:00 PM,10,0.3,Yes,Frequent APSRTC city bus from Dwaraka Nagar/MVP Colony area to city center.
RTE00009,NAD Junction,Araku Valley Coffee,RTC Complex,RTC Complex Bus Stop,52/52V/52C/500,City Ordinary,"NAD Junction, PM Palem/NAD Jn, Gopalapatnam, Old Town, RTC Complex, Jagadamba",16,40-50 mins,â‚¹20,5:00 AM,10:30 PM,15,0.4,Yes,APSRTC city bus from PM Palem/NAD area through Old Town to city center.
RTE00010,Seethammadhara,Araku Valley Coffee,RTC Complex,RTC Complex Bus Stop,300/300D/52D/400,City Ordinary,"Seethammadhara, Dwaraka Nagar/MVP Colony, Siripuram, Jagadamba, RTC Complex",6,18-25 mins,â‚¹12,5:00 AM,11:00 PM,10,0.3,Yes,Frequent APSRTC city bus from Dwaraka Nagar/MVP Colony area to city center.
RTE00011,Jagadamba,Araku Valley Coffee,RTC Complex,RTC Complex Bus Stop,300/300C/301/28,City Ordinary,"RTC Complex, Jagadamba, Siripuram, Asilmetta",4,15-20 mins,â‚¹12,5:00 AM,11:00 PM,10,0.3,Yes,Frequent city bus within central Vizag area. Easy connectivity between major junctions.
RTE00012,Asilmetta,Araku Valley Coffee,RTC Complex,RTC Complex Bus Stop,300/300C/301/28,City Ordinary,"RTC Complex, Jagadamba, Siripuram, Asilmetta",4,15-20 mins,â‚¹12,5:00 AM,11:00 PM,10,0.3,Yes,Frequent city bus within central Vizag area. Easy connectivity between major junctions.
RTE00013,Railway Station,Araku Valley Coffee,RTC Complex,RTC Complex Bus Stop,300/300C/301/28,City Ordinary,"Railway Station, RTC Complex, Jagadamba, Siripuram, Asilmetta",4,15-20 mins,â‚¹12,5:00 AM,11:00 PM,10,0.3,Yes,Frequent city bus within central Vizag area. Easy connectivity between major junctions.
RTE00014,RTC Complex,Araku Valley Coffee,RTC Complex,RTC Complex Bus Stop,300C/301,City Ordinary,Local stops within RTC Complex,1.5,10-15 mins,â‚¹10,5:30 AM,10:00 PM,15,0.2,Yes,Local city bus from RTC Complex to RTC Complex Bus Stop. Short route within same area.
RTE00015,Airport,Araku Valley Coffee,RTC Complex,RTC Complex Bus Stop,38A/500A/Airport Special,Semi-Deluxe/PSCV,"Airport, Kommadi, PM Palem, NAD Jn, RTC Complex, Jagadamba",22,50-60 mins,â‚¹35,5:00 AM,9:30 PM,30,0.4,Yes,APSRTC airport express service from Vizag Airport to city center via NAD Junction.
RTE00016,Pendurthi,Araku Valley Coffee,RTC Complex,RTC Complex Bus Stop,99/99E/217/300,City Ordinary/Express,"Pendurthi, Rushikonda/Madhurawada, Beach Road, Lawson's Bay, Siripuram, Jagadamba, RTC Complex",20,50-60 mins,â‚¹25,5:30 AM,10:00 PM,20,0.4,Yes,APSRTC city bus from northern coastal suburbs via Beach Road to city center.
RTE00017,Gopalapatnam,Araku Valley Coffee,RTC Complex,RTC Complex Bus Stop,99/99E/217/300,City Ordinary/Express,"Gopalapatnam, Rushikonda/Madhurawada, Beach Road, Lawson's Bay, Siripuram, Jagadamba, RTC Complex",20,50-60 mins,â‚¹25,5:30 AM,10:00 PM,20,0.4,Yes,APSRTC city bus from northern coastal suburbs via Beach Road to city center.
RTE00018,Kurmannapalem,Araku Valley Coffee,RTC Complex,RTC Complex Bus Stop,28V/28G/28C/400,City Ordinary/Express,"Kurmannapalem, Gajuwaka Jn, Steel Plant Gate, NAD Jn, Gopalapatnam, RTC Complex",18,45-55 mins,â‚¹25,5:00 AM,10:30 PM,10,0.4,Yes,"APSRTC city express from Gajuwaka via Steel Plant, NAD Junction to city center. Frequent service."
