trip_id,source_area,cafe_name,cafe_area,distance_km,estimated_duration,rapido_bike_price,auto_price,cab_price,traffic_level,best_transport_option,peak_time,off_peak_time,nearest_landmarks,description
TRP00001,Gajuwaka,Araku Valley Coffee,RTC Complex,11.6,39-44 mins,â‚¹100,â‚¹145,â‚¹185,Moderate-High,Rapido Bike,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM","RTC Complex, Ambedkar Statue, Jail Road",Travel from Gajuwaka to Araku Valley Coffee in RTC Complex. Road distance approx 11.6 km with moderate-high traffic. Rapido Bike recommended for this route in Visakhapatnam.
TRP00002,Kommadi,Araku Valley Coffee,RTC Complex,17.6,59-64 mins,â‚¹150,â‚¹215,â‚¹270,Moderate-High,Cab,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM","RTC Complex, Ambedkar Statue, Jail Road",Travel from Kommadi to Araku Valley Coffee in RTC Complex. Road distance approx 17.6 km with moderate-high traffic. Cab recommended for this route in Visakhapatnam.
TRP00003,Madhurawada,Araku Valley Coffee,RTC Complex,15.7,52-57 mins,â‚¹135,â‚¹195,â‚¹240,Moderate-High,Cab,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM","RTC Complex, Ambedkar Statue, Jail Road",Travel from Madhurawada to Araku Valley Coffee in RTC Complex. Road distance approx 15.7 km with moderate-high traffic. Cab recommended for this route in Visakhapatnam.
TRP00004,PM Palem,Araku Valley Coffee,RTC Complex,5.2,17-22 mins,â‚¹50,â‚¹70,â‚¹95,Moderate-High,Rapido Bike,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM","RTC Complex, Ambedkar Statue, Jail Road",Travel from PM Palem to Araku Valley Coffee in RTC Complex. Road distance approx 5.2 km with moderate-high traffic. Rapido Bike recommended for this route in Visakhapatnam.
TRP00005,MVP Colony,Araku Valley Coffee,RTC Complex,8.1,27-32 mins,â‚¹75,â‚¹105,â‚¹135,Moderate-High,Rapido Bike,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM","RTC Complex, Ambedkar Statue, Jail Road",Travel from MVP Colony to Araku Valley Coffee in RTC Complex. Road distance approx 8.1 km with moderate-high traffic. Rapido Bike recommended for this route in Visakhapatnam.
TRP00006,Siripuram,Araku Valley Coffee,RTC Complex,4.2,18-23 mins,â‚¹45,â‚¹55,â‚¹80,High,Rapido Bike,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM","RTC Complex, Ambedkar Statue, Jail Road",Travel from Siripuram to Araku Valley Coffee in RTC Complex. Road distance approx 4.2 km with high traffic. Rapido Bike recommended for this route in Visakhapatnam.
TRP00007,Dwaraka Nagar,Araku Valley Coffee,RTC Complex,6.3,27-32 mins,â‚¹60,â‚¹80,â‚¹110,High,Rapido Bike,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM","RTC Complex, Ambedkar Statue, Jail Road",Travel from Dwaraka Nagar to Araku Valley Coffee in RTC Complex. Road distance approx 6.3 km with high traffic. Rapido Bike recommended for this route in Visakhapatnam.
TRP00008,Maddilapalem,Araku Valley Coffee,RTC Complex,6.4,21-26 mins,â‚¹60,â‚¹85,â‚¹110,Moderate-High,Rapido Bike,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM","RTC Complex, Ambedkar Statue, Jail Road",Travel from Maddilapalem to Araku Valley Coffee in RTC Complex. Road distance approx 6.4 km with moderate-high traffic. Rapido Bike recommended for this route in Visakhapatnam.
TRP00009,NAD Junction,Araku Valley Coffee,RTC Complex,4.9,16-21 mins,â‚¹50,â‚¹65,â‚¹90,Moderate-High,Rapido Bike,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM","RTC Complex, Ambedkar Statue, Jail Road",Travel from NAD Junction to Araku Valley Coffee in RTC Complex. Road distance approx 4.9 km with moderate-high traffic. Rapido Bike recommended for this route in Visakhapatnam.
TRP00010,Seethammadhara,Araku Valley Coffee,RTC Complex,7.6,25-30 mins,â‚¹70,â‚¹95,â‚¹130,Moderate-High,Rapido Bike,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM","RTC Complex, Ambedkar Statue, Jail Road",Travel from Seethammadhara to Araku Valley Coffee in RTC Complex. Road distance approx 7.6 km with moderate-high traffic. Rapido Bike recommended for this route in Visakhapatnam.
TRP00011,Jagadamba,Araku Valley Coffee,RTC Complex,2,9-14 mins,â‚¹25,â‚¹30,â‚¹60,High,Rapido Bike,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM","RTC Complex, Ambedkar Statue, Jail Road",Travel from Jagadamba to Araku Valley Coffee in RTC Complex. Road distance approx 2.0 km with high traffic. Rapido Bike recommended for this route in Visakhapatnam.
TRP00012,Asilmetta,Araku Valley Coffee,RTC Complex,2.5,11-16 mins,â‚¹30,â‚¹35,â‚¹60,High,Rapido Bike,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM","RTC Complex, Ambedkar Statue, Jail Road",Travel from Asilmetta to Araku Valley Coffee in RTC Complex. Road distance approx 2.5 km with high traffic. Rapido Bike recommended for this route in Visakhapatnam.
TRP00013,Railway Station,Araku Valley Coffee,RTC Complex,2,9-14 mins,â‚¹25,â‚¹30,â‚¹60,High,Rapido Bike,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM","RTC Complex, Ambedkar Statue, Jail Road",Travel from Railway Station to Araku Valley Coffee in RTC Complex. Road distance approx 2.0 km with high traffic. Rapido Bike recommended for this route in Visakhapatnam.
TRP00014,RTC Complex,Araku Valley Coffee,RTC Complex,1.5,8-13 mins,â‚¹25,â‚¹30,â‚¹60,High,Rapido Bike,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM","RTC Complex, Ambedkar Statue, Jail Road",Travel from RTC Complex to Araku Valley Coffee in RTC Complex. Road distance approx 1.5 km with high traffic. Rapido Bike recommended for this route in Visakhapatnam.
TRP00015,Airport,Araku Valley Coffee,RTC Complex,11,37-42 mins,â‚¹95,â‚¹140,â‚¹175,Moderate-High,Rapido Bike,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM","RTC Complex, Ambedkar Statue, Jail Road",Travel from Airport to Araku Valley Coffee in RTC Complex. Road distance approx 11.0 km with moderate-high traffic. Rapido Bike recommended for this route in Visakhapatnam.
TRP00016,Pendurthi,Araku Valley Coffee,RTC Complex,17.9,60-65 mins,â‚¹150,â‚¹220,â‚¹275,Moderate-High,Cab,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM","RTC Complex, Ambedkar Statue, Jail Road",Travel from Pendurthi to Araku Valley Coffee in RTC Complex. Road distance approx 17.9 km with moderate-high traffic. Cab recommended for this route in Visakhapatnam.
TRP00017,Gopalapatnam,Araku Valley Coffee,RTC Complex,11.1,37-42 mins,â‚¹100,â‚¹140,â‚¹175,Moderate-High,Rapido Bike,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM","RTC Complex, Ambedkar Statue, Jail Road",Travel from Gopalapatnam to Araku Valley Coffee in RTC Complex. Road distance approx 11.1 km with moderate-high traffic. Rapido Bike recommended for this route in Visakhapatnam.
TRP00018,Kurmannapalem,Araku Valley Coffee,RTC Complex,6.3,21-26 mins,â‚¹60,â‚¹80,â‚¹110,Moderate-High,Rapido Bike,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM","RTC Complex, Ambedkar Statue, Jail Road",Travel from Kurmannapalem to Araku Valley Coffee in RTC Complex. Road distance approx 6.3 km with moderate-high traffic. Rapido Bike recommended for this route in Visakhapatnam.
TRP00019,Auto Nagar,Araku Valley Coffee,RTC Complex,6.7,22-27 mins,â‚¹65,â‚¹85,â‚¹115,Moderate-High,Rapido Bike,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM","RTC Complex, Ambedkar Statue, Jail Road",Travel from Auto Nagar to Araku Valley Coffee in RTC Complex. Road distance approx 6.7 km with moderate-high traffic. Rapido Bike recommended for this route in Visakhapatnam.
