imageUrl,title,totalScore,reviewsCount,street,city,state,countryCode,website,phone,categoryName,url
https://lh3.googleusercontent.com/gps-cs-s/APNQkAFix9LL1Td23dEax9J02mP35EQlWv8r7CdEOVxeRy55ASKNaXK6uSwfM8qxwXWS-dRfL0ZoY9Yez6PmDOr7jhsRHQs4i6geX-I-aHtiKZTy178GtTJIGiZlE0z2ZhmwXoDvw0Q=w408-h306-k-no,New Bharat Cafe,4.3,28,Allipuram Karnala Street Opposite Gokul Theatre,Visakhapatnam,Andhra Pradesh,IN,,+91 95027 20205,Cafe,https://www.google.com/maps/search/?api=1&query=New%20Bharat%20Cafe&query_place_id=ChIJyxLjJx5DOToR2KjlkYJB7BY
https://lh3.googleusercontent.com/gps-cs-s/APNQkAEV3NA15xu7TWY2vHdAwUMIoTuJk1NhibhcFHrg03gNWXX9lESC0UWdYsNDgEDh2EU7PRsvwOUZfC2Jzbk_QOUZk10J5PjxglJsap6SiYejeCUNqUwWgeR07h4eU944Ge9zuPcO=w408-h663-k-no,Cafe Club,4.7,10,"Ground Floor, Chitralaya Rd",Visakhapatnam,Andhra Pradesh,IN,,,Cafe,https://www.google.com/maps/search/?api=1&query=Cafe%20Club&query_place_id=ChIJE6dgU39DOToRMcNFdlDPPm4
https://lh3.googleusercontent.com/gps-cs-s/APNQkAF9hlgsqu27bEQRYxQH1_KuZIrMT2O4OfSC1Ytc8WQ1gjZvhR7OsQIVFomEjMynHnIpIjBDONb9OtnyhUPKSN0K-Pg7Y2MNdJQKouZIFdhLFY378FkRuryRiVy76DKFPLDFlK_HYdu-8wM=w408-h306-k-no,ARTCOM | 2D Themed | Cafe and Rage Room,4.6,442,"5th Floor, Premises Unit 1, Door, 47/3/27, 5th Ln",Visakhapatnam,Andhra Pradesh,IN,,+91 87905 72999,Cafe,https://www.google.com/maps/search/?api=1&query=ARTCOM%20%7C%202D%20Themed%20%7C%20Cafe%20and%20Rage%20Room&query_place_id=ChIJM7xuA8FDOToRZXTdiz_qvik
https://lh3.googleusercontent.com/gps-cs-s/APNQkAHj5rAcfJEAQC6gM-v_HeDghFcVhJOYABVAWjXO8F6J0gIM2pkJUAgjInvNqcFVX5wjXAdfqGoqA8xCMkexGNKLPYZTNu9e-z5YrImjrSTe14gHPpJxM9372Ay_DAEjlLAJ2eO3AV0a99CW=w504-h240-k-no,Ansoma Cafe,4.8,49,"Ground floor, Panchmeru Apartments, Panduranga Swamy Temple Rd",Visakhapatnam,Andhra Pradesh,IN,https://ansomacafe.com/,,Cafe,https://www.google.com/maps/search/?api=1&query=Ansoma%20Cafe&query_place_id=ChIJXxONGb5DOToRtd4mDt3c64s
https://lh3.googleusercontent.com/gps-cs-s/APNQkAHbPjItsIfFqgN5tl2UQarWut6RTo42YTiEk7h0vQTf1k131pdTS8I9wxVH0KOy3RPMDhD2nzTz0U04k75bkGl1ETfD1y6tL6LEmQcYG62JG3ICQRxOowLj4IgSOKm5naJFxY7Fdw=w408-h306-k-no,Pop Up Cafe & Restaurant,4.6,425,"Beach Rd, Gokul Park Parking, opposite Novotel Hotel",Visakhapatnam,Andhra Pradesh,IN,http://popupcafe.in/,+91 77024 65669,Coffee shop,https://www.google.com/maps/search/?api=1&query=Pop%20Up%20Cafe%20%26%20Restaurant&query_place_id=ChIJdzflPHZDOToRey-kS3z3DNY
https://lh3.googleusercontent.com/gps-cs-s/APNQkAFDssEyL35NUP3PaJ0LPY7Z4D103q3hL7jW3sg7PaM2BNKbXIBFfZKR29J4o5Gc5Xay_OD0IJp0qsN4g70-4mlpMOc8_Dhow7HHYF7ZR4o5y_sw2gVg_BClqz4Myn1FFBQSTpGOwA=w408-h544-k-no,Cafooze restro cafe,4.3,714,near to officers club,Visakhapatnam,Andhra Pradesh,IN,,+91 77998 88969,Coffee shop,https://www.google.com/maps/search/?api=1&query=Cafooze%20restro%20cafe&query_place_id=ChIJHwwoIKpDOToRhs15WFv4GH0
https://lh3.googleusercontent.com/gps-cs-s/APNQkAHn61soWB0CA67u_3m7p64mm_5UPSQ92Cf7dqhuLlZbfgtF4hdJ7e651ZG6q4kY5p1ZmPFrfLu6sZjgMTSB6j29_aWwP35prOXYkyiHvvrcJ0Y2T8gRWSfF3gFcf-J1iUlds1BLqA=w408-h271-k-no,Café Coffee Day,4,2452,"Ward No. 18, Ground Floor Door No. 7, 5-1, Ward",Visakhapatnam,Andhra Pradesh,IN,,+91 1800 102 5093,Cafe,https://www.google.com/maps/search/?api=1&query=Caf%C3%A9%20Coffee%20Day&query_place_id=ChIJw8QYLmxDOToR3tFNDRbxQnI
https://lh3.googleusercontent.com/gps-cs-s/APNQkAEMqMeLsdxmDA2JG-OtOiNgd2mdpdsCGEr0P0JNVG11mSCfJYN_XL-r_326haMJo_2k7IdnK0u2FtEoBR9XU4tQWeBO88HWgabk5XrrHIcGym2oluAN162WrPhsHsf78KCEWWAs8A=w408-h306-k-no,Caffeine Street,4.5,76,Oota Gadda Rd,Visakhapatnam,Andhra Pradesh,IN,,+91 91826 25353,Cafe,https://www.google.com/maps/search/?api=1&query=Caffeine%20Street&query_place_id=ChIJ-5v3RmtDOToRcy3VeGaC7Xs
https://lh3.googleusercontent.com/gps-cs-s/APNQkAFIjA3gDCEBybF5o8yvS2YASrdQPj_VB-lWCSSpMS78N4Jb8oHnbzyte6vM0T2yb4WGfD3quqaT8DSI6RPwTglyxRhKsSwKhhOqd86p_FSjkwol1gxJq9KN7IsnGfwp7-9yRRB3f6glQOWe=w408-h726-k-no,D-Cravings,5,14,"Rama Talkies Rd, beside Ramatalkies theatre",Visakhapatnam,Andhra Pradesh,IN,,,Cafe,https://www.google.com/maps/search/?api=1&query=D-Cravings&query_place_id=ChIJ_zKtOZ9DOToRtyetsfew018
https://lh3.googleusercontent.com/gps-cs-s/APNQkAHi5-8pRZD309MQd18ceQghAW07W_Cd0vxF7_eQMoCeJQ8KrbevXSzPw9w9orrma9DED4ZPVG_KhYLukhdee4Rw6INpDTH_BDn2Q6tsEG5__Xh71zcbAjverI1ONR6vYcUr8sEVGw=w408-h544-k-no,Vizag cafe,5,2,P788+2FP,Visakhapatnam,Andhra Pradesh,IN,,,Cafe,https://www.google.com/maps/search/?api=1&query=Vizag%20cafe&query_place_id=ChIJszvPQQBDOToRaS01AMdeioY
