trip_id,source_area,hospital_name,hospital_area,distance_km,estimated_duration,rapido_bike_price,auto_price,cab_price,traffic_level,best_transport_option,peak_time,off_peak_time,nearest_landmarks,emergency_fastest_option,description
1,Gajuwaka,Medicover Hospitals Vizag,Waltair Main Road,12.7,30-42 min,Rs 187,Rs 254,Rs 215,Moderate to High,Rapido Bike or Auto (cost effective),40-55 min,25-42 min,"Near Waltair Main Road, Opposite YMCA",Rapido Bike or Cab (quickest door-to-door),"Travel from Gajuwaka to Medicover Hospitals Vizag in Waltair Main Road, Visakhapatnam. Distance approx 12.7 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
2,Gajuwaka,Apollo Hospitals Visakhapatnam,Waltair,12.1,29-41 min,Rs 179,Rs 242,Rs 207,Moderate to High,Rapido Bike or Auto (cost effective),39-54 min,24-41 min,"Waltair Uplands, Near Andhra University",Rapido Bike or Cab (quickest door-to-door),"Travel from Gajuwaka to Apollo Hospitals Visakhapatnam in Waltair, Visakhapatnam. Distance approx 12.1 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
3,Gajuwaka,KIMS Hospitals Seethammadhara,Seethammadhara,13.4,32-44 min,Rs 197,Rs 268,Rs 224,Moderate to High,Rapido Bike or Auto (cost effective),42-57 min,27-44 min,"Near Seethammadhara Junction, Opp Aditya Park",Rapido Bike or Cab (quickest door-to-door),"Travel from Gajuwaka to KIMS Hospitals Seethammadhara in Seethammadhara, Visakhapatnam. Distance approx 13.4 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
4,Gajuwaka,Mahatma Gandhi Cancer Hospital,Maharani Peta,9.7,23-35 min,Rs 145,Rs 194,Rs 176,Moderate to High,Rapido Bike or Auto (cost effective),33-48 min,18-35 min,"Near RTC Complex, Maharani Peta",Rapido Bike or Cab (quickest door-to-door),"Travel from Gajuwaka to Mahatma Gandhi Cancer Hospital in Maharani Peta, Visakhapatnam. Distance approx 9.7 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
5,Gajuwaka,King George Hospital,One Town,8.4,20-32 min,Rs 127,Rs 168,Rs 159,Moderate to High,Rapido Bike or Auto (cost effective),30-45 min,15-32 min,"Near Jagadamba Centre, One Town",Rapido Bike or Cab (quickest door-to-door),"Travel from Gajuwaka to King George Hospital in One Town, Visakhapatnam. Distance approx 8.4 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
6,Gajuwaka,MGM SevenHills Hospital,Rockdale Layout,13.6,32-44 min,Rs 200,Rs 272,Rs 226,Moderate to High,Rapido Bike or Auto (cost effective),42-57 min,27-44 min,"Near Rushikonda, Beach Road Side",Rapido Bike or Cab (quickest door-to-door),"Travel from Gajuwaka to MGM SevenHills Hospital in Rockdale Layout, Visakhapatnam. Distance approx 13.6 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
7,Gajuwaka,Queen's NRI Hospital,Seethammadhara,13.3,31-43 min,Rs 196,Rs 266,Rs 222,Moderate to High,Rapido Bike or Auto (cost effective),41-56 min,26-43 min,"Near Seethammadhara Jn, Opp Big Bazaar",Rapido Bike or Cab (quickest door-to-door),"Travel from Gajuwaka to Queen's NRI Hospital in Seethammadhara, Visakhapatnam. Distance approx 13.3 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
8,Gajuwaka,Omni Hospitals Visakhapatnam,Waltair,12.0,28-40 min,Rs 178,Rs 240,Rs 206,Moderate to High,Rapido Bike or Auto (cost effective),38-53 min,23-40 min,"Waltair Main Road, Near Andhra University Gate",Rapido Bike or Cab (quickest door-to-door),"Travel from Gajuwaka to Omni Hospitals Visakhapatnam in Waltair, Visakhapatnam. Distance approx 12.0 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
9,Gajuwaka,Sunrise Hospitals,NAD Junction,9.5,22-34 min,Rs 143,Rs 190,Rs 173,Moderate to High,Rapido Bike or Auto (cost effective),32-47 min,17-34 min,"NAD Junction, Near Steel Plant Road",Rapido Bike or Cab (quickest door-to-door),"Travel from Gajuwaka to Sunrise Hospitals in NAD Junction, Visakhapatnam. Distance approx 9.5 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
10,Gajuwaka,CARE Hospitals Visakhapatnam,Arilova,11.3,27-39 min,Rs 168,Rs 226,Rs 196,Moderate to High,Rapido Bike or Auto (cost effective),37-52 min,22-39 min,"Arilova Main Road, Near Visakha Steel Plant",Rapido Bike or Cab (quickest door-to-door),"Travel from Gajuwaka to CARE Hospitals Visakhapatnam in Arilova, Visakhapatnam. Distance approx 11.3 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
