Hospital_Name,City,State,Specialty,Expected_Budget_INR_Lakhs
Anil Neerukonda Hospital,Bheemunipatnam,Andhra Pradesh,Hospital,1459.14
V4Care Hospital Bhimili,Bheemunipatnam,Andhra Pradesh,Hospital,537.52
Star Hospital,Bheemunipatnam,Andhra Pradesh,Hospital,912.54
Government Hospital,Bheemunipatnam,Andhra Pradesh,Government hospital,567.85
Chc Bheemunipatnam,Bheemunipatnam,Andhra Pradesh,Hospital,1604.71
Naidu Hospital,Bheemunipatnam,Andhra Pradesh,Hospital,1515.05
Raja Hospital,Bheemunipatnam,Andhra Pradesh,Hospital,1838.27
Dr Yoganand Children'S Hospital,Bheemunipatnam,Andhra Pradesh,Hospital,630.41
Varun Health Center Bheemili,Bheemunipatnam,Andhra Pradesh,Government hospital,806.31
Nri Anil Neerukonda Hospital,Bheemunipatnam,Andhra Pradesh,Private hospital,1119.19
Medicare Hospital (Lakshmi Vijaya Medicare)Tagarapuvalasa,Bheemunipatnam,Andhra Pradesh,Hospital,827.96
Satyam,Bheemunipatnam,Andhra Pradesh,Hospital,1258.03
Nri Uhtc,Mulakuddu,Andhra Pradesh,Hospital,539.8
Veterinary Hospital,Bheemunipatnam,Andhra Pradesh,Hospital,798.26
Navratna Kesava Rao Hospital,Bheemunipatnam,Andhra Pradesh,Hospital,1474.83
Jg Vision Care Eye Clinic & Opticals,Bheemunipatnam,Andhra Pradesh,Eye care center,122.64
Esi Dispensary Chittivalasa,Bheemunipatnam,Andhra Pradesh,Hospital,830.66
Nri Institute Of Medical Sciences,Bheemunipatnam,Andhra Pradesh,Medical school,189.1
Dr Avala Ravi Charan Chest Clinic.,Bheemunipatnam,Andhra Pradesh,Hospital,1714.15
Tagarapuvalasa Hanumanthawaka Junction,Bheemunipatnam,Andhra Pradesh,Hospital,509.75
Nri Medical College,Bheemunipatnam,Andhra Pradesh,College,247.57
Anil Neerukonda Hospital,Bheemunipatnam,Andhra Pradesh,Juice bar,218.5
Dr.Ravi Charan'S Thanvi Chest Clinic,Bheemunipatnam,Andhra Pradesh,Hospital,1010.38
F Block,,wc9f+7g9,Hospital,733.22
Maathrusri Homoepathy,Bheemunipatnam,Andhra Pradesh,Hospital,1935.82
Anil Neerukonda Institute Of Dental Sciences,Bheemunipatnam,Andhra Pradesh,Dental school,120.88
Dr. U Asha Latha- Orthopedics In Visakhapatnam,Bheemunipatnam,Andhra Pradesh,Orthopedic clinic,55.04
Ab'S Active Denticare,"Tallavalasa, Visakhapatnam",Andhra Pradesh,Dental clinic,32.57
Wccg+Qgh Visakhapatnam,"anil neerukonda hospital opposite:, three polamamba temple",Bheemunipatnam,Apartment building,258.82
Konaseema Ruchulu,Bheemunipatnam,Andhra Pradesh,Restaurant,193.01
Shankar'S Sukhibhava Brindavanam,Bheemunipatnam,Andhra Pradesh,Housing Development,247.92
Vasu Uncle Shop,Bheemunipatnam,Andhra Pradesh,General Store,227.03
?????? ??????,"Thagarapuvalasa, Bheemunipatnam",Andhra Pradesh,Medical clinic,121.16
Mukyamantri Arogya Kendram,Bheemunipatnam,Andhra Pradesh,Hospital,1959.67
Gimsr Specialty Opd Center,Bheemunipatnam,Andhra Pradesh,Hospital,1067.8
Dream Valley Vuda Layout,"Bheemunipatnam, Tallavalasa",Andhra Pradesh,Corporate office,179.05
Primary Health Centre (Phc),Tallavalasa,Andhra Pradesh,Government hospital,1295.29
C.O.T.R. Jyothi Hospital,Kothavalasa,Andhra Pradesh,Hospital,1427.78
Krishna Dental Care,Bheemunipatnam,Andhra Pradesh,Dental clinic,132.02
Covid-19 Vaccine Location-Adarsh Nagar-01 Sachivalaym,Bheemunipatnam,Andhra Pradesh,Medical laboratory,95.06
Suresh Multispeciality Hospital,"Anandapuram, Vemulavalasa",Andhra Pradesh,Doctor,73.41
Sri Venkata Trinadh Multi Speciality Clinic,Vemulavalasa,Andhra Pradesh,Hospital,568.74
Primary Health Center,Anandapuram,Andhra Pradesh,Medical Center,152.55
G1 Hospitals,"Vemulavalasa, Visakhapatnam",Andhra Pradesh,Hospital,934.08
Medical Centre Iim Visakhapatnam,Gambhiram,Andhra Pradesh,Medical Center,85.91
Age Care Foundation - Hospital,Gambhiram,Andhra Pradesh,Non-profit organization,92.85
Swamy Subramanyam First Aid Center,Gambhiram,Andhra Pradesh,Hospital,651.5
Prema Hospital,Gambhiram,Andhra Pradesh,Hospital,916.96
Primary Health Center Ananadapuram,"Anandapuram, Visakhapatnam",Andhra Pradesh,Medical laboratory,102.64
Itbp Unit Hospital 56Th Bn,Chandaka,Andhra Pradesh,Hospital,1047.25
Hospital,"Visakhapatnam, Tarluvada",Andhra Pradesh,Hospital,1055.27
Navaneetha Free Homeopathy Hospital,Tarluvada,Andhra Pradesh,Hospital,814.26
Navaneetha Homeo Clinic,"vishakapatnam, Tarluvada",Andhra Pradesh,Alternative medicine clinic,102.08
Hanuman Free Homeopathy Hospital,Tarluvada,Andhra Pradesh,Hospital,1904.98
Tarunvada Homeo Hospital,Tarluvada,Andhra Pradesh,Hospital,1472.05
??????? Sub Scenter,Tarluvada,Andhra Pradesh,Hospital,1413.7
Village Health Clinic,Peddipalem,Andhra Pradesh,Hospital,756.71
Best Oncologist - Dr. Pradeep ,"flat no.gf-2, viceroy park apartment, apollo hospital, healthcity","Visakhapatnam, Gudilova",+91 80 4696 1837,226.86
Medicover Hospitals - Best Hospital In Vizag,Visakhapatnam,Andhra Pradesh,Hospital,745.1
Kims Hospitals,"50-53-14, gurudwara rd",Visakhapatnam,+91 99490 98345,132.45
Kala Hospital Vizag,Visakhapatnam,Andhra Pradesh,Hospital,1984.29
Sai Spoorthy Hospital - Multi Speciality And Trauma Centre,Visakhapatnam,Andhra Pradesh,Hospital,1460.0
Annapoorna Hospital,Visakhapatnam,Andhra Pradesh,Hospital,1335.42
Queen'S Nri Hospital,Visakhapatnam,Andhra Pradesh,General hospital,2306.15
Apoorva Hospital,Visakhapatnam,Andhra Pradesh,Hospital,1764.28
Care Hospitals,6249.0,"as raja complex, 10-50-11/5, waltair main rd",https://www.carehospitals.com/hospital-detail/care-super-specialty-hospital-ramnagar,239.52
Venkatarama Hospital,Visakhapatnam,Andhra Pradesh,Hospital,843.57
Asian Institute Of Nephrology And Urology In Vizag | Ainu Hospitals Visakhapatnam,Visakhapatnam,Andhra Pradesh,Hospital,548.15
Apollo Clinic - Sheethammapeta,"50?81?1/2, plot 5 - 1",Visakhapatnam,+91 1800 103 1010,115.17
Omni Hospitals | Best Multispeciality Hospital In Visakhapatnam,Visakhapatnam,Andhra Pradesh,General hospital,1389.03
Kala Hospitals (P) Ltd. - Best Hospitals & Nursing Homes In Vizag,Visakhapatnam,Andhra Pradesh,Hospital,816.47
Dwaraka Medical Center,Visakhapatnam,Andhra Pradesh,Diagnostic center,285.16
Sri Venkateswara Hospital,Visakhapatnam,Andhra Pradesh,Hospital,1814.55
Padmasri Hospital,Visakhapatnam,Andhra Pradesh,General hospital,1492.29
Indraprastha Hospital Vizag,Visakhapatnam,Andhra Pradesh,Hospital,1483.16
Aayushman Hospital - Best Hospital In Vizag,Visakhapatnam,Andhra Pradesh,Hospital,1093.45
Tirumala Vijaya Hospital,Visakhapatnam,Andhra Pradesh,General hospital,2812.0
Day & Night Hospital,Visakhapatnam,Andhra Pradesh,Hospital,1188.28
Amma Hospital,Visakhapatnam,Andhra Pradesh,General hospital,1382.74
Dr.Mono Hospitals,Visakhapatnam,Andhra Pradesh,Hospital,869.94
L V Prasad Eye Institute,Visakhapatnam,Andhra Pradesh,Hospital,1342.05
Makuta Health Centre,Visakhapatnam,Andhra Pradesh,Hospital,894.11
Sleep Study Vizag@Home (Good Health Solutions),Visakhapatnam,Andhra Pradesh,Sleep clinic,187.84
S K Orthopedic Speciality Hospital,Visakhapatnam,Andhra Pradesh,Osteopath,272.41
Apollo Hospital Emergency Centre - Hanumanthawaka,"Visakhapatnam, Adavivaram",Andhra Pradesh,Hospital,1099.1
Humble Home Care-Home Care Services In Vizag|Elderly Care|Patient Care Services|Medical Equipments Rental|In Visakhapatnam,Visakhapatnam,Andhra Pradesh,Home health care service,89.22
Sri Krishna Ent Clinic & Sanhiti Children'S Clinic,Visakhapatnam,Andhra Pradesh,Hospital,1996.31
Dr P. Krishnam Raju,"jr nagar, venkojipalem, 80 feet road, opp. shivalayam street",Visakhapatnam,Otolaryngologist,167.57
Pristyn Care,Visakhapatnam,Andhra Pradesh,Surgical center,54.55
Sri Sairam Eye Clinic,Visakhapatnam,Andhra Pradesh,Medical clinic,38.01
Dr. P. Sri Ram Naveen - Best Nephrologist In Vizag / Visakhapatnam,Visakhapatnam,Andhra Pradesh,Nephrologist,48.64
Dr.S.Jayanthi,Visakhapatnam,Andhra Pradesh,Obstetrician-gynecologist,101.57
Dr Karunakara Padhy | Best Cardiothoracic & Vascular Surgeon In Visakhapatnam,Visakhapatnam,Andhra Pradesh,Cardiovascular and thoracic surgeon,243.86
Dr Dusi Vidya Sagar Rao - Medicover Hospitals,"door no: 1, new venkojipalem mvp, medicover hospital, 1-83, nh16, near hp petrol bunk",Visakhapatnam,+91 40 6833 4455,143.98
Re Life Medical Equipment Services,Visakhapatnam,Andhra Pradesh,Medical equipment supplier,47.15
Dr Praveen Sodavarapu | Best Orthopaedic Surgeon In Visakhapatnam | Medicover Hospitals Vizag,Visakhapatnam,Andhra Pradesh,Orthopedic surgeon,113.96
Dr. Sridhar Gangavarapu - Orthopedic Surgeon In Visakapatnam,Visakhapatnam,Andhra Pradesh,Orthopedic surgeon,249.15
Ddr College Of Para Medical Sciences,Visakhapatnam,Andhra Pradesh,College,172.86
Doctor Visit Home Care | On Call Doctor In Vizag,Visakhapatnam,Andhra Pradesh,Home health care service,292.19
Dr. Sibasankar Dalai,Visakhapatnam,Andhra Pradesh,Vascular surgeon,262.41
Dr Aasritha'S Skin And Hair Clinic,Visakhapatnam,Andhra Pradesh,Hospital,517.22
Dr Vineesha Kamini - Consultant General Medicine Physician,"door no: 1-1-83, new venkojipalem mvp, nh16, near hp petrol bunk",Visakhapatnam,+91 40 6833 4455,224.59
Sri Krishna Multi Specialty Clinics,Visakhapatnam,Andhra Pradesh,Otolaryngologist,214.06
Dr. T. Suresh (Mbbs,"15-2-9 medicover hospitals, beside petrol bunk, venkoji palem sector 6 mvp, n highway 16",Visakhapatnam,+91 40 6833 4455,174.98
Dr Arigala Chandra Sekhar,Visakhapatnam,Andhra Pradesh,Hospital,900.24
Genesis Home Care Nursing And Medical Equipment Renal Service,Visakhapatnam,Andhra Pradesh,Home health care service,203.06
Dr Satya Padmaja Mantha - Md,5.0,20.0,IN,60.12
Dr. Rakesh Pilla,nan,Visakhapatnam,+91 40 6833 4455,147.39
Dr. Pavan Kumar Rudrabhatla - Best Neurologist & Epilepsy Specialist In Visakhapatnam,Visakhapatnam,Andhra Pradesh,Neurologist,95.33
Dr Sudheer Tale Md(Pgi) Dm(Aiims) Pulmonologist | Best Interventional Pulmonologist,Visakhapatnam,Andhra Pradesh,Pulmonologist,144.23
Medinar Dental Clinic,Visakhapatnam,Andhra Pradesh,Hospital,1813.78
Dr.S.Srikar Samir Nandan (M.D,"medicover hospital, nh16",Visakhapatnam,Cardiologist,74.78
Dr Nvs Vinay Mbbs,fipm fior,cpc (rheumatology) - best orthopaedic surgeon,Visakhapatnam,165.16
Dr K.P. Ranganayakulu | Best Interventional Cardiology Doctor In Vizag,Visakhapatnam,Andhra Pradesh,Cardiologist,60.37
Dr. Hemant Behera,"medicover hospitals - best hospital in vizag, mvp main rd",Visakhapatnam,+91 40 6833 4455,276.41
Dr. Ashok Raju Alluri ,119.0,medicover hospitals - best hospital in vizag,+91 86393 16752,265.04
Dr K T V Lakshman Kumar | Best Neonatologist & Pediatrician Doctor In Visakhapatnam,Visakhapatnam,Andhra Pradesh,Neonatal physician,110.58
Dr Raja Sekhar Undavalli ? Robotic & Endo-Urology Specialist,"medicover hospital, door no: 1-1-83, new venkojipalem mvp, nh16, near hp petrol bunk",Visakhapatnam,Urologist,124.04
M K Enterprises,Visakhapatnam,Andhra Pradesh,Surgical supply store,194.42
Old Apollo Hospitals Ramnagar,Visakhapatnam,Andhra Pradesh,Hotel,71.27
Dr Vompolu Kamakshi Bhaskar ? Ophthalmologist & Cornea Specialist,"door no: 1, new venkojipalem mvp, medicover hospital, 1-83, nh16, near hp petrol bunk",Visakhapatnam,+91 40 6833 4455,235.88
Dr. G Ravi Kumar (Md,"medicover hospitals - best hospital in vizag, opd block, 1-1-83/2, new",Visakhapatnam,+91 40 6833 4455,175.63
Dr Sujit Kumar Mohanty | Best Ctv Surgeon In Vizag | Cardiothoracic & Vascular Surgeon,Visakhapatnam,Andhra Pradesh,Cardiovascular and thoracic surgeon,240.23
Dr Devara Anil Kashi Vishnuvardhan ? Interventional Radiology Specialist In Vizag,Visakhapatnam,Andhra Pradesh,Radiologist,146.68
Comfort Dormitory (Lodge) Sharon Homes Amit Naik (Ronny),Visakhapatnam,Andhra Pradesh,Lodge,30.15
Dr. Bhaskara Rao Beesetty - Best Nephrologist In Vizag,Visakhapatnam,Andhra Pradesh,Nephrologist,85.11
36 Ent Op,Visakhapatnam,Andhra Pradesh,Hospital,529.22
Dr Paidi Suresh Kumar - Coronary & Structural Heart Specialist,"mvp, medicover hospital, door no: 1-1-83, new, nh16, near hp petrol bunk",Visakhapatnam,+91 40 6833 4455,280.86
Chinna Gadili,Visakhapatnam,Andhra Pradesh,Government office,267.25
Dr Lal Pathlabs - Patient Service Centre,Visakhapatnam,Andhra Pradesh,Diagnostic center,256.23
Dr Appalanaidu(Laser,1.0,"1-6-24/2, mig",Doctor,37.68
Dr Divya Manchala | Best Dermatologist Doctor In Visakhapatnam | Cosmetologist,Visakhapatnam,Andhra Pradesh,Dermatologist,19.92
Dr. Talla Vinay Bhushanam (Mbbs,22.0,"door no: 1-1-83, new venkojipalem mvp, nh16, near hp petrol bunk",https://www.medicoverhospitals.in/doctors/dr-vinay-bhushanam-talla?utm_source=google&utm_medium=organic&utm_campaign=gmb-dr-vinay-bhushanam-talla,267.06
Dr. A Suresh -Cardiologist,Visakhapatnam,Andhra Pradesh,Cardiologist,190.98
Lakshmi Ganapathi Multi Speciality Dental Care,Visakhapatnam,Andhra Pradesh,Dental clinic,31.13
Dr. Shivaji Boddu,nan,Visakhapatnam,+91 99084 15105,161.22
Dr Lal Pathlabs Ltd,Visakhapatnam,Andhra Pradesh,Diagnostic center,58.0
Dr Priyanka Vemuri ? Pediatrician & Child Development Specialist,"medicover hospital, door no: 1-1-83, new venkojipalem mvp, nh16, near hp petrol bunk",Visakhapatnam,+91 40 6833 4455,235.36
Sri Ganesh Junior College | Iit & Medical Academy,Visakhapatnam,Andhra Pradesh,Junior college,236.78
Amma Gynaec Online Consultation,Visakhapatnam,Andhra Pradesh,Gynecologist,36.69
Dr Monisha Silla - Best Pulmonologist In Mvp Colony- Dr Monisha'S Pulmo And Sleep Clinic,Visakhapatnam,Andhra Pradesh,Pulmonologist,84.41
Dr. Y Surendra Orthopaedic Surgeon,Visakhapatnam,Andhra Pradesh,Doctor,59.48
Genesis Surgicals,Visakhapatnam,Andhra Pradesh,Surgical supply store,101.57
White Orchid Super Speciality Dental Clinic,Visakhapatnam,Andhra Pradesh,Hospital,1808.65
Sri Lakshmi Ganapathi Medicals And General Stores,Visakhapatnam,Andhra Pradesh,Medical Center,240.41
Sg Medicals & General Stores,Visakhapatnam,Andhra Pradesh,Medical Center,145.31
Counseling & Hypnotherapy Centre,Visakhapatnam,Andhra Pradesh,Psychologist,175.61
Dr Korada Suresh Kumar Consultant Neurologist,Visakhapatnam,Andhra Pradesh,Neurologist,138.14
Dr Srikanth Bodepudi | Best Cardiologist Doctor In Vizag | Heart Transplant,Visakhapatnam,Andhra Pradesh,Cardiologist,64.2
Dr Archana Behera - Consultant Cardiologist,Visakhapatnam,Andhra Pradesh,Cardiologist,82.99
Dr B Ananta Rao,Visakhapatnam,Andhra Pradesh,Surgeon,298.74
Dr Anirudh Kovvali - Gastroenterologist & Hepatologist,"medicover hospital, door no: 1-1-83, new venkojipalem mvp, nh16, near hp petrol bunk",Visakhapatnam,Gastroenterologist,125.73
Dr. Burra Siva Kumar,5.0,2.0,IN,148.29
Dr Sudhakar Naidu Laveti - Ophthalmologist & Refractive Surgery Specialist,"mvp, medicover hospital, door no: 1-1-83, new, nh16, near hp petrol bunk",Visakhapatnam,+91 40 6833 4455,169.75
Hill View Doctors Colony,Visakhapatnam,Andhra Pradesh,Hospital,681.51
The Therapy Room | Visakhapatnam,Visakhapatnam,Andhra Pradesh,Psychologist,90.67
Dr B Lakshmi Kondamma,Visakhapatnam,Andhra Pradesh,Obstetrician-gynecologist,63.95
Smile Ahd,Visakhapatnam,Andhra Pradesh,Training center,188.84
Dr Vineela Medapati ? Consultant Gynecologist & Obstetrician,2.0,"door no: 1-1-83, new venkojipalem mvp, nh16, near hp petrol bunk",https://www.medicoverhospitals.in/doctors/dr-vineela-medapati?utm_source=google&utm_medium=organic&utm_campaign=gmb-dr-vineela-medapati,92.13
Dr Ponduru Sharat Ram ? Orthopaedic & Joint Replacement Surgeon In Vizag,Visakhapatnam,Andhra Pradesh,Orthopedic surgeon,78.45
Ms Krupa Samson | Best Intensivist Doctor Near Me | 12 Years Exp. | Visakhapatnam,Visakhapatnam,Andhra Pradesh,Intensivist,49.17
Current Office Apepdcl(Vims),Visakhapatnam,Andhra Pradesh,Government office,200.4
Dr. Ch. Vani Anuradha,Visakhapatnam,Andhra Pradesh,Doctor,30.6
Oral D M V P Colony [Vizag],Visakhapatnam,Andhra Pradesh,Dental radiology,274.46
Dr Siddartha Palli - Senior Consultant Plastic Surgeon In Vizag - Exp -10 +Years,Visakhapatnam,Andhra Pradesh,Plastic surgeon,262.1
Dr. Dheeraj Kondamudi | Head & Neck Onco Surgeon|Ent Neck Oral&Thyroid Cancers | Robotic Surgery | Vizag Apollo Hospital,Visakhapatnam,Andhra Pradesh,Surgical oncologist,49.13
Dr Srilekha Reddy G, medicover hospitals,5.0,Andhra Pradesh,94.26
Win Dental Care,"Pedagadili, Visakhapatnam",Andhra Pradesh,Dental clinic,106.97
The Wonder Bakes,Visakhapatnam,Andhra Pradesh,Bakery,87.84
Dr Vamsi Krishna Consultant Endocrinologist,Visakhapatnam,Andhra Pradesh,Endocrinologist,37.2
Deena Dayal Puram,Visakhapatnam,Andhra Pradesh,Housing development,282.59
Karthik Plywoods Wpc Distributor,Visakhapatnam,Andhra Pradesh,Plywood supplier,184.18
Jagannath Pharmaceuticals,Visakhapatnam,Andhra Pradesh,Pharmacy,43.09
Makeovers By Elegant Lady,Visakhapatnam,Andhra Pradesh,Make-up artist,241.85
Sri Lakshmi Residency Hotel,Visakhapatnam,Andhra Pradesh,Hotel,248.02
Vb Collections,Visakhapatnam,Andhra Pradesh,Clothing store,81.41
Aahar A Multi Cuisine Restaurant,Visakhapatnam,Andhra Pradesh,Restaurant,56.17
Dr Anusha Dabbiru ? Orthodontist & Dental Implant Specialist In Vizag,Visakhapatnam,Andhra Pradesh,Dentist,40.17
Egg Shoppe,Visakhapatnam,Andhra Pradesh,Wholesaler,144.37
Sri Srinivasa Borewells,Visakhapatnam,Andhra Pradesh,Drilling contractor,156.1
Profile Doors Rl,"Pedagadi, Visakhapatnam",Andhra Pradesh,Aluminum frames supplier,226.85
Jc Security Housekeeping & Manpower Services,Visakhapatnam,Andhra Pradesh,Security guard service,211.81
Pradhan Mantri Jan Aushadhi Kendra,Visakhapatnam,Andhra Pradesh,Pharmacy,78.89
Rama Sai Durga Medical & General Stores,Visakhapatnam,Andhra Pradesh,Pharmacy,16.89
Blush By Elegant Lady | Designer Wear Boutique In Vizag,Visakhapatnam,Andhra Pradesh,Boutique,138.71
Sritha Dental Care,"Salipeta, Visakhapatnam",Andhra Pradesh,Dental clinic,64.11
Bharat Petroleum (Venkojipalem Petrol Bunk),Visakhapatnam,Andhra Pradesh,Gas station,262.65
Ss Electronics,Visakhapatnam,Andhra Pradesh,Television repair service,97.14
K Trinadh Pest Control Services All Work,Visakhapatnam,Andhra Pradesh,Pest control service,81.36
Zion Technologies,Visakhapatnam,Andhra Pradesh,Lighting manufacturer,151.13
Modern Dlx Boys / Ladies Hostel,Visakhapatnam,Andhra Pradesh,Boys' hostel,143.91
Hotel Paramount,Visakhapatnam,Andhra Pradesh,Hotel,105.21
Sri Venkata Ramana Rice And General Stores,Visakhapatnam,Andhra Pradesh,General store,97.45
Jr Nagar,Visakhapatnam,Andhra Pradesh,Hospital,1884.9
Most Famous Self Drive Cars,Visakhapatnam,Andhra Pradesh,Car leasing service,149.65
Juiceup Shri Kamakshi Bevarages,Visakhapatnam,Andhra Pradesh,Juice shop,262.56
Secure Dental Solutions,Visakhapatnam,Andhra Pradesh,Dentist,48.52
Mmtc Colony,Visakhapatnam,Andhra Pradesh,Hospital,575.88
Hymathi Electrical Works,Visakhapatnam,Andhra Pradesh,Electrician,299.81
Sri Polamamba Dryfruit Lassi,Visakhapatnam,Andhra Pradesh,Soup kitchen,255.73
Abu Tea Shop,Visakhapatnam,Andhra Pradesh,Tea store,291.63
Sri Sri Sai Restaurant,Visakhapatnam,Andhra Pradesh,Family restaurant,280.12
Apollo Diagnostics & Sanjeevini Medical Center,Visakhapatnam,Andhra Pradesh,Hospital,1773.04
Apollo Hospitals | Best Hospital In Ramnagar Vizag,Visakhapatnam,Andhra Pradesh,Hospital,749.47
Apollo Hospital Emergency Centre - Dwaraka Nagar,Visakhapatnam,Andhra Pradesh,Hospital,1228.46
Medwale Medical Centre (Ougk / Oeuk),Visakhapatnam,Andhra Pradesh,Medical Center,146.19
Sree Clinics,s. l. hospital,Visakhapatnam,Hospital,1101.56
Jai Kalki Surgicals,Visakhapatnam,Andhra Pradesh,Surgical supply store,45.83
Sagar Durga School Of Nursing,Visakhapatnam,Andhra Pradesh,Nursing school,132.32
Maxivision Super Speciality Eye Hospitals,Visakhapatnam,Andhra Pradesh,Eye care center,197.5
Medicover Hospitals | Best Women & Child Hospital In Vizag,,,Hospital,897.8
Sri Sai Aditya Hospital,Visakhapatnam,Andhra Pradesh,Hospital,1676.11
Rainbow Eye Hospital,Visakhapatnam,Andhra Pradesh,Eye care center,107.35
Roots Dental Care,Visakhapatnam,Andhra Pradesh,Dental clinic,74.99
Dr. N. Prasanna Kumar - Best Child Psychiatrist In Health City | Rainbow Children'S Hospital,Adavivaram,Andhra Pradesh,Pediatrician,115.73
