route_id,source_area,museum_name,museum_area,nearest_bus_stop,bus_number,bus_type,major_stops,distance_km,estimated_duration,ticket_price,first_bus,last_bus,frequency_minutes,walking_distance_from_stop_km,tourist_friendly,description
1,Gajuwaka,VMRDA INS Kursura Submarine Museum,RK Beach,RK Beach Bus Stop,28K,City Ordinary,Gajuwaka → Steel Plant → Auto Nagar → NAD Junction → Jagadamba → Siripuram → RK Beach,18.2,55 min,Rs.30,5:30 AM,10:30 PM,10,0.2,Yes - popular tourist route; many buses pass RK Beach,Board APSRTC bus 28K from Gajuwaka bus stop towards RK Beach/Beach Road. Alight at RK Beach Bus Stop for VMRDA INS Kursura Submarine Museum. RK Beach area.
2,Kommadi,VMRDA INS Kursura Submarine Museum,RK Beach,RK Beach Bus Stop,222,City Ordinary,Kommadi → Madhurawada → Arilova → MVP Colony → Jagadamba → RK Beach,11.2,34 min,Rs.21,5:30 AM,10:30 PM,15,0.2,Yes - popular tourist route; many buses pass RK Beach,Board APSRTC bus 222 from Kommadi bus stop towards RK Beach/Beach Road. Alight at RK Beach Bus Stop for VMRDA INS Kursura Submarine Museum. RK Beach area.
3,Madhurawada,VMRDA INS Kursura Submarine Museum,RK Beach,RK Beach Bus Stop,222C,City Ordinary,Madhurawada → Arilova → Hanumanthuwaka → MVP Colony → Jagadamba → RK Beach,15.6,47 min,Rs.27,5:30 AM,10:30 PM,20,0.2,Yes - popular tourist route; many buses pass RK Beach,Board APSRTC bus 222C from Madhurawada bus stop towards RK Beach/Beach Road. Alight at RK Beach Bus Stop for VMRDA INS Kursura Submarine Museum. RK Beach area.
4,PM Palem,VMRDA INS Kursura Submarine Museum,RK Beach,RK Beach Bus Stop,222,City Ordinary,PM Palem → Kommadi → Madhurawada → Arilova → MVP Colony → RK Beach,15.3,46 min,Rs.26,5:30 AM,10:30 PM,20,0.2,Yes - popular tourist route; many buses pass RK Beach,Board APSRTC bus 222 from PM Palem bus stop towards RK Beach/Beach Road. Alight at RK Beach Bus Stop for VMRDA INS Kursura Submarine Museum. RK Beach area.
5,MVP Colony,VMRDA INS Kursura Submarine Museum,RK Beach,RK Beach Bus Stop,28M,City Ordinary,MVP Colony → Maddilapalem → Seethammadhara → Jagadamba → Siripuram → RK Beach,6.9,21 min,Rs.15,5:30 AM,10:30 PM,20,0.2,Yes - popular tourist route; many buses pass RK Beach,Board APSRTC bus 28M from MVP Colony bus stop towards RK Beach/Beach Road. Alight at RK Beach Bus Stop for VMRDA INS Kursura Submarine Museum. RK Beach area.
6,Siripuram,VMRDA INS Kursura Submarine Museum,RK Beach,RK Beach Bus Stop,400A,City Ordinary,Siripuram → Jagadamba → CMR Circle → RK Beach,6.1,18 min,Rs.14,5:30 AM,10:30 PM,15,0.2,Yes - popular tourist route; many buses pass RK Beach,Board APSRTC bus 400A from Siripuram bus stop towards RK Beach/Beach Road. Alight at RK Beach Bus Stop for VMRDA INS Kursura Submarine Museum. RK Beach area.
7,Dwaraka Nagar,VMRDA INS Kursura Submarine Museum,RK Beach,RK Beach Bus Stop,5A,City Ordinary,Dwaraka Nagar → Jagadamba → CMR Circle → Siripuram → RK Beach,7.1,21 min,Rs.15,5:30 AM,10:30 PM,10,0.2,Yes - popular tourist route; many buses pass RK Beach,Board APSRTC bus 5A from Dwaraka Nagar bus stop towards RK Beach/Beach Road. Alight at RK Beach Bus Stop for VMRDA INS Kursura Submarine Museum. RK Beach area.
8,Maddilapalem,VMRDA INS Kursura Submarine Museum,RK Beach,RK Beach Bus Stop,99,City Ordinary,Maddilapalem → NAD Junction → Seethammadhara → Jagadamba → CMR Circle → RK Beach,6.8,20 min,Rs.15,5:30 AM,10:30 PM,20,0.2,Yes - popular tourist route; many buses pass RK Beach,Board APSRTC bus 99 from Maddilapalem bus stop towards RK Beach/Beach Road. Alight at RK Beach Bus Stop for VMRDA INS Kursura Submarine Museum. RK Beach area.
9,NAD Junction,VMRDA INS Kursura Submarine Museum,RK Beach,RK Beach Bus Stop,99,City Ordinary,NAD Junction → Seethammadhara → Maddilapalem → Jagadamba → RK Beach,6.0,18 min,Rs.13,5:30 AM,10:30 PM,20,0.2,Yes - popular tourist route; many buses pass RK Beach,Board APSRTC bus 99 from NAD Junction bus stop towards RK Beach/Beach Road. Alight at RK Beach Bus Stop for VMRDA INS Kursura Submarine Museum. RK Beach area.
10,Seethammadhara,VMRDA INS Kursura Submarine Museum,RK Beach,RK Beach Bus Stop,14,City Ordinary,Seethammadhara → Maddilapalem → Jagadamba → Siripuram → CMR Circle → RK Beach,8.1,24 min,Rs.16,5:30 AM,10:30 PM,15,0.2,Yes - popular tourist route; many buses pass RK Beach,Board APSRTC bus 14 from Seethammadhara bus stop towards RK Beach/Beach Road. Alight at RK Beach Bus Stop for VMRDA INS Kursura Submarine Museum. RK Beach area.
11,Jagadamba,VMRDA INS Kursura Submarine Museum,RK Beach,RK Beach Bus Stop,400,City Ordinary,Jagadamba → CMR Circle → Siripuram → Beach Road → RK Beach,4.6,14 min,Rs.12,5:30 AM,10:30 PM,15,0.2,Yes - popular tourist route; many buses pass RK Beach,Board APSRTC bus 400 from Jagadamba bus stop towards RK Beach/Beach Road. Alight at RK Beach Bus Stop for VMRDA INS Kursura Submarine Museum. RK Beach area.
12,Asilmetta,VMRDA INS Kursura Submarine Museum,RK Beach,RK Beach Bus Stop,28A,City Ordinary,Asilmetta → Siripuram → CMR Circle → Beach Road → RK Beach,5.8,17 min,Rs.13,5:30 AM,10:30 PM,10,0.2,Yes - popular tourist route; many buses pass RK Beach,Board APSRTC bus 28A from Asilmetta bus stop towards RK Beach/Beach Road. Alight at RK Beach Bus Stop for VMRDA INS Kursura Submarine Museum. RK Beach area.
13,Railway Station,VMRDA INS Kursura Submarine Museum,RK Beach,RK Beach Bus Stop,400,City Ordinary,Railway Station → RTC Complex → Jagadamba → Siripuram → Beach Road → RK Beach,4.8,14 min,Rs.12,5:30 AM,10:30 PM,15,0.2,Yes - popular tourist route; many buses pass RK Beach,Board APSRTC bus 400 from Railway Station bus stop towards RK Beach/Beach Road. Alight at RK Beach Bus Stop for VMRDA INS Kursura Submarine Museum. RK Beach area.
14,RTC Complex,VMRDA INS Kursura Submarine Museum,RK Beach,RK Beach Bus Stop,5,City Ordinary,RTC Complex → Jagadamba → Siripuram → Beach Road → RK Beach,5.6,17 min,Rs.13,5:30 AM,10:30 PM,20,0.2,Yes - popular tourist route; many buses pass RK Beach,Board APSRTC bus 5 from RTC Complex bus stop towards RK Beach/Beach Road. Alight at RK Beach Bus Stop for VMRDA INS Kursura Submarine Museum. RK Beach area.
15,Airport,VMRDA INS Kursura Submarine Museum,RK Beach,RK Beach Bus Stop,AIRPORT 400,City Ordinary,Airport → Gajuwaka → Steel Plant → NAD Junction → Jagadamba → RK Beach,19.1,57 min,Rs.32,5:30 AM,10:30 PM,15,0.2,Yes - popular tourist route; many buses pass RK Beach,Board APSRTC bus AIRPORT 400 from Airport bus stop towards RK Beach/Beach Road. Alight at RK Beach Bus Stop for VMRDA INS Kursura Submarine Museum. RK Beach area.
16,Pendurthi,VMRDA INS Kursura Submarine Museum,RK Beach,RK Beach Bus Stop,58C,City Ordinary,Pendurthi → Gopalapatnam → Kurmannapalem → NAD Junction → Jagadamba → RK Beach,15.4,46 min,Rs.27,5:30 AM,10:30 PM,10,0.2,Yes - popular tourist route; many buses pass RK Beach,Board APSRTC bus 58C from Pendurthi bus stop towards RK Beach/Beach Road. Alight at RK Beach Bus Stop for VMRDA INS Kursura Submarine Museum. RK Beach area.
17,Gopalapatnam,VMRDA INS Kursura Submarine Museum,RK Beach,RK Beach Bus Stop,58A,City Ordinary,Gopalapatnam → Kurmannapalem → NAD Junction → Jagadamba → Siripuram → RK Beach,22.2,1h 7min,Rs.36,5:30 AM,10:30 PM,20,0.2,Yes - popular tourist route; many buses pass RK Beach,Board APSRTC bus 58A from Gopalapatnam bus stop towards RK Beach/Beach Road. Alight at RK Beach Bus Stop for VMRDA INS Kursura Submarine Museum. RK Beach area.
