route_id,source_area,park_name,park_area,nearest_bus_stop,bus_number,bus_type,major_stops,distance_km,estimated_duration,ticket_price,first_bus,last_bus,frequency_minutes,walking_distance_from_stop_km,tourist_friendly,description
VSK-001,Gajuwaka,VUDA Park,Siripuram,VUDA Park Stop,400,City Ordinary,Gajuwaka Junction - Steel Plant - NAD Junction - Jagadamba - Siripuram - VUDA Park,18,55 mins,22,0530,2200,20,0.1,Yes,Direct route from Gajuwaka passing NAD and Jagadamba to VUDA Park at Siripuram
VSK-002,Gajuwaka,Tenneti Park,Waltair,Tenneti Park Stop,400,City Ordinary,Gajuwaka - Steel Plant - NAD - Jagadamba - RK Beach - Tenneti Park,21,65 mins,25,0530,2130,25,0.2,Yes,Route via NAD and RK Beach to Tenneti Park on Waltair seafront
VSK-003,Gajuwaka,Kailasagiri Park,Kailasagiri,Kailasagiri Base Stop,400E,Express,Gajuwaka - Steel Plant - NAD - Jagadamba - RK Beach - Kailasagiri,23,70 mins,28,0600,2100,30,0.3,Yes,Express service from Gajuwaka to Kailasagiri hilltop park
VSK-004,Gajuwaka,Indira Gandhi Zoological Park,Gambhiram,Zoo Junction,401,City Ordinary,Gajuwaka - Bheemunipatnam Road - Kommadi - Madhurawada - Zoo Junction,22,70 mins,27,0545,2100,30,0.4,Yes,Route via Madhurawada to Indira Gandhi Zoo at Gambhiram
VSK-005,Gajuwaka,Submarine Museum,RK Beach,RK Beach Bus Stop,400,City Ordinary,Gajuwaka - Steel Plant - NAD - Jagadamba - Siripuram - RK Beach,20,60 mins,24,0530,2200,20,0.2,Yes,Passes through city centre to RK Beach for Submarine Museum
VSK-006,Gajuwaka,Kambalakonda Wildlife Sanctuary,Kommadi,Kambalakonda Gate,402,City Ordinary,Gajuwaka - Bheemunipatnam Road - Kommadi - Kambalakonda,14,45 mins,18,0600,2000,35,0.5,Yes,Direct route from Gajuwaka to Kambalakonda Wildlife Sanctuary
VSK-007,Gajuwaka,Rishikonda Beach Park,Rushikonda,Rushikonda Beach Stop,401,City Ordinary,Gajuwaka - Kommadi - Madhurawada - Rushikonda,19,55 mins,22,0600,2100,30,0.3,Yes,Route via Kommadi and Madhurawada to Rushikonda Beach Park
VSK-008,Gajuwaka,TU Beach Park,Lawsons Bay,Lawsons Bay Stop,400,City Ordinary,Gajuwaka - Steel Plant - NAD - Jagadamba - Lawsons Bay,20,60 mins,24,0530,2130,25,0.2,Yes,Route via NAD and city centre to Lawsons Bay beach area
VSK-009,Kommadi,VUDA Park,Siripuram,VUDA Park Stop,401,City Ordinary,Kommadi - Madhurawada - MVP Colony - Seethammadhara - Jagadamba - Siripuram,20,60 mins,24,0545,2200,25,0.1,Yes,Route from Kommadi via MVP Colony to VUDA Park at Siripuram
VSK-010,Kommadi,Tenneti Park,Waltair,Tenneti Park Stop,401,City Ordinary,Kommadi - Madhurawada - MVP Colony - Jagadamba - RK Beach - Tenneti Park,22,65 mins,26,0545,2130,25,0.2,Yes,Scenic route via MVP Colony and RK Beach to Tenneti Park
VSK-011,Kommadi,Kailasagiri Park,Kailasagiri,Kailasagiri Base Stop,401E,Express,Kommadi - Madhurawada - Rushikonda - Kailasagiri,15,45 mins,20,0600,2100,30,0.3,Yes,Short express route from Kommadi to Kailasagiri via Rushikonda
VSK-012,Kommadi,Indira Gandhi Zoological Park,Gambhiram,Zoo Junction,403,City Ordinary,Kommadi - Bheemunipatnam Road - Zoo Junction,8,25 mins,12,0600,2100,20,0.4,Yes,Short direct route from Kommadi to the Zoo
VSK-013,Kommadi,Kambalakonda Wildlife Sanctuary,Kommadi,Kambalakonda Gate,402,City Ordinary,Kommadi Junction - Kambalakonda Gate,3,10 mins,8,0600,2000,20,0.5,Yes,Very short route from Kommadi to Kambalakonda sanctuary entrance
VSK-014,Kommadi,Rishikonda Beach Park,Rushikonda,Rushikonda Beach Stop,401,City Ordinary,Kommadi - Madhurawada - Rushikonda,8,25 mins,12,0600,2100,20,0.3,Yes,Short and convenient route from Kommadi to Rushikonda Beach Park
VSK-015,Madhurawada,VUDA Park,Siripuram,VUDA Park Stop,300,City Ordinary,Madhurawada - PM Palem - MVP Colony - Seethammadhara - Jagadamba - Siripuram,18,55 mins,22,0545,2200,20,0.1,Yes,Route from Madhurawada via PM Palem and MVP Colony to VUDA Park
VSK-016,Madhurawada,Kailasagiri Park,Kailasagiri,Kailasagiri Base Stop,300E,Express,Madhurawada - Rushikonda - Kailasagiri,10,30 mins,15,0600,2100,25,0.3,Yes,Short express from Madhurawada along coast to Kailasagiri
VSK-017,Madhurawada,Indira Gandhi Zoological Park,Gambhiram,Zoo Junction,403,City Ordinary,Madhurawada - Kommadi - Zoo Junction,10,30 mins,14,0600,2100,25,0.4,Yes,Convenient route from Madhurawada to Indira Gandhi Zoo
