trip_id,source_area,park_name,park_area,distance_km,estimated_duration,rapido_bike_price,auto_price,cab_price,traffic_level,best_transport_option,peak_time,off_peak_time,nearest_landmarks,description
TRP00001,Gajuwaka,All Abilities Park,Beach Road,13,32 mins,Rs 115,Rs 160,Rs 235,Medium,Auto,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","RK Beach, Appughar, Submarine Museum, INS Kurusura",Travel from Gajuwaka to All Abilities Park in Beach Road. Distance approx 13 km with medium traffic. Route via major Vizag roads.
TRP00002,Gajuwaka,Biodiversity Park Botanical Garden,Pedda Waltair,12,30 mins,Rs 105,Rs 150,Rs 220,Medium,Auto,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Pedda Waltair, AU Campus, Bheemunipatnam Road",Travel from Gajuwaka to Biodiversity Park Botanical Garden in Pedda Waltair. Distance approx 12 km with medium traffic. Route via major Vizag roads.
TRP00003,Gajuwaka,Children Traffic Park,MVP Colony,13,33 mins,Rs 115,Rs 160,Rs 235,Medium,Auto,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","MVP Water Tank, MVP Market, Rythu Bazaar",Travel from Gajuwaka to Children Traffic Park in MVP Colony. Distance approx 13 km with medium traffic. Route via major Vizag roads.
TRP00004,Gajuwaka,Dragon Park,Chinna Waltair,13,32 mins,Rs 115,Rs 160,Rs 235,Medium,Auto,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Chinna Waltair Road, Visakha Museum, AU Hill",Travel from Gajuwaka to Dragon Park in Chinna Waltair. Distance approx 13 km with medium traffic. Route via major Vizag roads.
TRP00005,Gajuwaka,Gokul Park,Beach Road,14,35 mins,Rs 120,Rs 175,Rs 250,Medium,Auto,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","RK Beach, Appughar, Submarine Museum, INS Kurusura",Travel from Gajuwaka to Gokul Park in Beach Road. Distance approx 14 km with medium traffic. Route via major Vizag roads.
TRP00006,Gajuwaka,Indira Gandhi Children Park,Maharani Peta,15,38 mins,Rs 130,Rs 185,Rs 260,Medium,Auto,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Maharani Peta, Town Hall, Post Office Road",Travel from Gajuwaka to Indira Gandhi Children Park in Maharani Peta. Distance approx 15 km with medium traffic. Route via major Vizag roads.
TRP00007,Gajuwaka,Indira Gandhi Zoological Park,NH16 Road,9,22 mins,Rs 80,Rs 115,Rs 180,Low,Auto,"9-10 AM, 7-8 PM",Anytime except weekends 5-8 PM,"Indira Gandhi Zoo, Kambalakonda, NH16",Travel from Gajuwaka to Indira Gandhi Zoological Park in NH16 Road. Distance approx 9 km with low traffic. Route via major Vizag roads.
TRP00008,Gajuwaka,Kambalakonda Eco Tourism Park,Kambalakonda,10,25 mins,Rs 90,Rs 125,Rs 190,Low,Auto,"9-10 AM, 7-8 PM",Anytime except weekends 5-8 PM,"Kambalakonda Reserve Forest, Indira Gandhi Zoo, NH16",Travel from Gajuwaka to Kambalakonda Eco Tourism Park in Kambalakonda. Distance approx 10 km with low traffic. Route via major Vizag roads.
TRP00009,Gajuwaka,Lumbini Park,Beach Road,15,38 mins,Rs 130,Rs 185,Rs 260,Medium,Auto,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","RK Beach, Appughar, Submarine Museum, INS Kurusura",Travel from Gajuwaka to Lumbini Park in Beach Road. Distance approx 15 km with medium traffic. Route via major Vizag roads.
TRP00010,Gajuwaka,Mudasarlova Park,Hanumanthavaka,15,37 mins,Rs 130,Rs 185,Rs 260,Medium,Auto,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Mudasarlova Reservoir, Hanumanthuwaka Junction",Travel from Gajuwaka to Mudasarlova Park in Hanumanthavaka. Distance approx 15 km with medium traffic. Route via major Vizag roads.
TRP00011,Gajuwaka,Radha Krishna Beach Park,RK Beach,14,35 mins,Rs 120,Rs 175,Rs 250,Medium,Auto,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","RK Beach, Appughar, Submarine Museum, INS Kurusura",Travel from Gajuwaka to Radha Krishna Beach Park in RK Beach. Distance approx 14 km with medium traffic. Route via major Vizag roads.
TRP00012,Gajuwaka,Sagar Nagar View Point Park,Sagar Nagar,21,53 mins,Rs 175,Rs 260,Rs 345,Low,Cab,"9-10 AM, 7-8 PM",Anytime except weekends 5-8 PM,"Sagar Nagar Beach, Vizag Lighthouse, RK Beach",Travel from Gajuwaka to Sagar Nagar View Point Park in Sagar Nagar. Distance approx 21 km with low traffic. Route via major Vizag roads.
TRP00013,Gajuwaka,Saraswathi Park,Daba Gardens,13,32 mins,Rs 115,Rs 160,Rs 235,Medium,Auto,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Daba Gardens, Gnanapuram, Town Hall",Travel from Gajuwaka to Saraswathi Park in Daba Gardens. Distance approx 13 km with medium traffic. Route via major Vizag roads.
TRP00014,Gajuwaka,Shivaji Park,MVP Colony,12,30 mins,Rs 105,Rs 150,Rs 220,Medium,Auto,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","MVP Water Tank, MVP Market, Rythu Bazaar",Travel from Gajuwaka to Shivaji Park in MVP Colony. Distance approx 12 km with medium traffic. Route via major Vizag roads.
TRP00015,Gajuwaka,Tenneti Park,Beach Road,15,38 mins,Rs 130,Rs 185,Rs 260,Medium,Auto,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","RK Beach, Appughar, Submarine Museum, INS Kurusura",Travel from Gajuwaka to Tenneti Park in Beach Road. Distance approx 15 km with medium traffic. Route via major Vizag roads.
TRP00016,Gajuwaka,VMRDA Kailasagiri,Kailasagiri,15,37 mins,Rs 130,Rs 185,Rs 260,Medium,Auto,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Kailasagiri Ropeway, Shiva-Parvati Statue, Sea View Point",Travel from Gajuwaka to VMRDA Kailasagiri in Kailasagiri. Distance approx 15 km with medium traffic. Route via major Vizag roads.
