Park Name,Area/Location,City,State,Country,countryCode,Category,totalScore,reviewsCount,street,website,phone,categories/0,categories/1,categories/2,googleMapsUrl,dataStatus,source,openingTime,closingTime,entryFee,speciality,expectedBudget
All Abilities Park,Visakhapatnam,Visakhapatnam,Andhra Pradesh,India,IN,Urban/Public Park,4.5,1100,Beach Road,https://www.gvmc.gov.in/,+91 891 2566000,Inclusive park,Family park,Tourist attraction,https://www.google.com/maps/search/?api=1&query=All+Abilities+Park+Visakhapatnam,Verified major listing,Google Maps listing / public listing,6:00 AM,8:00 PM,Free,Family park park in Visakhapatnam,â‚¹100 - â‚¹700
Biodiversity Park Botanical Garden,Visakhapatnam,Visakhapatnam,Andhra Pradesh,India,IN,Nature park,4.9,3021,"East Point Colony, Pedda Waltair",https://visakhapatnam.ap.gov.in/,+91 94414 65510,Botanical garden,Nature park,Tourist attraction,https://www.google.com/maps/search/?api=1&query=Biodiversity+Park+Botanical+Garden+Visakhapatnam,Verified major listing,Google Maps listing / public listing,9:00 AM,6:00 PM,â‚¹20,Botanical garden with rare plants and biodiversity conservation,â‚¹200 - â‚¹700
Children Traffic Park,Visakhapatnam,Visakhapatnam,Andhra Pradesh,India,IN,Public park,4.3,2100,MVP Colony,https://www.gvmc.gov.in/,+91 891 2566000,Children park,Educational park,Tourist attraction,https://www.google.com/maps/search/?api=1&query=Children+Traffic+Park+Visakhapatnam,Verified major listing,Google Maps listing / public listing,9:00 AM,8:00 PM,â‚¹10,Educational traffic awareness park for children,â‚¹100 - â‚¹400
Dragon Park,Visakhapatnam,Visakhapatnam,Andhra Pradesh,India,IN,Urban/Public Park,4.2,243,Chinna Waltair Main Road,https://vizagtourism.org.in/,+91 891 2566000,Theme park,Kids park,Tourist attraction,https://www.google.com/maps/search/?api=1&query=Dragon+Park+Visakhapatnam,Verified major listing,Google Maps listing / public listing,10:00 AM,9:00 PM,â‚¹30,Kids themed entertainment park with dragon sculptures,â‚¹200 - â‚¹800
Gokul Park,Visakhapatnam,Visakhapatnam,Andhra Pradesh,India,IN,Urban/Public Park,4.3,3792,Beach Road,https://visakhapatnam.ap.gov.in/,+91 891 2566000,Park,Public park,Tourist attraction,https://www.google.com/maps/search/?api=1&query=Gokul+Park+Visakhapatnam,Verified major listing,Google Maps listing / public listing,6:00 AM,8:00 PM,Free,Public park park in Visakhapatnam,â‚¹100 - â‚¹700
Indira Gandhi Children Park,Visakhapatnam,Visakhapatnam,Andhra Pradesh,India,IN,Public park,4.3,1560,Maharani Peta,http://www.gvmc.gov.in/,+91 94927 12727,Children park,Public park,Tourist attraction,https://www.google.com/maps/search/?api=1&query=Indira+Gandhi+Children+Park+Visakhapatnam,Verified major listing,GVMC / Google Maps listing,6:00 AM,8:00 PM,â‚¹10,Public park park in Visakhapatnam,â‚¹100 - â‚¹500
Indira Gandhi Zoological Park,Visakhapatnam,Visakhapatnam,Andhra Pradesh,India,IN,Wildlife park,4.2,27863,"Near Old Dairy Farm, NH5 Road, Visakhapatnam - 530040",https://vizagzoo.in/,+91 891 2552081,Zoo,Tourist attraction,Wildlife park,https://www.google.com/maps/search/?api=1&query=Indira+Gandhi+Zoological+Park+Visakhapatnam,Verified major listing,https://vizagzoo.in/contact-us/,9:00 AM,5:00 PM,â‚¹50 adults / â‚¹20 children,"Large zoo with wildlife safari, reptiles, birds and nature conservation",â‚¹500 - â‚¹1500
Kambalakonda Eco Tourism Park,Visakhapatnam,Visakhapatnam,Andhra Pradesh,India,IN,Nature park,4.2,1869,"Near NH16 / opposite Indira Gandhi Zoological Park, Kambalakonda",https://visakhapatnam.ap.gov.in/eco-tourism/,+91 891 2566000,Eco park,Nature park,Tourist attraction,https://www.google.com/maps/search/?api=1&query=Kambalakonda+Eco+Tourism+Park+Visakhapatnam,Verified major listing,https://visakhapatnam.ap.gov.in/eco-tourism/,9:00 AM,6:00 PM,â‚¹20,"Eco tourism park with trekking, forest trails and adventure activities",â‚¹300 - â‚¹1200
Lumbini Park,Visakhapatnam,Visakhapatnam,Andhra Pradesh,India,IN,Urban/Public Park,4.3,4294,"Beach Road, Opposite Appughar",https://visakhapatnam.ap.gov.in/,+91 891 2566000,Park,Beachside park,Tourist attraction,https://www.google.com/maps/search/?api=1&query=Lumbini+Park+Visakhapatnam,Verified major listing,Google Maps listing / public listing,6:00 AM,9:00 PM,Free,Beachside relaxation park near RK Beach,â‚¹100 - â‚¹500
Mudasarlova Park,Mudasarlova,Visakhapatnam,Andhra Pradesh,India,IN,Urban/Public Park,3.8,1570,"Mudasarlova Road, Hanumanthavaka",https://visakhapatnam.ap.gov.in/,+91 90103 72623,Park,Nature park,Reservoir park,https://www.google.com/maps/search/?api=1&query=Mudasarlova+Park+Visakhapatnam,Verified major listing,Google Maps listing / public listing,6:00 AM,7:00 PM,â‚¹10,Reservoir-side eco park with greenery and picnic spots,â‚¹200 - â‚¹600
