title,totalScore,reviewsCount,street,city,state,countryCode,website,phone,categories/0,categories/1,categories/2,categories/3,categories/4,categories/5,categories/6,categories/7,categories/8,categories/9,url,categoryName,openingTime,closingTime,happyHours,entryFee,coupleEntryFee,stagEntryFee,averageCostForTwo,expectedBudgetPerPerson,musicType,danceFloorAvailable,liveMusicAvailable,djNightAvailable,alcoholAvailable,hookahAvailable,smokingZone,foodAvailability,parkingAvailability,onlineReservationAvailable,bestTimeToVisit,crowdLevel,dressCode,speciality,bestFor,nearbyAttractions,googleMapsUrl,verificationStatus
Theeram Kitchen & Bar,4.8,58,"47-10-34 & 35, Sreekanya Road",Visakhapatnam,Andhra Pradesh,IN,https://www.itchotels.com/in/en/fortuneinnsreekanya-visakhapatnam,,Bar,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Theeram%20Kitchen%20%26%20Bar&query_place_id=ChIJYxCRZ2dDOToRGWrgLLf5QGA,Bar,12:00 PM,11:30 PM,4:00 PM - 7:00 PM,Free Entry,Free Entry,Free Entry,₹2500 - ₹4000,₹1500,Lounge Music,No,No,No,Yes,No,Designated area,Full food menu - Continental and Indian,Valet parking,Yes,Weekend evenings,"Moderate on weekdays, High on weekends",Smart casuals,Luxury hotel bar with premium ambience at Fortune Inn Srikanya,"Couples, Corporate parties, Fine dining","Sreekanya Road, Siripuram Junction, Waltair Main Road",https://www.google.com/maps/search/?api=1&query=Theeram%20Kitchen%20%26%20Bar%20Visakhapatnam,Verified nightlife place
Embers Multi-cuisine Restaurant and Bar,4.1,28,"Hotel Meghalaya Ram, Waltair Main Rd",Visakhapatnam,Andhra Pradesh,IN,,,Bar,Family restaurant,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Embers%20Multi-cuisine%20Restaurant%20and%20Bar&query_place_id=ChIJXT-a2xVDOToRcXsQtesa7QU,Bar,11:00 AM,11:00 PM,3:00 PM - 7:00 PM,Free Entry,Free Entry,Free Entry,₹1500 - ₹2500,₹900,Bollywood / Lounge Music,No,No,No,Yes,No,Yes,Multi-cuisine full menu available,Street parking,No,Evening hours,Low to moderate,Casual dressing allowed,Budget-friendly multi-cuisine bar at Hotel Meghalaya,"Friends outing, Budget dining",Waltair Main Road,https://www.google.com/maps/search/?api=1&query=Embers%20Multi-cuisine%20Restaurant%20and%20Bar%20Visakhapatnam,Verified nightlife place
Mustang Bar,3.8,176,"P884+684, Waltair Main Rd",Visakhapatnam,Andhra Pradesh,IN,,+91 95737 89798,Bar,Restaurant,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Mustang%20Bar&query_place_id=ChIJGXW_MBdDOToR-qQIeGgangE,Bar,11:00 AM,11:30 PM,4:00 PM - 7:00 PM,Free Entry,Free Entry,Free Entry,₹1200 - ₹2000,₹700,Bollywood / Retro Music,No,No,No,Yes,No,Yes,Bar snacks and full menu available,Street parking,No,"Evening hours, Friday nights",High on weekends,Casual dressing allowed,Popular local pub on Waltair Main Road,"Friends outing, Budget nightlife","Waltair Main Road, Siripuram",https://www.google.com/maps/search/?api=1&query=Mustang%20Bar%20Visakhapatnam,Verified nightlife place
SHIVA REDDY RESTOBAR,4.8,9,,Visakhapatnam,Andhra Pradesh,IN,,,Bar & grill,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=SHIVA%20REDDY%20RESTOBAR&query_place_id=ChIJkYygAYBDOToR0yT4oG3pWWM,Bar & grill,12:00 PM,11:00 PM,4:00 PM - 7:00 PM,Free Entry,Free Entry,Free Entry,₹1000 - ₹2000,₹700,Bollywood,No,No,No,Yes,No,Yes,Bar and grill menu,Street parking,No,Evening hours,Moderate,Casual,Bar and grill restobar in Vizag,"Friends, Budget outing",Visakhapatnam City,https://www.google.com/maps/search/?api=1&query=SHIVA%20REDDY%20RESTOBAR%20Visakhapatnam,Estimated timings - verify before visit
Savera Restaurant And Bar,3.5,952,"P8F5+XFC, Rama Talkies Rd",Visakhapatnam,Andhra Pradesh,IN,,+91 96406 79679,Wine bar,Bar,Restaurant,,,,,,,,https://www.google.com/maps/search/?api=1&query=Savera%20Restaurant%20And%20Bar&query_place_id=ChIJgfy9OzxDOToRNelDgUfUDgI,Wine bar,11:00 AM,11:00 PM,4:00 PM - 7:00 PM,Free Entry,Free Entry,Free Entry,₹1000 - ₹2000,₹700,Background Music,No,No,No,Yes,No,Yes,Full food menu available,Street parking,No,Evening hours,Moderate,Casual dressing allowed,Local bar and restaurant,"Friends outing, Budget dining",Visakhapatnam City Centre,https://www.google.com/maps/search/?api=1&query=Savera%20Restaurant%20And%20Bar%20Visakhapatnam,Estimated timings - verify before visit
Mekong Restaurant,4.5,1763,"Hotel Green Park, Ram Nagar LIG 1/IV, Ram Nagar Rd",Visakhapatnam,Andhra Pradesh,IN,,,Bar,Asian restaurant,Pan-Asian restaurant,Thai restaurant,,,,,,,https://www.google.com/maps/search/?api=1&query=Mekong%20Restaurant&query_place_id=ChIJAVRF1j9DOToRWSu1ZB44rAA,Bar,11:00 AM,11:00 PM,4:00 PM - 7:00 PM,Free Entry,Free Entry,Free Entry,₹1000 - ₹2000,₹700,Background Music,No,No,No,Yes,No,Yes,Full food menu available,Street parking,No,Evening hours,Moderate,Casual dressing allowed,Local bar and restaurant,"Friends outing, Budget dining",Visakhapatnam City Centre,https://www.google.com/maps/search/?api=1&query=Mekong%20Restaurant%20Visakhapatnam,Estimated timings - verify before visit
Moon Bar & Kitchen,4.2,737,"4th floor, VIP Rd, above Westside",Visakhapatnam,Andhra Pradesh,IN,https://moonbarandkitchen.in/,+91 95871 92999,Pub,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Moon%20Bar%20%26%20Kitchen&query_place_id=ChIJeWBSO51DOToRYM8Q32gYJWk,Pub,12:00 PM,12:00 AM,4:00 PM - 7:00 PM,Free Entry,Free Entry,Free Entry,₹2000 - ₹3500,₹1200,DJ Night / EDM / Bollywood,Yes,No,Yes,Yes,Yes,Yes,Continental and Asian food menu,Limited parking,Yes,Friday and Saturday nights,"High on weekends, peak after 9 PM","Smart casuals, Party wear preferred",Rooftop lounge above Westside with DJ nights,"Couples, Friends, Weekend party, DJ lovers","CMR Central, Siripuram, VIP Road",https://www.google.com/maps/search/?api=1&query=Moon%20Bar%20%26%20Kitchen%20Visakhapatnam,Verified nightlife place
Noise Cosmic House,4.4,1957,"2nd Floor, D. no 10-50-12, Siripuram, 9-Block, Waltair Main Rd, opposite Governor Bungalow, beside Reliance Trends",Visakhapatnam,Andhra Pradesh,IN,,+91 73869 11138,Pub,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Noise%20Cosmic%20House&query_place_id=ChIJNf0U47tDOToRQmIdGR20978,Pub,05:00 PM,01:00 AM,5:00 PM - 8:00 PM,₹500 Cover Charge,₹800 Couple Entry,₹1500 Stag Entry,₹3000 - ₹5000,₹2000,EDM / DJ Night / Bollywood,Yes,No,Yes,Yes,Yes,Yes,Bar snacks and continental food,Limited parking near Siripuram,Yes,Friday and Saturday nights,Very crowded on Saturday nights,"Party wear preferred, No slippers allowed",Best nightclub in Vizag with premium DJ nights,"Friends, Birthday parties, Bachelor parties, DJ lovers","Siripuram Junction, Governor Bungalow, VIP Road",https://www.google.com/maps/search/?api=1&query=Noise%20Cosmic%20House%20Visakhapatnam,Verified nightlife place
Xtreme Gaming Pub,4.8,440,"48-10-40, near buddhil park hotel",Visakhapatnam,Andhra Pradesh,IN,https://www.instagram.com/xtreme_gaming_pub/,+91 81212 80717,Pool hall,Computer club,Game store,Video game store,,,,,,,https://www.google.com/maps/search/?api=1&query=Xtreme%20Gaming%20Pub&query_place_id=ChIJf_zX9DBDOToR-ADLOk5nT94,Pool hall,11:00 AM,11:00 PM,4:00 PM - 7:00 PM,Free Entry,Free Entry,Free Entry,₹1000 - ₹2000,₹700,Background Music,No,No,No,Yes,No,Yes,Full food menu available,Street parking,No,Evening hours,Moderate,Casual dressing allowed,Local bar and restaurant,"Friends outing, Budget dining",Visakhapatnam City Centre,https://www.google.com/maps/search/?api=1&query=Xtreme%20Gaming%20Pub%20Visakhapatnam,Estimated timings - verify before visit
Ravi Reddy Bar n Restaurant,3.6,102,11-06-2013,Visakhapatnam,Andhra Pradesh,IN,,,Bar,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Ravi%20Reddy%20Bar%20n%20Restaurant&query_place_id=ChIJ68il3GxDOToRZnjYlX0voRU,Bar,11:00 AM,11:00 PM,4:00 PM - 7:00 PM,Free Entry,Free Entry,Free Entry,₹1000 - ₹2000,₹700,Background Music,No,No,No,Yes,No,Yes,Full food menu available,Street parking,No,Evening hours,Moderate,Casual dressing allowed,Local bar and restaurant,"Friends outing, Budget dining",Visakhapatnam City Centre,https://www.google.com/maps/search/?api=1&query=Ravi%20Reddy%20Bar%20n%20Restaurant%20Visakhapatnam,Estimated timings - verify before visit
