trip_id,source_area,pub_name,pub_area,distance_km,estimated_duration,rapido_bike_price,auto_price,cab_price,traffic_level,best_transport_option,late_night_availability,peak_time,off_peak_time,nearest_landmarks,description
TRP00001,Gajuwaka,Theeram Kitchen & Bar,Siripuram,14,35 mins,₹135,₹200,₹310,High,Auto,Rapido Bike & Cab available till 2 AM; Auto limited after midnight,7 PM - 10 PM,2 PM - 5 PM,"Sreekanya Road, Siripuram Junction, Waltair Main Road","Travel from Gajuwaka to Theeram Kitchen & Bar located at Siripuram, Visakhapatnam. Best reached via Auto."
TRP00002,Kommadi,Theeram Kitchen & Bar,Siripuram,18,40 mins,₹170,₹245,₹380,Moderate,Cab,Rapido Bike & Cab available till 2 AM; Auto limited after midnight,7 PM - 10 PM,2 PM - 5 PM,"Sreekanya Road, Siripuram Junction, Waltair Main Road","Travel from Kommadi to Theeram Kitchen & Bar located at Siripuram, Visakhapatnam. Best reached via Cab."
TRP00003,Madhurawada,Theeram Kitchen & Bar,Siripuram,16,38 mins,₹155,₹220,₹350,Moderate,Cab,Rapido Bike & Cab available till 2 AM; Auto limited after midnight,7 PM - 10 PM,2 PM - 5 PM,"Sreekanya Road, Siripuram Junction, Waltair Main Road","Travel from Madhurawada to Theeram Kitchen & Bar located at Siripuram, Visakhapatnam. Best reached via Cab."
TRP00004,PM Palem,Theeram Kitchen & Bar,Siripuram,17,38 mins,₹160,₹235,₹370,Moderate,Cab,Rapido Bike & Cab available till 2 AM; Auto limited after midnight,7 PM - 10 PM,2 PM - 5 PM,"Sreekanya Road, Siripuram Junction, Waltair Main Road","Travel from PM Palem to Theeram Kitchen & Bar located at Siripuram, Visakhapatnam. Best reached via Cab."
TRP00005,MVP Colony,Theeram Kitchen & Bar,Siripuram,10,22 mins,₹105,₹150,₹240,Moderate,Auto,Rapido Bike & Cab available till 2 AM; Auto limited after midnight,7 PM - 10 PM,2 PM - 5 PM,"Sreekanya Road, Siripuram Junction, Waltair Main Road","Travel from MVP Colony to Theeram Kitchen & Bar located at Siripuram, Visakhapatnam. Best reached via Auto."
TRP00006,Siripuram,Theeram Kitchen & Bar,Siripuram,1,5 mins,₹35,₹50,₹100,Low,Rapido Bike,Rapido Bike & Cab available till 2 AM; Auto limited after midnight,7 PM - 10 PM,2 PM - 5 PM,"Sreekanya Road, Siripuram Junction, Waltair Main Road","Travel from Siripuram to Theeram Kitchen & Bar located at Siripuram, Visakhapatnam. Best reached via Rapido Bike."
TRP00007,Dwaraka Nagar,Theeram Kitchen & Bar,Siripuram,2,8 mins,₹40,₹55,₹100,Low,Rapido Bike,Rapido Bike & Cab available till 2 AM; Auto limited after midnight,7 PM - 10 PM,2 PM - 5 PM,"Sreekanya Road, Siripuram Junction, Waltair Main Road","Travel from Dwaraka Nagar to Theeram Kitchen & Bar located at Siripuram, Visakhapatnam. Best reached via Rapido Bike."
TRP00008,Maddilapalem,Theeram Kitchen & Bar,Siripuram,5,15 mins,₹65,₹90,₹150,Moderate,Rapido Bike,Rapido Bike & Cab available till 2 AM; Auto limited after midnight,7 PM - 10 PM,2 PM - 5 PM,"Sreekanya Road, Siripuram Junction, Waltair Main Road","Travel from Maddilapalem to Theeram Kitchen & Bar located at Siripuram, Visakhapatnam. Best reached via Rapido Bike."
TRP00009,NAD Junction,Theeram Kitchen & Bar,Siripuram,8,20 mins,₹90,₹125,₹200,Moderate,Auto,Rapido Bike & Cab available till 2 AM; Auto limited after midnight,7 PM - 10 PM,2 PM - 5 PM,"Sreekanya Road, Siripuram Junction, Waltair Main Road","Travel from NAD Junction to Theeram Kitchen & Bar located at Siripuram, Visakhapatnam. Best reached via Auto."
TRP00010,Seethammadhara,Theeram Kitchen & Bar,Siripuram,4,12 mins,₹55,₹80,₹130,Low,Rapido Bike,Rapido Bike & Cab available till 2 AM; Auto limited after midnight,7 PM - 10 PM,2 PM - 5 PM,"Sreekanya Road, Siripuram Junction, Waltair Main Road","Travel from Seethammadhara to Theeram Kitchen & Bar located at Siripuram, Visakhapatnam. Best reached via Rapido Bike."
