trip_id,source_area,temple_name,temple_area,distance_km,estimated_duration,rapido_bike_price,auto_price,cab_price,traffic_level,best_transport_option,peak_time,off_peak_time,nearest_landmarks,description
1,Gajuwaka,Shri Kanaka Maha Lakshmi Temple,Port Area,8.5,20-32 min,Rs 129,Rs 170,Rs 160,Moderate to High,Rapido Bike or Auto (cost effective),30-45 min (morning puja / evening rush),15-25 min (early morning or after 2 PM),"Ramakrishna Beach (2 km), Submarine Museum (3 km), Kailasagiri (8 km)","Travel from Gajuwaka to Shri Kanaka Maha Lakshmi Temple in Port Area, Visakhapatnam region. Approx 8.5 km away. Open 05:30 AM – 09:00 PM. Heavy crowd on Fridays, festivals & auspicious days; early morning visit recommended. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
2,Gajuwaka,Sri Sampath Vinayaka Temple,Siripuram,11.0,26-38 min,Rs 164,Rs 220,Rs 193,Moderate to High,Rapido Bike or Auto (cost effective),36-51 min (morning puja / evening rush),21-31 min (early morning or after 2 PM),"RK Beach (1 km), Kailasagiri (7 km), Submarine Museum (2 km)","Travel from Gajuwaka to Sri Sampath Vinayaka Temple in Siripuram, Visakhapatnam region. Approx 11.0 km away. Open 05:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
3,Gajuwaka,Sri Satyanarayana Swamy Temple,One Town,8.5,20-32 min,Rs 129,Rs 170,Rs 160,Moderate to High,Rapido Bike or Auto (cost effective),30-45 min (morning puja / evening rush),15-25 min (early morning or after 2 PM),"KGH Hospital, Waltair Club, RK Beach (3 km)","Travel from Gajuwaka to Sri Satyanarayana Swamy Temple in One Town, Visakhapatnam region. Approx 8.5 km away. Open 06:00 AM – 08:00 PM. Heavy crowd on Fridays, festivals & auspicious days; early morning visit recommended. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
4,Gajuwaka,Sri Kalimatha Temple,RK Beach,12.5,30-42 min,Rs 185,Rs 250,Rs 212,Moderate to High,Rapido Bike or Auto (cost effective),40-55 min (morning puja / evening rush),25-35 min (early morning or after 2 PM),"RK Beach (50 m), Submarine Museum (500 m), Kailasagiri (5 km)","Travel from Gajuwaka to Sri Kalimatha Temple in RK Beach, Visakhapatnam region. Approx 12.5 km away. Open 05:30 AM – 09:00 PM. Heavy crowd on Fridays, festivals & auspicious days; early morning visit recommended. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
5,Gajuwaka,Three Temples,Waltair,12.7,30-42 min,Rs 187,Rs 254,Rs 215,Moderate to High,Rapido Bike or Auto (cost effective),40-55 min (morning puja / evening rush),25-35 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Gajuwaka to Three Temples in Waltair, Visakhapatnam region. Approx 12.7 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
6,Gajuwaka,Sri Venkateswara Swami Temple,Daba Garden,11.0,26-38 min,Rs 164,Rs 220,Rs 193,Moderate to High,Rapido Bike or Auto (cost effective),36-51 min (morning puja / evening rush),21-31 min (early morning or after 2 PM),"Daba Gardens Park, RK Beach (4 km)","Travel from Gajuwaka to Sri Venkateswara Swami Temple in Daba Garden, Visakhapatnam region. Approx 11.0 km away. Open 06:00 AM – 08:30 PM. Heavy crowd on Fridays, festivals & auspicious days; early morning visit recommended. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
7,Gajuwaka,Bellam Vinayakudu Temple,One Town,8.4,20-32 min,Rs 127,Rs 168,Rs 159,Moderate to High,Rapido Bike or Auto (cost effective),30-45 min (morning puja / evening rush),15-25 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Gajuwaka to Bellam Vinayakudu Temple in One Town, Visakhapatnam region. Approx 8.4 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
8,Gajuwaka,Sri Venkateswara Swamy Temple,Port Area,10.3,24-36 min,Rs 154,Rs 206,Rs 183,Moderate to High,Rapido Bike or Auto (cost effective),34-49 min (morning puja / evening rush),19-29 min (early morning or after 2 PM),"Visakhapatnam Port, RK Beach (2 km), Submarine Museum (3 km)","Travel from Gajuwaka to Sri Venkateswara Swamy Temple in Port Area, Visakhapatnam region. Approx 10.3 km away. Open 06:00 AM – 08:30 PM. Heavy crowd on Fridays, festivals & auspicious days; early morning visit recommended. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
9,Gajuwaka,Waltair Kali Temple,Waltair,12.5,30-42 min,Rs 185,Rs 250,Rs 212,Moderate to High,Rapido Bike or Auto (cost effective),40-55 min (morning puja / evening rush),25-35 min (early morning or after 2 PM),"Waltair Club, RK Beach (2 km), Andhra University (1 km)","Travel from Gajuwaka to Waltair Kali Temple in Waltair, Visakhapatnam region. Approx 12.5 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
10,Gajuwaka,Sri Panduranga Swamy Temple,Waltair,12.6,30-42 min,Rs 186,Rs 252,Rs 213,Moderate to High,Rapido Bike or Auto (cost effective),40-55 min (morning puja / evening rush),25-35 min (early morning or after 2 PM),"Waltair Club, RK Beach (2 km), Andhra University","Travel from Gajuwaka to Sri Panduranga Swamy Temple in Waltair, Visakhapatnam region. Approx 12.6 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
