title,totalScore,reviewsCount,street,city,state,countryCode,website,phone,categories/0,categories/1,categories/2,url,categoryName,openingTime,closingTime,timingDetails,darshanFee,specialDarshanFee,entryDetails,expectedBudget,mainGod,speciality,dressCode,bestTimeToVisit,prasadamAvailable,festivalsCelebrated,parkingAvailability,photographyAllowed,crowdLevel,nearbyAttractions,googleMapsUrl,verificationStatus
Shri Kanaka Maha Lakshmi Temple,4.7,5705.0,"Burujupeta Fort Area, Town Kotha Road, Port Area",Visakhapatnam,Andhra Pradesh,IN,https://vizagtourism.org.in/kanaka-mahalakshmi-temple-vizag,+91 89125 66515,Hindu temple,,,https://www.google.com/maps/search/?api=1&query=Shri%20Kanaka%20Maha%20Lakshmi%20Temple&query_place_id=ChIJ1z_IpF5DOToRS23E0GOeXvE,Hindu temple,05:30 AM,09:00 PM,"05:30 AM - 12:00 PM, 04:00 PM - 09:00 PM | Afternoon break 12 PM – 4 PM",Free general darshan,₹50 archana; special poojas vary,Free temple entry; archana tickets at counter,₹100 - ₹500 per person | ₹500 - ₹2000 for family during festivals,Goddess Kanaka Mahalakshmi (Sri Lakshmi),One of the oldest and most revered goddess temples in Vizag; idol recovered from a fort well in 1912; famous during Margasira masotsavalu,Traditional wear preferred; sarees/dhotis encouraged,"Margasira month (Nov–Dec), Fridays, Navaratri",Available – laddu and sweet prasadam,"Margasira Masotsavalu, Navaratri, Diwali, Varalakshmi Vratam",Limited street parking available,Allowed outside; restricted inside sanctum,High on Fridays; Very crowded during Margasira month,"Ramakrishna Beach (2 km), Submarine Museum (3 km), Kailasagiri (8 km)",https://www.google.com/maps/search/?api=1&query=Shri+Kanaka+Maha+Lakshmi+Temple+Visakhapatnam,Verified major temple details
Sri Sampath Vinayaka Temple,4.9,1257.0,Sampath Vinayaka Temple Rd,Visakhapatnam,Andhra Pradesh,IN,,+91 97044 38668,Hindu temple,,,https://www.google.com/maps/search/?api=1&query=Sri%20Sampath%20Vinayaka%20Temple&query_place_id=ChIJ91agUF9DOToRZTbRCHOe7ig,Hindu temple,05:00 AM,08:30 PM,"05:00 AM - 12:00 PM, 04:00 PM - 08:30 PM | Special abhishekam on Ganesh Chaturthi",Free,₹50 special archana,Free entry; archana tickets at counter,₹100 - ₹400 per person,Lord Ganesha (Sampath Vinayaka),Extremely popular Ganesh temple in Vizag; rated 4.9; believed to grant wealth and prosperity; huge crowd on Vinayaka Chaturthi,Modest clothing required; no shorts,"Tuesdays, Ganesh Chaturthi, early morning",Available – modak and laddu prasadam,"Vinayaka Chaturthi, Sankashti Chaturthi, Diwali",Limited parking; best to arrive early,Allowed outside; restricted inside sanctum,High on Tuesdays; Very crowded on Chaturthi,"RK Beach (1 km), Kailasagiri (7 km), Submarine Museum (2 km)",https://www.google.com/maps/search/?api=1&query=Sri+Sampath+Vinayaka+Temple+Visakhapatnam,Verified major temple details
Sri Satyanarayana Swamy Temple,4.7,560.0,P842+G79 Inside King George Hospital,Visakhapatnam,Andhra Pradesh,IN,,,Hindu temple,,,https://www.google.com/maps/search/?api=1&query=Sri%20Satyanarayana%20Swamy%20Temple&query_place_id=ChIJgy_N8ARDOToR7IQeg-niwwA,Hindu temple,06:00 AM,08:00 PM,"06:00 AM - 12:00 PM, 04:00 PM - 08:00 PM",Free,₹50 archana,Free entry; located inside KGH campus,₹100 - ₹300 per person,Sri Satyanarayana Swamy (Lord Vishnu),Temple inside King George Hospital; sought by patients and visitors for blessings,Modest clothing required,"Saturdays, Pournami",Available,"Kartika Pournami, Rama Navami, Vaikunta Ekadasi",KGH campus parking available,Restricted inside sanctum,Medium,"KGH Hospital, Waltair Club, RK Beach (3 km)",https://www.google.com/maps/search/?api=1&query=Sri+Satyanarayana+Swamy+Temple+KGH+Visakhapatnam,Estimated local temple details
Sri Kalimatha Temple,4.7,495.0,"R.K. Beach, Beach Rd",Visakhapatnam,Andhra Pradesh,IN,,,Hindu temple,,,https://www.google.com/maps/search/?api=1&query=Sri%20Kalimatha%20Temple&query_place_id=ChIJffmxy21DOToRWyJSzOPDDgw,Hindu temple,05:30 AM,09:00 PM,"05:30 AM - 12:00 PM, 04:00 PM - 09:00 PM | Special poojas on Tuesdays and Fridays",Free,₹50 special archana,Free entry; beachside location,₹100 - ₹400 per person,Goddess Kali (Kalimatha),Famous Kali temple on RK Beach with scenic sea views; especially popular on Tuesdays and Fridays,Traditional wear preferred,"Tuesdays, Fridays, Navaratri, early morning",Available,"Navaratri, Diwali, Kali Puja",Beach road parking available,Allowed outside; restricted inside sanctum,High on Fridays and Tuesdays; Very crowded during Navaratri,"RK Beach (50 m), Submarine Museum (500 m), Kailasagiri (5 km)",https://www.google.com/maps/search/?api=1&query=Sri+Kalimatha+Temple+RK+Beach+Visakhapatnam,Verified major temple details
Three Temples,4.6,89.0,"Venkateswara metta, 530020",Visakhapatnam,Andhra Pradesh,IN,,,Hindu temple,Tourist attraction,,https://www.google.com/maps/search/?api=1&query=Three%20Temples&query_place_id=ChIJe0vFyx5DOToRwBeg2sA7bf4,Hindu temple,06:00 AM,08:30 PM,"06:00 AM - 12:00 PM, 04:00 PM - 08:30 PM | Afternoon break 12 PM – 4 PM",Free,₹50 archana; special poojas vary,Free temple entry,₹100 - ₹500 per person | ₹500 - ₹2000 during festivals,Presiding deity of the temple,Local temple serving the community with daily poojas,Traditional wear preferred; modest clothing required; footwear not allowed inside,"Early morning, Fridays, during major festivals",Available,"Major Hindu festivals, Temple anniversary",Limited street parking available,Allowed outside; restricted inside sanctum,Low to Medium,"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum",https://www.google.com/maps/search/?api=1&query=Three%20Temples%20Visakhapatnam,Timing needs local confirmation
Sri Venkateswara Swami Temple,4.7,180.0,"P78W+JQ8, Daba Garden Rd",Visakhapatnam,Andhra Pradesh,IN,,,Hindu temple,,,https://www.google.com/maps/search/?api=1&query=Sri%20Venkateswara%20Swami%20Temple&query_place_id=ChIJ1SdZ7h5DOToRRW-7F5fuCN0,Hindu temple,06:00 AM,08:30 PM,"06:00 AM - 12:00 PM, 04:00 PM - 08:30 PM | Afternoon break 12 PM – 4 PM",Free,₹50 archana; special poojas vary,Free temple entry,₹100 - ₹500 per person | ₹500 - ₹2000 during festivals,Sri Venkateswara Swamy (Lord Vishnu),Local temple serving the community with daily poojas,Traditional wear preferred; modest clothing required; footwear not allowed inside,"Early morning, Fridays, during major festivals",Available,"Brahmotsavam, Vaikunta Ekadasi, Navaratri",Limited street parking available,Allowed outside; restricted inside sanctum,Low to Medium,"Daba Gardens Park, RK Beach (4 km)",https://www.google.com/maps/search/?api=1&query=Sri%20Venkateswara%20Swami%20Temple%20Visakhapatnam,Timing needs local confirmation
Bellam Vinayakudu Temple,4.7,1541.0,P834+QX5,Visakhapatnam,Andhra Pradesh,IN,,,Hindu temple,,,https://www.google.com/maps/search/?api=1&query=Bellam%20Vinayakudu%20Temple&query_place_id=ChIJdQjjwg5DOToRRwo7fQku7MQ,Hindu temple,06:00 AM,08:30 PM,"06:00 AM - 12:00 PM, 04:00 PM - 08:30 PM | Afternoon break 12 PM – 4 PM",Free,₹50 archana; special poojas vary,Free temple entry,₹100 - ₹500 per person | ₹500 - ₹2000 during festivals,Lord Ganesha (Vinayaka),Popular Ganesh temple; especially crowded on Vinayaka Chaturthi,Traditional wear preferred; modest clothing required; footwear not allowed inside,"Tuesdays, Vinayaka Chaturthi, early morning",Available,"Vinayaka Chaturthi, Sankashti Chaturthi, Diwali",Limited street parking available,Allowed outside; restricted inside sanctum,High on weekends; Very crowded during festivals,"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum",https://www.google.com/maps/search/?api=1&query=Bellam%20Vinayakudu%20Temple%20Visakhapatnam,Estimated local temple details
Sri Venkateswara Swamy Temple,4.7,276.0,"Venkateswara Temple, Beach Road, Port Are, near Post Office",Visakhapatnam,Andhra Pradesh,IN,https://vizagtourism.org.in/sri-venkateswara-swamy-konda-temple-vizag,+91 89127 21012,Hindu temple,,,https://www.google.com/maps/search/?api=1&query=Sri%20Venkateswara%20Swamy%20Temple&query_place_id=ChIJ______5COToR-cikyZ6VrPY,Hindu temple,06:00 AM,08:30 PM,"06:00 AM - 12:00 PM, 04:00 PM - 08:30 PM | Afternoon break 12 PM – 4 PM",Free,₹50 archana; special poojas vary,Free temple entry,₹100 - ₹500 per person | ₹500 - ₹2000 during festivals,Sri Venkateswara Swamy (Lord Vishnu),Local temple serving the community with daily poojas,Traditional wear preferred; modest clothing required; footwear not allowed inside,"Early morning, Fridays, during major festivals",Available,"Brahmotsavam, Vaikunta Ekadasi, Navaratri",Limited street parking available,Allowed outside; restricted inside sanctum,Medium; High during festivals,"Visakhapatnam Port, RK Beach (2 km), Submarine Museum (3 km)",https://www.google.com/maps/search/?api=1&query=Sri%20Venkateswara%20Swamy%20Temple%20Visakhapatnam,Estimated local temple details
Waltair Kali Temple,4.6,174.0,P7FR+7RC,Visakhapatnam,Andhra Pradesh,IN,,,Hindu temple,,,https://www.google.com/maps/search/?api=1&query=Waltair%20Kali%20Temple&query_place_id=ChIJc5wJoN9COToR1HfqtFTvwHc,Hindu temple,06:00 AM,08:30 PM,"06:00 AM - 12:00 PM, 04:30 PM - 08:30 PM",Free,₹50 archana,Free entry,₹100 - ₹300 per person,Goddess Kali,Historic Kali temple in Waltair locality,Modest clothing required,"Tuesdays, Fridays",Available,"Navaratri, Diwali, Kali Puja",Limited street parking,Restricted inside sanctum,Medium,"Waltair Club, RK Beach (2 km), Andhra University (1 km)",https://www.google.com/maps/search/?api=1&query=Waltair+Kali+Temple+Visakhapatnam,Estimated local temple details
Sri Panduranga Swamy Temple,4.7,438.0,"P87C+XP2, Panduranga Swamy Temple Road Beside Waltair Club Sripuram",Visakhapatnam,Andhra Pradesh,IN,,+91 81254 19210,Hindu temple,,,https://www.google.com/maps/search/?api=1&query=Sri%20Panduranga%20Swamy%20Temple&query_place_id=ChIJ_VfhyG5DOToRXCG06ShtTiU,Hindu temple,06:00 AM,08:30 PM,"06:00 AM - 12:00 PM, 04:00 PM - 08:30 PM | Afternoon break 12 PM – 4 PM",Free,₹50 archana; special poojas vary,Free temple entry,₹100 - ₹500 per person | ₹500 - ₹2000 during festivals,Presiding deity of the temple,Local temple serving the community with daily poojas,Traditional wear preferred; modest clothing required; footwear not allowed inside,"Early morning, Fridays, during major festivals",Available,"Major Hindu festivals, Temple anniversary",Limited street parking available,Allowed outside; restricted inside sanctum,Medium; High during festivals,"Waltair Club, RK Beach (2 km), Andhra University",https://www.google.com/maps/search/?api=1&query=Sri%20Panduranga%20Swamy%20Temple%20Visakhapatnam,Estimated local temple details
