"route_id,source_area,theater_name,theater_area,nearest_bus_stop,bus_number,bus_type,major_stops,distance_km,estimated_duration,ticket_price,first_bus,last_bus,frequency_minutes,walking_distance_from_stop_km,movie_crowd_friendly,description"
"1,Gajuwaka,INOX CMR Central Maddilapalem,Maddilapalem,Maddilapalem Bus Stop,28A,APSRTC City Ordinary,Gajuwaka X Rd â†’ Ukkunagaram â†’ Steel Plant Gate â†’ Daba Garden â†’ Siripuram â†’ RTC Complex,19,63 mins,30,05:30,22:30,25,0.3,Yes,Board bus 28A from Gajuwaka Bus Stop towards Maddilapalem. Alight at Maddilapalem Bus Stop and walk 0.3km to INOX CMR Central Maddilapalem. Buses run every 25 mins; extra frequency during evening show times."
"2,Kommadi,INOX CMR Central Maddilapalem,Maddilapalem,Maddilapalem Bus Stop,500A,APSRTC City Ordinary,Kommadi Jn â†’ Madhurawada â†’ Bheemunipatnam Rd â†’ Seethammadhara â†’ MVP Colony â†’ Siripuram,13,43 mins,20,05:30,22:30,20,0.3,Yes,Board bus 500A from Kommadi Bus Stop towards Maddilapalem. Alight at Maddilapalem Bus Stop and walk 0.3km to INOX CMR Central Maddilapalem. Buses run every 20 mins; extra frequency during evening show times."
"3,Madhurawada,INOX CMR Central Maddilapalem,Maddilapalem,Maddilapalem Bus Stop,218A,APSRTC City Ordinary,Madhurawada â†’ Kommadi â†’ GITAM Jn â†’ Rushikonda â†’ Seethammadhara â†’ MVP Colony,11,36 mins,15,05:30,22:30,20,0.3,Yes,Board bus 218A from Madhurawada Bus Stop towards Maddilapalem. Alight at Maddilapalem Bus Stop and walk 0.3km to INOX CMR Central Maddilapalem. Buses run every 20 mins; extra frequency during evening show times."
"4,PM Palem,INOX CMR Central Maddilapalem,Maddilapalem,Maddilapalem Bus Stop,299A,APSRTC City Ordinary,PM Palem â†’ Madhurawada â†’ Seethammadhara â†’ MVP Colony â†’ Siripuram,9,30 mins,15,05:30,22:30,15,0.3,Yes,Board bus 299A from PM Palem Bus Stop towards Maddilapalem. Alight at Maddilapalem Bus Stop and walk 0.3km to INOX CMR Central Maddilapalem. Buses run every 15 mins; extra frequency during evening show times."
"5,MVP Colony,INOX CMR Central Maddilapalem,Maddilapalem,Maddilapalem Bus Stop,215A,APSRTC City Ordinary,MVP Colony Sector 7 â†’ Seethammadhara â†’ Maddilapalem â†’ Siripuram â†’ Jagadamba,4,15 mins,10,05:30,22:30,15,0.3,Yes,Board bus 215A from MVP Colony Bus Stop towards Maddilapalem. Alight at Maddilapalem Bus Stop and walk 0.3km to INOX CMR Central Maddilapalem. Buses run every 15 mins; extra frequency during evening show times."
"6,Siripuram,INOX CMR Central Maddilapalem,Maddilapalem,Maddilapalem Bus Stop,900A,APSRTC City Ordinary,Siripuram Jn â†’ VIP Rd â†’ RTC Complex â†’ Dwaraka Nagar â†’ Jagadamba,6,20 mins,10,05:30,22:30,15,0.3,Yes,Board bus 900A from Siripuram Bus Stop towards Maddilapalem. Alight at Maddilapalem Bus Stop and walk 0.3km to INOX CMR Central Maddilapalem. Buses run every 15 mins; extra frequency during evening show times."
"7,Dwaraka Nagar,INOX CMR Central Maddilapalem,Maddilapalem,Maddilapalem Bus Stop,902A,APSRTC City Ordinary,Dwaraka Nagar â†’ Siripuram â†’ Jagadamba â†’ Maharanipeta â†’ RK Beach,6,20 mins,10,05:30,22:30,15,0.3,Yes,Board bus 902A from Dwaraka Nagar Bus Stop towards Maddilapalem. Alight at Maddilapalem Bus Stop and walk 0.3km to INOX CMR Central Maddilapalem. Buses run every 15 mins; extra frequency during evening show times."
"8,Maddilapalem,INOX CMR Central Maddilapalem,Maddilapalem,Maddilapalem Bus Stop,211A,APSRTC City Ordinary,Maddilapalem â†’ Seethammadhara â†’ MVP Colony â†’ Siripuram â†’ Jagadamba,1,15 mins,10,05:30,22:30,15,0.3,Yes,Board bus 211A from Maddilapalem Bus Stop towards Maddilapalem. Alight at Maddilapalem Bus Stop and walk 0.3km to INOX CMR Central Maddilapalem. Buses run every 15 mins; extra frequency during evening show times."
"9,NAD Junction,INOX CMR Central Maddilapalem,Maddilapalem,Maddilapalem Bus Stop,400A,APSRTC City Ordinary,NAD Jn â†’ Maddilapalem â†’ Seethammadhara â†’ Siripuram â†’ Jagadamba,9,30 mins,15,05:30,22:30,15,0.3,Yes,Board bus 400A from NAD Junction Bus Stop towards Maddilapalem. Alight at Maddilapalem Bus Stop and walk 0.3km to INOX CMR Central Maddilapalem. Buses run every 15 mins; extra frequency during evening show times."
"10,Seethammadhara,INOX CMR Central Maddilapalem,Maddilapalem,Maddilapalem Bus Stop,213A,APSRTC City Ordinary,Seethammadhara â†’ Maddilapalem â†’ MVP Colony â†’ Siripuram â†’ Jagadamba,4,15 mins,10,05:30,22:30,15,0.3,Yes,Board bus 213A from Seethammadhara Bus Stop towards Maddilapalem. Alight at Maddilapalem Bus Stop and walk 0.3km to INOX CMR Central Maddilapalem. Buses run every 15 mins; extra frequency during evening show times."
"11,Jagadamba,INOX CMR Central Maddilapalem,Maddilapalem,Maddilapalem Bus Stop,905A,APSRTC City Ordinary,Jagadamba Jn â†’ Asilmetta â†’ Siripuram â†’ Dwaraka Nagar â†’ Waltair,7,23 mins,10,05:30,22:30,15,0.3,Yes,Board bus 905A from Jagadamba Bus Stop towards Maddilapalem. Alight at Maddilapalem Bus Stop and walk 0.3km to INOX CMR Central Maddilapalem. Buses run every 15 mins; extra frequency during evening show times."
"12,Asilmetta,INOX CMR Central Maddilapalem,Maddilapalem,Maddilapalem Bus Stop,907A,APSRTC City Ordinary,Asilmetta â†’ Jagadamba â†’ Siripuram â†’ Maharanipeta â†’ RK Beach,8,26 mins,10,05:30,22:30,15,0.3,Yes,Board bus 907A from Asilmetta Bus Stop towards Maddilapalem. Alight at Maddilapalem Bus Stop and walk 0.3km to INOX CMR Central Maddilapalem. Buses run every 15 mins; extra frequency during evening show times."
"13,Railway Station,INOX CMR Central Maddilapalem,Maddilapalem,Maddilapalem Bus Stop,909A,APSRTC City Ordinary,Railway Station â†’ RTC Complex â†’ Dwaraka Nagar â†’ Siripuram â†’ Jagadamba,9,30 mins,15,05:30,22:30,15,0.3,Yes,Board bus 909A from Railway Station Bus Stop towards Maddilapalem. Alight at Maddilapalem Bus Stop and walk 0.3km to INOX CMR Central Maddilapalem. Buses run every 15 mins; extra frequency during evening show times."
"14,RTC Complex,INOX CMR Central Maddilapalem,Maddilapalem,Maddilapalem Bus Stop,100A,APSRTC City Ordinary,RTC Complex â†’ Siripuram â†’ Dwaraka Nagar â†’ Jagadamba â†’ Waltair,8,26 mins,10,05:30,22:30,15,0.3,Yes,Board bus 100A from RTC Complex Bus Stop towards Maddilapalem. Alight at Maddilapalem Bus Stop and walk 0.3km to INOX CMR Central Maddilapalem. Buses run every 15 mins; extra frequency during evening show times."
"15,Airport,INOX CMR Central Maddilapalem,Maddilapalem,Maddilapalem Bus Stop,500A,APSRTC City Ordinary,Airport â†’ Kommadi â†’ Madhurawada â†’ Seethammadhara â†’ MVP Colony â†’ Siripuram,9,30 mins,15,05:30,22:30,15,0.3,Yes,Board bus 500A from Airport Bus Stop towards Maddilapalem. Alight at Maddilapalem Bus Stop and walk 0.3km to INOX CMR Central Maddilapalem. Buses run every 15 mins; extra frequency during evening show times."
"16,Pendurthi,INOX CMR Central Maddilapalem,Maddilapalem,Maddilapalem Bus Stop,320A,APSRTC City Ordinary,Pendurthi â†’ Gopalapatnam â†’ Kurmannapalem â†’ Madhurawada â†’ Seethammadhara â†’ MVP Colony,22,73 mins,35,05:30,21:30,25,0.3,Yes,Board bus 320A from Pendurthi Bus Stop towards Maddilapalem. Alight at Maddilapalem Bus Stop and walk 0.3km to INOX CMR Central Maddilapalem. Buses run every 25 mins; extra frequency during evening show times."
"17,Gopalapatnam,INOX CMR Central Maddilapalem,Maddilapalem,Maddilapalem Bus Stop,310A,APSRTC City Ordinary,Gopalapatnam â†’ Kurmannapalem â†’ Madhurawada â†’ Seethammadhara â†’ MVP Colony â†’ Siripuram,14,46 mins,25,05:30,22:30,20,0.3,Yes,Board bus 310A from Gopalapatnam Bus Stop towards Maddilapalem. Alight at Maddilapalem Bus Stop and walk 0.3km to INOX CMR Central Maddilapalem. Buses run every 20 mins; extra frequency during evening show times."
"18,Kurmannapalem,INOX CMR Central Maddilapalem,Maddilapalem,Maddilapalem Bus Stop,330A,APSRTC City Ordinary,Kurmannapalem â†’ Madhurawada â†’ Seethammadhara â†’ MVP Colony â†’ Siripuram,16,53 mins,25,05:30,22:30,20,0.3,Yes,Board bus 330A from Kurmannapalem Bus Stop towards Maddilapalem. Alight at Maddilapalem Bus Stop and walk 0.3km to INOX CMR Central Maddilapalem. Buses run every 20 mins; extra frequency during evening show times."
