trip_id,source_area,theater_name,theater_area,distance_km,estimated_duration,rapido_bike_price,auto_price,cab_price,traffic_level,best_transport_option,peak_time,off_peak_time,nearest_landmarks,description
TR00001,Gajuwaka,INOX CMR Central Maddilapalem,Maddilapalem,17.5,42-52 mins,Rs.165-195,Rs.240-280,Rs.322-382,Moderate,Cab,6:00 PM - 9:30 PM,10:00 AM - 1:00 PM,"CMR Central Mall, Maddilapalem Market",Travel from Gajuwaka to INOX CMR Central Maddilapalem in Maddilapalem. Distance approx 17.5 km via city roads. Traffic is typically Moderate on this route. Rapido bike is fastest during peak movie hours.
TR00002,Gajuwaka,INOX Varun Beach,Varun Beach,18.7,44-54 mins,Rs.174-204,Rs.254-294,Rs.340-400,High,Cab,6:00 PM - 9:30 PM,10:00 AM - 1:00 PM,"Varun Beach, RK Beach, YMCA Beach",Travel from Gajuwaka to INOX Varun Beach in Varun Beach. Distance approx 18.7 km via city roads. Traffic is typically High on this route. Rapido bike is fastest during peak movie hours.
TR00003,Gajuwaka,Cinepolis Visakhapatnam,Dwaraka Nagar,12.8,30-40 mins,Rs.127-157,Rs.183-223,Rs.252-312,High,Cab,6:00 PM - 10:00 PM (Movie rush),10:00 AM - 1:00 PM,"CMR Mall, Dwaraka Nagar Signal, PVR Complex",Travel from Gajuwaka to Cinepolis Visakhapatnam in Dwaraka Nagar. Distance approx 12.8 km via city roads. Traffic is typically High on this route. Rapido bike is fastest during peak movie hours.
TR00004,Gajuwaka,PVR Theatre Vizag,Dwaraka Nagar,12.8,30-40 mins,Rs.127-157,Rs.183-223,Rs.252-312,High,Cab,6:00 PM - 10:00 PM (Movie rush),10:00 AM - 1:00 PM,"CMR Mall, Dwaraka Nagar Signal, PVR Complex",Travel from Gajuwaka to PVR Theatre Vizag in Dwaraka Nagar. Distance approx 12.8 km via city roads. Traffic is typically High on this route. Rapido bike is fastest during peak movie hours.
TR00005,Gajuwaka,Mirage Cinemas,MVP Colony,13.3,31-41 mins,Rs.131-161,Rs.189-229,Rs.259-319,Moderate,Cab,6:00 PM - 9:30 PM,10:00 AM - 1:00 PM,"MVP Market, VMRDA Park, MVP Water Tank",Travel from Gajuwaka to Mirage Cinemas in MVP Colony. Distance approx 13.3 km via city roads. Traffic is typically Moderate on this route. Rapido bike is fastest during peak movie hours.
TR00006,Gajuwaka,Melody Theatre,Jagadamba Junction,12.0,28-38 mins,Rs.121-151,Rs.174-214,Rs.240-300,High,Cab,6:00 PM - 10:00 PM (Movie rush),10:00 AM - 1:00 PM,"Jagadamba Centre, Melody Theatre Road, City Bus Stand",Travel from Gajuwaka to Melody Theatre in Jagadamba Junction. Distance approx 12.0 km via city roads. Traffic is typically High on this route. Rapido bike is fastest during peak movie hours.
TR00007,Gajuwaka,Sangam Sarat Theatre,Jagadamba Junction,12.0,28-38 mins,Rs.121-151,Rs.174-214,Rs.240-300,High,Cab,6:00 PM - 10:00 PM (Movie rush),10:00 AM - 1:00 PM,"Jagadamba Centre, Melody Theatre Road, City Bus Stand",Travel from Gajuwaka to Sangam Sarat Theatre in Jagadamba Junction. Distance approx 12.0 km via city roads. Traffic is typically High on this route. Rapido bike is fastest during peak movie hours.
TR00008,Gajuwaka,Jagadamba Theatre,Jagadamba Junction,12.0,28-38 mins,Rs.121-151,Rs.174-214,Rs.240-300,High,Cab,6:00 PM - 10:00 PM (Movie rush),10:00 AM - 1:00 PM,"Jagadamba Centre, Melody Theatre Road, City Bus Stand",Travel from Gajuwaka to Jagadamba Theatre in Jagadamba Junction. Distance approx 12.0 km via city roads. Traffic is typically High on this route. Rapido bike is fastest during peak movie hours.
TR00009,Gajuwaka,Leela Mahal,Suryabagh,12.9,30-40 mins,Rs.128-158,Rs.184-224,Rs.253-313,Low,Cab,6:00 PM - 9:30 PM,10:00 AM - 1:00 PM,"Suryabagh Signal, Dwaraka Nagar Junction",Travel from Gajuwaka to Leela Mahal in Suryabagh. Distance approx 12.9 km via city roads. Traffic is typically Low on this route. Rapido bike is fastest during peak movie hours.
TR00010,Gajuwaka,Chitralaya Theatre,Dwaraka Nagar,12.8,30-40 mins,Rs.127-157,Rs.183-223,Rs.252-312,High,Cab,6:00 PM - 10:00 PM (Movie rush),10:00 AM - 1:00 PM,"CMR Mall, Dwaraka Nagar Signal, PVR Complex",Travel from Gajuwaka to Chitralaya Theatre in Dwaraka Nagar. Distance approx 12.8 km via city roads. Traffic is typically High on this route. Rapido bike is fastest during peak movie hours.
